Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NIÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NIÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DEL HÁBITAT (2000 A 10000);TAMAÑO DEL HÁBITAT (10001 A 100000);TAMAÑO DEL HÁBITAT (100001 A 500000);TAMAÑO DEL HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;49.26158414620276;39.61210408947491;46.60154197277149;49.98885953574083;51.3821085798081;68.0330497587194;58.10210332200785;29.25243567351339;34.9268987282742;42.25285410189066;59.65753742198215;31.41720275481261;37.3835382282386;51.29131494856623;73.53240485096426;80.0596032800378;65.06481253337884;45.50260301105871;33.87718905023371;51.92093207315535;50.56423964035366;50.62420284433165;47.34838991906754;46.0545832731773;51.04741063990682;44.92366358844343;53.81660930709041;41.31173634950802;29.25243567351339;35.36600062420511;45.08452214081545;41.34613371859399;67.88691583904718;80.84117228242546;76.91420215753662;0.0
T.HUEVOS KGS;0.70239786008561;0.53469536175777;0.66080152488025;0.72505687943375;0.72033510856977;1.02510580842518;0.83303216993246;0.42855631108069;0.4747873628429;0.57848329654866;0.88605877933366;0.54222816798956;0.49474776025762;0.70886946414803;1.11657428922322;1.12548242190286;0.92931383371244;0.63544187293535;0.49489657765133;0.62210192507896;0.75168296095659;0.72375694826247;0.68804957947181;0.64966855333683;0.71798408640056;0.6645381918317;0.78053334012023;0.59444398513765;0.42855631108069;0.48450984897059;0.65344602619777;0.56956898488722;0.91295927178323;1.04090228564213;1.17563931754167;1.0
T.HUEVOS UNDS.;11.1167703118054;8.48507163255511;10.42195978151309;11.45270452350012;11.35848401134518;16.29199198621821;13.17481753770431;6.78717200920785;7.54223799895778;9.17499517734186;13.99487842658129;8.6172617102618;7.8103066314647;11.25238745512838;17.64081066484002;17.78496736099985;14.72152996801677;10.0854953603188;7.81532221869064;9.79911729522976;11.87612491644526;11.49255793379776;10.89283403261505;10.21604081267757;11.37292338832903;10.49456158105446;12.46195366492963;9.32204019466504;6.78717200920785;7.68229597966859;10.29473480217861;9.06171768851591;14.53018556024325;16.35629595937594;18.58419952515016;1.0
TOTAL HUEVOS GALLINA;10.94870661051041;8.33045639689311;10.30707272342827;11.30610804071761;11.23611608252452;15.96640534375931;12.98674063991525;6.67934427756701;7.39564783061724;9.01358045880093;13.81685176051574;8.44547316457312;7.71564248042559;11.04343684438431;17.41048486249684;17.54875459801608;14.48330618578284;9.89975776541051;7.71746954563764;9.70575466901229;11.72077244059525;11.27465498008329;10.7244673915864;10.13903972611223;11.18990467624588;10.36282548187326;12.14655191612854;9.28191820724081;6.67934427756701;7.54975720692427;10.194419966222;8.86947792596424;14.21587807742226;16.24702455645139;18.32958004241066;2.0
OTRAS AVES;0.16806370129499;0.15461523566199;0.11488705808482;0.1465964827825;0.12236792882065;0.32558664245889;0.18807689778906;0.10782773164083;0.14659016834053;0.16141471854092;0.17802666606554;0.17178854568867;0.09466415103911;0.20895061074407;0.23032580234317;0.23621276298376;0.23822378223392;0.18573759490828;0.09785267305299;0.09336262621746;0.15535247585;0.21790295371447;0.16836664102865;0.07700108656533;0.18301871208314;0.13173609918119;0.31540174880109;0.04012198742423;0.10782773164083;0.13253877274431;0.10031483595661;0.19223976255167;0.31430748282099;0.10927140292455;0.25461948273949;2.0
MIEL;0.02004931981901;0.0092585589245;0.02148997460439;0.02658945004155;0.0160894762364;0.03304582566981;0.026263443588;0.00580382081475;0.01003918068307;0.01507016378766;0.02742243462764;0.01028498251428;0.01283664206478;0.01829598940734;0.03913454478759;0.06113079253318;0.02364384189143;0.01451721357722;0.00981788514858;0.01132477162244;0.01493283729294;0.01827467482583;0.025568052656;0.02529938913875;0.01939477475989;0.02163935632337;0.0689737103107;0.01070368524667;0.00580382081475;0.00868405678179;0.0133875332755;0.01874375822615;0.0274013859415;0.02647062074618;0.04453291753906;1.0
GRANEL;0.00642206547851;0.00172922151421;0.00341202533081;0.01041522458584;0.00352364022026;0.01504313420818;0.0090388011703;0.00090248287093;0.00185387281831;0.0046071639748;0.00910882982471;0;0.00298352885918;0.00566647564802;0.01603655791302;0.02463569797287;0.00734066458373;0.00488252972612;0.00170627949206;0.0063027998405;0.0038039813197;0.00438392397006;0.01179478811035;0.00633794114526;0.00659204912234;0.00600916069891;0.02459099603662;0;0.00090248287093;0.00049063286232;0.00361207622612;0.00500062787786;0.01158616387577;0.00509227742662;0.01923610394823;2.0
ENVASADA;0.01362725434049;0.00752933883085;0.01807795201423;0.0161742254557;0.01256583134622;0.01800269146162;0.01722464241769;0.0049013382443;0.00818530894379;0.01046299981285;0.01831360480293;0.01028498251428;0.0098531120406;0.01262951312084;0.02309798687456;0.0364950945603;0.01630317730769;0.00963468645776;0.00811160405;0.00502197178193;0.01112885457163;0.01389075192811;0.01377326454564;0.0189614523749;0.01280272563754;0.01563019191988;0.04438271427408;0.01070368524667;0.0049013382443;0.00819342362987;0.00977545704938;0.01374312815897;0.01581521024404;0.02137834446085;0.02529681359083;2.0
TOTAL CARNE;2.99597143674093;2.48679214542382;2.71794287142838;3.01706278051484;3.26005982864096;4.01757182690509;3.41724234723559;1.95025045224464;2.38198030890416;2.68677085644528;3.45528869531031;2.00675735881592;2.39794972580787;3.29908041119311;3.93192211603533;3.99560537155129;3.65588951865487;2.87491281612276;2.41479463411733;3.47040119270112;3.29223111354948;3.00753297790582;2.76782677579487;2.81050578398977;3.10090798382371;2.74107162392119;2.80651824362619;2.4311416557723;1.95025045224464;2.4543868595603;3.18406516763484;2.5825443280867;3.91076916351404;4.11319961670453;4.13373421920837;1.0
