Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NIÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NIÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DEL HÁBITAT (2000 A 10000);TAMAÑO DEL HÁBITAT (10001 A 100000);TAMAÑO DEL HÁBITAT (100001 A 500000);TAMAÑO DEL HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;48.78073946801141;39.53084656238856;45.18693917473258;49.21497871684563;52.14427246168094;67.05237988358525;58.06365051153604;27.23711935766047;34.03232468268421;41.49821998210267;59.65058588119485;29.15554166603785;35.49027283537101;52.10545539737187;74.11421171487838;80.29438396765816;62.38237546172652;45.52476921403733;34.13883573555944;48.11348446557539;48.46577721903746;49.06178852524909;48.72764209325402;48.71279071510667;49.37677786395793;47.33393115258132;47.80849168935572;39.05767211956499;27.23711935766047;35.0855239093615;46.13854264563208;40.23809477121205;64.99126524771059;82.54040351886366;79.17260806706409;0.0
T.HUEVOS KGS;0.76325261016467;0.6306847161335;0.69441992694159;0.76298971671842;0.80859237327263;1.0559371958304;0.90587044552399;0.42927889526858;0.53892018649464;0.62925669947911;0.96330233475199;0.48358222943827;0.53144799823917;0.79537389156897;1.22297288648235;1.19519664791633;0.947663918367;0.69537621968784;0.57815422943988;0.72890582292941;0.76366990346715;0.7818465562639;0.75122841906668;0.74568088326356;0.77503827932432;0.73464271000197;0.71578137301534;0.56181095091193;0.42927889526858;0.58333449903161;0.75086187964021;0.64870393199109;0.93413102403823;1.10408556464634;1.27563162039014;1.0
T.HUEVOS UNDS.;12.58471304480501;10.42936150570842;11.47588869655424;12.54156837088684;13.32589195921249;17.39099060029406;14.96235875484449;6.90705232754772;8.92038066150331;10.37343931167534;15.88604682057324;7.76256350250076;8.7504983875036;13.17491668239907;20.16717074417507;19.53755223416997;15.66129073726232;11.53090326739233;9.51967815409483;12.09552119715646;12.5504889553342;12.87068603422474;12.34627243256898;12.4237910716701;12.72068333081533;12.25467960842461;11.47005518265849;8.99153917290497;6.90705232754772;9.71823957371976;12.50739122340402;10.75403069584857;15.44485993547825;17.98914102201777;21.07572475755616;1.0
TOTAL HUEVOS GALLINA;11.80380517993742;9.74798335326698;10.7344637032603;11.80692653721401;12.50617506815761;16.33383870050858;14.00457144399172;6.67052540727976;8.32808110888162;9.73189456226602;14.8970716027085;7.51771471135677;8.22116693266915;12.28934675453667;18.91298479704829;18.51520602915985;14.64909279619229;10.74198494470217;8.94365644257285;11.25834464736758;11.8178706280335;12.09517955410468;11.62529064335174;11.50820319531236;11.99687862992917;11.33510951699504;11.13112631831028;8.73880665153491;6.67052540727976;9.00281672767446;11.58866606307733;10.02154861171492;14.43856342006386;17.11470656344757;19.71989579286268;2.0
OTRAS AVES;0.78090786486759;0.68137815244143;0.74142499329393;0.73464183367282;0.81971689105487;1.05715189978548;0.95778731085276;0.23652692026795;0.59229955262169;0.64154474940931;0.98897521786473;0.24484879114399;0.52933145483445;0.8855699278624;1.25418594712678;1.02234620501012;1.01219794107003;0.78891832269016;0.57602171152198;0.83717654978887;0.73261832730069;0.77550648012006;0.72098178921723;0.91558787635774;0.72380470088615;0.91957009142956;0.3389288643482;0.25273252137005;0.23652692026795;0.7154228460453;0.91872516032668;0.73248208413364;1.00629651541439;0.87443445857019;1.35582896469348;2.0
MIEL;0.03562974804884;0.01897238077368;0.01891564032941;0.05077296369745;0.04964065871346;0.04903004256271;0.04542055628287;0.01368776921758;0.01934905694898;0.02384695488953;0.05323223407657;0.02307814194873;0.01757660789854;0.03958780178304;0.0656335517539;0.08272838146646;0.04950528575861;0.02254154817463;0.02243186620826;0.01459353427635;0.02903121700063;0.03996721699671;0.03434282908735;0.04167485951986;0.03268887626642;0.04277092120788;0.03277653185733;0.02018640444383;0.01368776921758;0.01743547688517;0.03747675170316;0.024730837068;0.04425625542628;0.08095232528342;0.07498849097705;1.0
GRANEL;0.01021673850149;0.00337307416828;0.00150560633801;0.02274700729588;0.01438374007626;0.00892752928088;0.01345641948885;0.00211924232588;0.00540021508326;0.00578945916416;0.01683185555673;0.00263789789122;0.00326774664897;0.0110717025619;0.02383420301661;0.03205995440626;0.01421597581508;0.0035522815524;0.00585308143491;0.00404922055279;0.01045681276989;0.01107513385203;0.00974061710776;0.01101195214079;0.00843507759676;0.01454294471775;0;0;0.00211924232588;0.00401253664961;0.01007353538963;0.00522887328446;0.01440593043041;0.0255033585529;0.02801897930536;2.0
ENVASADA;0.0254130181899;0.01559930731439;0.0174100339914;0.02802596518011;0.03525692802024;0.04010250479602;0.03196412692345;0.01156852689169;0.01394884402298;0.01805749933072;0.03640038390985;0.02044024322891;0.01430886183207;0.02851609283077;0.04179934873729;0.05066842706019;0.03528930994353;0.01898926313187;0.01657878477335;0.01054431372356;0.01857440423074;0.02889208314468;0.02460221197959;0.03066290591861;0.02425380172014;0.02822797649012;0.03277653185733;0.02018640444383;0.01156852689169;0.01342293254591;0.02740323210846;0.01950196818178;0.02985031712159;0.05544897246047;0.04696951167168;2.0
TOTAL CARNE;4.12958277620359;3.26475953960611;3.72188892226549;4.32807337999397;4.58175391916599;5.53500185169154;4.89257584137179;2.27913147415098;2.97470992322915;3.50830572943663;5.05690649276354;2.09614432763719;2.97223251235962;4.5547749109237;6.23866543121156;6.13108012577477;5.16890036407642;3.95661327684654;3.07973077231797;5.09366107548572;4.23425912215395;4.11189264175537;3.90676368222424;4.00562028493201;4.14205461513074;4.09933433617776;3.1155821354462;2.77591575957058;2.27913147415098;3.21747232131193;4.23198577058113;3.45518060028857;5.63083348671591;6.77019796098833;6.38748162926609;1.0
