Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;8228168.6776;2049354.7234200002;1241752.1492;2067825.4095;1158553.8306;1710682.55861;6600185.5648;567039.4413899999;1060943.45091;4138253.6585999997;4089915.3209;337183.46774;2050271.6864;3002198.451;2838515.2134000002;1635588.6568;2548998.8459;1844848.964;2198732.7086;519523.48805;1237544.8898099998;3229913.1783000003;1938276.3132;1302910.7719;5747461.8482;2480707.2274;189784.49062;380018.50772000005;567039.4413899999;1255726.78882;1056971.78308;646256.50056;1258202.1323;527347.94063;2346821.4123;0.0
T.HUEVOS KGS;115177.315;29651.072;16600.1521;28541.9418;16338.7421;24045.4572;91113.964;8475.2532;15588.1565;56238.123;58939.242;5345.60905;28753.315300000002;40197.386;40881.058;21299.863;34388.676;25730.942199999998;33757.874;6958.123;17389.113100000002;47498.687;26580.1224;16751.3191;82655.309;32522.057;2582.37493;5353.664900000001;8475.2532;19133.6791;15183.6018;9486.7822;15902.176599999999;6374.779;32685.052;1.0
T.HUEVOS UNDS.;115177.315;29651.072;16600.1521;28541.9418;16338.7421;24045.4572;91113.964;8475.2532;15588.1565;56238.123;58939.242;5345.60905;28753.315300000002;40197.386;40881.058;21299.863;34388.676;25730.942199999998;33757.874;6958.123;17389.113100000002;47498.687;26580.1224;16751.3191;82655.309;32522.057;2582.37493;5353.664900000001;8475.2532;19133.6791;15183.6018;9486.7822;15902.176599999999;6374.779;32685.052;1.0
TOTAL HUEVOS GALLINA;111607.8;28670.09;16089.89;27744.47;15829.12;23274.28;88218.71;8334.798;15054.35;54485.2;57122.65;5266.593;27872.86;38783.09;39685.31;20814.39;33247.83;24807.49;32738.13;6668.989;16811.81;46114.46;25829.45;16183.14;80255.78;31352.07;2555.635;5281.312;8334.798;18421.52;14627.74;9130.425;15332.61;6240.629;31683.18;2.0
OTRAS AVES;3569.515;980.982;510.2621;797.4718;509.6221;771.1772;2895.254;140.45520000000002;533.8065;1752.923;1816.592;79.01605;880.4553000000001;1414.296;1195.748;485.473;1140.846;923.4522;1019.744;289.134;577.3031;1384.227;750.6724;568.1791;2399.529;1169.987;26.73993;72.35289999999999;140.45520000000002;712.1591;555.8618;356.35720000000003;569.5666;134.15;1001.872;2.0
MIEL;12423.57;1993.462;963.3293000000001;4634.099;2177.76;2654.918;10510.2;616.5554000000001;1296.815;4872.239;7551.33;604.6704;2082.237;4587.636;5149.025;3274.333;4275.354;1895.159;2978.722;347.08459999999997;1642.719;5487.519;2812.338;2133.907;8151.056;4272.513;203.0235;420.2414;616.5554000000001;1291.513;1688.28;869.5413000000001;1829.675;986.2369;4518.502;1.0
GRANEL;4523.127;456.8211;130.1901;2518.463;790.6672;626.9861999999999;3961.168;121.38539999999999;440.5735;1485.135;3037.992;83.08984;485.20840000000004;1550.036;2404.793;1476.411;1611.928;482.3553;952.4333;169.7315;652.7186999999999;1974.701;1055.97;670.006;2780.206;1742.921;0;0;121.38539999999999;348.7457;582.1714000000001;246.48229999999998;739.9329;343.8487;2140.561;2.0
ENVASADA;7900.441;1536.64;833.1392;2115.637;1387.093;2027.932;6549.029;495.17;856.2419;3387.103;4513.338;521.5806;1597.028;3037.6;2744.232;1797.922;2663.426;1412.804;2026.289;177.3531;990.0003;3512.818;1756.368;1463.901;5370.85;2529.591;203.0235;420.2414;495.17;942.7669000000001;1106.109;623.0589;1089.742;642.3883000000001;2377.941;2.0
TOTAL CARNE;1795554;431404.9;257457.9;465379.8;262540;378771.3;1439706;121613.6;234234;879140.6;916413.4;62539.91;435324.7;660644.9;637044.5;338395.2;549634.9;414089.5;493434.4;142379.7;277631.8;693391.7;404853.2;277297.5;1253391;542163;31038.73;71517.08;121613.6;284624;242946.4;138658.2;278200.5;115331.1;511624.4;1.0
CARNE CERTIFICADA;377812.8;91294.53;48371.94;104407.7;51607.04;82131.63;321472;16154.9;40185.92;161447.7;216365.1;7242.293;70879.24;137343.4;162347.9;64710.08;129775.8;92937.38;90389.61;32480.35;58735.01;138664;86396.79;61536.72;270284.4;107528.4;5213.682;9960.928;16154.9;50989.82;54257.81;26806.65;64594.98;17781.89;132052.2;2.0
CARNE FRESCA;1129633;268376.1;154823.8;298290.7;171582.6;236560;910473.8;75411.8;143747.5;539517.9;590115.2;36542.08;266256.5;411791;415043.5;206162.6;344808.4;266047.3;312614.7;98805.62;177737.7;442857.6;244026.5;166205.7;797119.1;332514;18202.23;41338.55;75411.8;177155.4;155878.5;88609.1;177450;68563.49;327024;2.0
SALCHICHAS FRESCAS;8886.699;2360.765;1056.235;2370.033;1517.332;1582.334;6951.708;679.7666999999999;1255.224;4600.047;4286.652;246.0002;2047.969;4028.102;2564.628;1113.981;2347.241;2112.097;3313.381;1004.323;1761.502;2895.927;1959.963;1264.985;6267.025;2619.674;222.4437;232.8311;679.7666999999999;1685.063;1556.784;870.3973000000001;1079.515;385.455;2174.444;3.0
CARNE VACUNO;248578.4;60711.98;33148.81;68247.41;35266.43;51203.82;204814.8;14982.89;28780.75;115587.5;132990.9;7348.353;54446.5;90810.44;95973.16;49439.58;78171.29;58654.72;62312.86;23269.97;34297.59;91838.65;56506.64;42665.6;171542.6;77035.81;3158.203;10377.58;14982.89;34161.32;34866.01;16747.67;40096.48;14148.93;80039.38;3.0
TERNERA;173985.9;44177.82;23253.96;45613.88;25367.41;35572.81;141738.6;11452.23;20795.03;82315.03;91670.84;5234.953;41355.08;61467.46;65928.38;31615.72;56153.02;42108.28;44108.85;13771.54;26257.52;67349.34;37036.6;29570.86;121725.3;52260.54;2563.294;8326.481;11452.23;24483.88;23409.3;11526.92;28644.35;8802.219;54777.21;4.0
