Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2257700.30539;557561.482204;331970.74181;560628.24653;333437.398857;474102.44590600004;1764751.58246;177434.875721;315513.845753;1151013.70048;1106686.63091;105559.049847;609274.5822899999;815376.2776799999;727490.3727300001;423560.23994999996;673605.29899;521720.434865;638814.294373;140981.228379;344698.09781400004;916072.4157100001;522404.26841;333544.235709;1618654.81693;639045.32566;52852.716443000005;113893.10961;177434.875721;365015.701562;292109.743054;182973.491828;330144.49964;144050.737715;599225.3866900001;0.0
T.HUEVOS KGS;35325.3286;8895.471150000001;5101.63119;8691.5325;5170.55709;7466.13928;27532.4801;2796.51627;4996.331639999999;17453.353;17871.9756;1750.8328689999998;9123.56348;12446.4703;12004.4588;6304.7719400000005;10232.8812;7969.111980000001;10818.564199999999;2135.82615;5431.36989;14598.490699999998;8053.84615;5105.79576;25407.0739;9918.2548;791.302729;1638.254221;2796.51627;6068.77788;4753.81445;2949.8321;4745.22566;1926.86652;9654.738800000001;1.0
T.HUEVOS UNDS.;582453.46;147100.575;84308.859;142866.21;85212.633;122965.228;454756.91;44995.653;82700.892;287722.48;294730.98;28104.7369;150223.028;206168.71;197956.94;103062.38;169110.72;132145.818;178134.56;35442.069;89261.535;240319.01;132363.175;85067.676;417005.65;165447.82;12680.2489;26219.544100000003;44995.653;101104.662;79186.091;48901.484;78457.244;31394.916;159513.62;1.0
TOTAL HUEVOS GALLINA;546311;137490.1;78861.9;134497.6;79970.94;115490.5;425646.5;43454.81;77209.68;269928.3;276382.7;27218.25;141135.8;192310.8;185646.1;97669.41;158181;123104.7;167355.9;32988.99;84051.01;225838.9;124633.6;78798.5;393278.1;153032.9;12305.56;25482.57;43454.81;93661.69;73369.51;45570.69;73345.43;29868.84;149251.9;2.0
OTRAS AVES;36142.46;9610.475;5446.959;8368.61;5241.693;7474.728;29110.41;1540.843;5491.212;17794.18;18348.28;886.4869;9087.228;13857.91;12310.84;5392.97;10929.72;9041.118;10778.66;2453.079;5210.525;14480.11;7729.575;6269.176;23727.55;12414.92;374.68890000000005;736.9741;1540.843;7442.972;5816.581;3330.794;5111.814;1526.076;10261.72;2.0
MIEL;1649.038;267.5953;138.9658;578.3759;317.428;346.6732;1380.485;89.1683;179.3852;661.4300999999999;987.6080999999999;83.55553;301.7441;619.4928000000001;644.2459;436.39979999999997;534.5584;258.3294;419.75059999999996;42.7617;206.47570000000002;746.2603;368.18609999999995;285.3544;1071.597;577.4411;36.23475;58.86404;89.1683;181.39170000000001;237.2707;112.4578;224.8142;141.2792;567.5575;1.0
GRANEL;472.85740000000004;47.575410000000005;11.0611;259.1206;91.97706;63.123239999999996;408.98629999999997;13.8057;50.065419999999996;160.5791;312.27840000000003;9.550637;56.09861;173.25639999999999;233.9518;169.1192;153.50420000000003;40.70966000000001;109.5243;11.86495;74.37089999999999;206.7928;104.4282;75.40059;276.5162;196.34120000000001;0;0;13.8057;41.74482;63.777;23.777099999999997;73.17966;44.50884;212.06429999999997;2.0
ENVASADA;1176.181;220.0199;127.90469999999999;319.2554;225.451;283.54990000000004;971.4984000000001;75.3626;129.31980000000001;500.8511;675.3298000000001;74.00489;245.6455;446.23629999999997;410.29409999999996;267.2806;381.05420000000004;217.61970000000002;310.2263;30.89675;132.10479999999998;539.4675;263.7579;209.9538;795.0809;381.09990000000005;36.23475;58.86404;75.3626;139.64679999999998;173.4938;88.68072000000001;151.6345;96.77037;355.4932;2.0
TOTAL CARNE;191127.9;46047.69;27343.26;49302.88;29298.1;39135.94;148702;14847.29;27578.55;97307.98;93819.88;7589.192;51025.41;71275.75;61237.5;32342.01;55813.82;45343.36;57628.68;14925.35;30114.88;76776.48;41884.03;27427.12;135783.6;55344.24;3444.304;8094.637;14847.29;33473.29;26793.31;15711.64;28603.67;11815.45;48344.26;1.0
CARNE CERTIFICADA;34340.37;8255.662;4433.745;9555.308;4837.72;7257.939;28536.35;1736.344;4067.676;15449.09;18891.28;734.5316;7147.795;12982.07;13475.98;5233.937;11361.63;8776.154;8968.654;2848.497;5635.441;13214.95;7588.475;5053.008;25049.82;9290.554;446.582;998.7588000000001;1736.344;5228.705;5049.201;2474.608;5931.529;1506.764;10967.88;2.0
CARNE FRESCA;136415.2;32785.62;19128.88;35264.66;21140.02;28096.07;107230.7;10222.25;18962.33;68078.96;68336.28;5005.416;35242.4;50615;45552.42;22939.95;40101.22;32577.03;40797.05;11392.15;21728.13;55045.13;29188.26;19061.56;97186.26;39228.98;2379.262;5480.57;10222.25;23231.72;19354.53;11324.3;20921.23;7984.196;35517.19;2.0
SALCHICHAS FRESCAS;996.3251;262.6382;116.90780000000001;276.7105;162.8568;177.21179999999998;771.5963;74.62446000000001;150.1043;512.3025;484.02259999999995;32.00037;223.4641;452.7263;288.1343;124.0227;259.85470000000004;230.451;381.99670000000003;109.1956;193.1182;331.5433;219.9004;142.5677;705.9089;290.4162;18.33306;28.09373;74.62446000000001;192.99820000000003;179.6922;100.6996;120.8801;34.89429;246.1094;3.0
CARNE VACUNO;18959.17;4648.405;2521.645;5219.852;2662.548;3906.723;15308.75;1276.734;2373.685;9027.778;9931.394;622.9878;4487.906;6943.629;6904.65;3454.515;5769.432;4631.844;5103.381;1643.029;2703.773;7180.051;4335.737;3096.583;13049.81;5909.365;256.08529999999996;878.7054;1276.734;2841.277;2671.627;1310.555;2977.414;963.0059;5783.768;3.0
TERNERA;13482.17;3435.62;1791.147;3576.352;1930.476;2748.57;10763.87;981.705;1736.587;6517.235;6964.93;449.568;3425.993;4797.814;4808.791;2229.063;4171.079;3384.349;3697.674;1032.078;2057.058;5331.275;2874.86;2186.895;9391.418;4090.747;202.11589999999998;711.7376999999999;981.705;2069.166;1871.79;931.0949;2117.95;567.7083;4028.897;4.0
AÑOJO;4221.432;875.4936;518.1243;1338.143;517.6312;972.0399;3465.64;234.3437;521.4476;1832.574;2388.858;133.5728;772.9685999999999;1623.646;1691.244;1097.136;1074.38;955.2056;1094.711;514.2607;459.40520000000004;1435.146;1092.31;720.3096999999999;2800.287;1421.144;51.41188;96.04361999999999;234.3437;600.509;581.5743;300.06829999999997;571.7609;309.94;1475.78;4.0
MAYOR;1255.576;337.2913;212.373;305.3575;214.44070000000002;186.11339999999998;1079.24;60.6855;115.6507;677.9699;577.6059;39.84697;288.9446;522.1691;404.6152;128.3162;523.9732;292.28909999999996;310.9973;96.69084;187.3095;413.6299;368.567;189.3786;858.1025;397.4733;2.557474;70.92411;60.6855;171.6025;218.2633;79.3913;287.70259999999996;85.35752000000001;279.0915;4.0
CARNE POLLO;46282.06;12016.07;7128.287;11038.83;6931.628;9167.249;34777.17;4027.223;7477.669;24653.69;21628.37;1938.5;13695.3;17763.96;12884.3;7132.826;12427.11;11211.35;15510.78;3212.215;7400.98;18932.63;9945.825;6790.408;32793.87;13488.19;1043.202;1981.428;4027.223;8926.455;6929.182;4296.725;6340.513;2364.534;10372.8;3.0
POLLO ENTERO;12096.35;2967.353;1947.874;2773.69;1675.415;2732.015;9556.01;924.5260999999999;1615.812;6019.607;6076.741;477.9595;3007.946;4759.96;3850.483;1633.865;3768.073;2861.527;3832.883;1041.703;2159.397;4948.242;2385.344;1561.661;8910.214;3186.134;172.9281;418.8875;924.5260999999999;1943.007;1790.336;1252.717;1986.528;532.3416;3075.077;4.0
POLLO FILETES;6015.548;1687.534;967.6434;1502.309;885.1441;972.9171;4362.459;551.7665999999999;1101.322;3381.601;2633.947;232.2808;1952.001;2430.172;1401.094;844.3465;1495.506;1472.268;2203.427;358.77540000000005;845.1757;2390.399;1456.138;965.0595999999999;4040.694;1974.854;152.1678;288.0314;551.7665999999999;1345.675;897.5163;614.8884;724.7328;337.07759999999996;1103.692;4.0
