Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NIÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NIÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DEL HÁBITAT (2000 A 10000);TAMAÑO DEL HÁBITAT (10001 A 100000);TAMAÑO DEL HÁBITAT (100001 A 500000);TAMAÑO DEL HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;47.97760713020096;41.51621950995726;44.49324595936096;47.73911427223345;49.53097267921877;63.67420003495978;55.3873580248995;30.64254141472567;36.42921627322687;43.02132391906291;55.34480071122879;34.84851400467729;37.9432759615857;50.31216570116147;66.63696534550336;76.25245468266145;59.28839253553194;44.54175971364284;35.55370961936224;46.60575216706807;47.08783665797094;48.60682068035544;48.35518638912841;47.19079551675377;48.53087090434147;46.63453841720185;58.84554260751673;41.664039933416;30.64254141472567;37.37526761355128;43.50844972943584;41.34487012040284;62.19970202189893;78.23863618137683;69.54784157429795;0.0
T.HUEVOS KGS;0.75417470094434;0.61376369965983;0.69389731707497;0.73311502778917;0.84939935410831;1.04641063429426;0.88495424826131;0.45609787535922;0.54485063250788;0.64732782801998;0.91281565407483;0.57498682211733;0.5516577471735;0.7893987787665;1.11740226282978;1.2002871515966;0.92126966945754;0.71377858751981;0.55636364699757;0.7421638617098;0.76359643728327;0.75500717431445;0.75825403546931;0.74097806319964;0.75902410799962;0.74240597460256;1.00859445991689;0.61260436822038;0.45609787535922;0.57289773210382;0.71381057275074;0.67893845692999;0.90776733549771;1.12159914893585;1.16786795743213;1.0
T.HUEVOS UNDS.;12.045508450152;9.791099291117;11.0946659345142;11.67014248237431;13.66199624241126;16.70208241511408;14.12092704328104;7.28741109060331;8.74410085899097;10.33373766246959;14.58703729250297;9.42267501533272;8.78643389786684;12.52541431234125;17.9345393486762;19.3689427488488;14.68670262776733;11.35380296994496;8.87520631792627;11.73431417235136;12.2211513216768;12.07569460194506;12.09544868452048;11.83786463430142;12.11185771648543;11.88450558611416;16.52950569736069;9.70792672941449;7.28741109060331;9.15181290035478;11.37512786887524;10.7069494580474;14.50872019350544;17.63054336788469;18.77827547886913;1.0
TOTAL HUEVOS GALLINA;11.73554845264483;9.552827902753;10.79538255055253;11.41506672158208;13.19961836452229;16.28499648413196;13.77305514497239;7.0967363787629;8.47054859107367;10.07389724806082;14.20269039166304;8.90296429562982;8.58876681842282;12.29897473413138;17.3714235063522;18.64069859459467;14.34078968851612;11.11556588556229;8.65947377441316;11.57075407382015;11.87749859382427;11.74537459805557;11.80184349303914;11.5296188306784;11.81306538582911;11.54742442113738;15.61665561006096;9.54676112826362;7.0967363787629;8.91443709444949;11.11220914929619;10.59016596943555;14.12370617708634;17.50543917142609;18.14972597487865;2.0
OTRAS AVES;0.30995999750716;0.23827138836399;0.29928338396167;0.25507576079223;0.46237787788897;0.41708593098212;0.34787189830864;0.1906747118404;0.27355226791729;0.25984041440877;0.38434690083992;0.51971071970289;0.19766707944401;0.22643957820986;0.563115842324;0.72824415425412;0.3459129392512;0.23823708438267;0.21573254351311;0.16356009853121;0.34365272785252;0.33032000388948;0.29360519148133;0.30824580362301;0.29879233065631;0.33708116497677;0.91285008729973;0.16116560115087;0.1906747118404;0.23737580590528;0.26291871957904;0.11678348861184;0.38501401641909;0.12510419645859;0.62854950399048;2.0
MIEL;0.03511832494257;0.0256099804387;0.02956997759529;0.03949086926257;0.0402433725249;0.04804059004462;0.04244405641933;0.02263121356372;0.0202637096549;0.03181572558119;0.04002944239401;0.01072561864747;0.02210397872278;0.04628513928742;0.04887717634354;0.07001651704597;0.0368213741939;0.02877400798808;0.0282104898088;0.0294538376901;0.05163094774492;0.02800794968157;0.03583086643155;0.03866482473158;0.03489925546174;0.03565056969015;0.04332367589153;0.01977624923104;0.02263121356372;0.02760270498998;0.02700320416433;0.01865089562755;0.05359215244541;0.08002800666512;0.05465375209326;1.0
GRANEL;0.01252282242245;0.01072645802651;0.0111913966074;0.01639398980084;0.01286067919161;0.01104479058594;0.01556262104824;0.0109811495436;0.00363502353061;0.01324300755602;0.01146487958293;0;0.00651001844504;0.02094281872837;0.0141358754479;0.01458879893878;0.01270646961008;0.00980389701733;0.01346924593268;0.01671719939488;0.02825309665648;0.00729681192401;0.01077597519161;0.01136337836581;0.0130465662425;0.0112511324399;0;0.00467965894055;0.0109811495436;0.00951693253095;0.01038722080498;0.00569973930498;0.02949922052036;0.02086052769136;0.01514721580204;2.0
ENVASADA;0.02259550252012;0.01488352241218;0.01837858784515;0.02309687946172;0.02738267909879;0.0369957966886;0.02688144529788;0.01165006981214;0.0166286872116;0.01857271802516;0.02856456817128;0.01072561864747;0.01559396027773;0.02534232055904;0.0347412907903;0.05542771236783;0.02411490458381;0.01897011097074;0.01474124387611;0.01273664168883;0.02337785108844;0.02071113775756;0.02505489123993;0.02730144782606;0.02185269226966;0.02439943725024;0.04332367589153;0.01509659029049;0.01165006981214;0.01808577147629;0.01661599441567;0.01295115851836;0.02409293192505;0.05916747897375;0.03950653629121;2.0
TOTAL CARNE;3.68615928125873;3.19905350199994;3.25622697107775;3.76342985549209;3.97183094048708;4.74006770950013;4.19205835177411;2.31923588396511;3.03353974013328;3.37772788306482;4.14507330883804;2.6291490524595;2.96976786126604;4.05449712196513;4.74338305927261;4.97312778012849;4.36011479242023;3.46129705619008;3.0672648257904;4.04383171204345;3.63403958713646;3.65906799528134;3.614511926426;3.77279989636524;3.70842147654086;3.63213302918681;4.15308264013192;3.03078946714298;2.31923588396511;3.17003842805679;3.89470019820066;3.28725757855654;4.6056054924548;4.66850183032921;4.99123938585023;1.0
