Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NIÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NIÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DEL HÁBITAT (2000 A 10000);TAMAÑO DEL HÁBITAT (10001 A 100000);TAMAÑO DEL HÁBITAT (100001 A 500000);TAMAÑO DEL HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;43.74922486450069;36.81120333100064;39.59349807680717;44.28370967180471;45.17900123374541;59.71698555038032;51.02712799594963;26.17125273063898;32.80833819638295;38.2810164071585;51.91298559379637;28.85853441005503;33.79639693856863;46.02060702928835;63.16489148841691;70.17980536363626;53.8723794389417;40.72040765719823;32.29707413153213;42.79290890061567;43.62953422204354;43.82912971674848;44.27467267333934;43.24128383164565;44.24081912617588;42.55225821618993;49.93851391510832;35.13478044442941;26.17125273063898;34.37219312050158;40.70215523654118;36.73606132982622;56.69664155100926;67.48641622706286;67.11174993415752;0.0
T.HUEVOS KGS;0.67713692685509;0.54306378501757;0.60391985279168;0.68227539877282;0.69338612438571;0.99557791521191;0.80026569721522;0.37699412739479;0.49464946664822;0.56427852949578;0.8457376698264;0.48837022024852;0.47598281905381;0.71378925410475;1.04225955338618;1.0616095493822;0.84768753244573;0.64457703775859;0.49007723187483;0.61606632252167;0.67591568015651;0.68540699170189;0.68539750794394;0.6691861527624;0.67514470088767;0.68196809968181;0.72592120491215;0.5265295845734;0.37699412739479;0.52715897683332;0.65753239786248;0.57396796353947;0.84059278639224;0.95121574590438;1.10492421157629;1.0
T.HUEVOS UNDS.;10.74146588988148;8.59364721312663;9.60169046954666;10.83696955674814;10.95739571594211;15.82608909976623;12.69486333535257;5.97589875930572;7.84929303789323;8.93966841362185;13.43322971868643;7.79583663811965;7.54864496939211;11.2937137559319;16.56527029540835;16.77939756565508;13.49656360505572;10.23708403647006;7.75510265783613;9.66367769312626;10.74646891959698;10.86200600022615;10.86940061823055;10.67079988496923;10.71862894034594;10.79677700381454;11.34251882675241;8.41757704221818;5.97589875930572;8.34140607415556;10.40733060405348;9.21148106803791;13.33327378087359;15.03284879796751;17.52819308916304;1.0
TOTAL HUEVOS GALLINA;10.55041236956068;8.46532060900563;9.40561014992998;10.62788339269147;10.81133643011658;15.50587081878237;12.46883451595732;5.87472481114329;7.70660252350548;8.79410824739934;13.17417356739886;7.60021951606161;7.41659943259065;11.12689104713768;16.23346019318702;16.55214025417875;13.19855363694768;10.04085550729434;7.6393741721569;9.61906565908173;10.52687020297311;10.68123947591907;10.67969447706737;10.41626210949469;10.51774836081885;10.62963573414205;11.34251882675241;8.19173729909678;5.87472481114329;8.21749844614396;10.24924244114716;8.9232065344277;13.09740830710201;14.83124551712427;17.21559779045673;2.0
OTRAS AVES;0.19105352032079;0.12832660412099;0.19608031961667;0.20908616405666;0.14605928582552;0.32021828098386;0.22602881939525;0.10117394816242;0.14269051438775;0.14556016622251;0.25905615128757;0.19561712205803;0.13204553680146;0.16682270879422;0.33181010222132;0.22725731147632;0.29800996810804;0.19622852917571;0.11572848567922;0.04461203404453;0.21959871662386;0.18076652430707;0.18970614116317;0.25453777547453;0.20088057952709;0.16714126967249;0;0.2258397431214;0.10117394816242;0.1239076280116;0.15808816290631;0.28827453361021;0.23586547377158;0.20160328084323;0.31259529870631;2.0
MIEL;0.02636652951659;0.01745405863475;0.02138864363892;0.02769820755255;0.02636475408711;0.04686483753602;0.03253424675758;0.01280165076676;0.01619055840729;0.0187032924022;0.0378242019352;0.0119014350205;0.01438971673112;0.02622226192255;0.05296622993106;0.06297417237495;0.03377445079326;0.02193962497784;0.01453252356086;0.01218765448192;0.02050815693493;0.0254707407971;0.0298625487941;0.03552591818964;0.02411341512332;0.03184750470237;0.01875505720612;0.01525061791973;0.01280165076676;0.01366070173333;0.02078963010836;0.0182737300416;0.03600291111377;0.05506055422632;0.05743119476169;1.0
GRANEL;0.00646407477067;0.0034417788965;0.00390650886492;0.00838712852872;0.0051071480404;0.01310828115459;0.00838331419657;0.0023682632566;0.00321892091892;0.00403212041967;0.01010112240798;0;0.00345450274618;0.00516279436765;0.01621008282839;0.02406440929478;0.00981392602154;0.00284091028361;0.00181149779206;0.00235547018855;0.00440406142026;0.00714182667414;0.00521407468049;0.01048614265871;0.00647607443647;0.00643473769234;0;0.00362347029433;0.0023682632566;0.00087576341301;0.0021283921205;0.00451913825723;0.00896993361656;0.02684076477528;0.01805796733767;2.0
ENVASADA;0.01990246338846;0.01401228188921;0.01748213614488;0.01931108596614;0.0212576060467;0.03375655638143;0.024150932561;0.01043338751016;0.01297164397027;0.01467117558598;0.02772308492086;0.0119014350205;0.01093521573273;0.0210594656383;0.03675614710267;0.03890976308017;0.02396051557748;0.01909871381466;0.01272102470718;0.00983218700699;0.01610410253796;0.01832891412296;0.02464846851754;0.02503977553092;0.01763734068685;0.02541276849345;0.01875505720612;0.0116271476254;0.01043338751016;0.01278493628395;0.01866123798786;0.01375459178437;0.02703297161409;0.02821978945103;0.03937321419772;2.0
TOTAL CARNE;3.38822453275981;2.83307187289184;2.92155319564712;3.42273925252011;3.65904851703398;4.67725161532362;3.91912690793237;1.97814801828613;2.68412587652294;2.99481122570284;3.97545391552915;2.30766549900039;2.62110111776053;3.8082801860202;4.46917535753879;4.59427648333693;4.00804637075359;3.34062222274012;2.71697332040188;3.68397362674151;3.51093308906217;3.34799798109632;3.30835615186714;3.36762875759617;3.40717110219887;3.34205401043208;3.30949436619165;2.6743965920914;1.97814801828613;2.90011668448079;3.63596062049579;3.03797979482374;4.25310851723953;4.38138064126515;4.78925886930162;1.0
