Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;133.36700911134082;115.48811109859417;122.88726244427286;134.7874027923589;135.55873422710434;175.6840999001687;157.51485851429422;75.1522692844439;97.08703667542127;117.95823034969182;156.36670752671594;85.7725585823019;99.75880032243612;143.0183588562864;194.73261724915577;221.2268539708081;167.94654344183812;123.62188145957697;94.59166134154941;127.35783325760949;130.93174603115497;131.21370324249594;135.91611512676093;140.34799997994713;131.80592891513487;137.1619164801358;154.30749391976795;105.73493442648147;75.1522692844439;102.27273097849522;124.43976445224709;111.76031624643296;176.0982585060422;209.83003293311847;209.15871516523347;0.0
T.HUEVOS KGS;2.16344624273631;1.75878971751713;1.9526281859832;2.18713528189801;2.15962857753785;3.14850756584094;2.59045224269611;1.13898112200732;1.51990129534669;1.78177656628434;2.73368881911628;1.49929490727518;1.48475920949998;2.23684620414914;3.48523180542392;3.56826704510686;2.81400972203177;2.0103178807947;1.48538568214077;2.05372433449192;2.13367615681593;2.19320063776422;2.17662343736378;2.13979058552445;2.1535869547718;2.18738485621284;2.49306817708836;1.69162130091385;1.13898112200732;1.61016717166471;2.01104387245293;1.74848485360643;2.75929456906636;3.12891149663776;3.71833622089756;1.0
T.HUEVOS UNDS.;2.16344624273631;1.75878971751713;1.9526281859832;2.18713528189801;2.15962857753785;3.14850756584094;2.59045224269611;1.13898112200732;1.51990129534669;1.78177656628434;2.73368881911628;1.49929490727518;1.48475920949998;2.23684620414914;3.48523180542392;3.56826704510686;2.81400972203177;2.0103178807947;1.48538568214077;2.05372433449192;2.13367615681593;2.19320063776422;2.17662343736378;2.13979058552445;2.1535869547718;2.18738485621284;2.49306817708836;1.69162130091385;1.13898112200732;1.61016717166471;2.01104387245293;1.74848485360643;2.75929456906636;3.12891149663776;3.71833622089756;1.0
TOTAL HUEVOS GALLINA;2.14417129787594;1.74633938512796;1.93212433723582;2.16778073705021;2.14739036374348;3.11096933952457;2.56848022271119;1.12706138022084;1.50407763441594;1.76692904520217;2.70779617570521;1.47752437617491;1.47118953942171;2.22238575810292;3.44916101050718;3.53836943511448;2.7866916006944;1.99300835205889;1.47256007704148;2.04466918391683;2.11247178081504;2.1772843943645;2.15711907962087;2.10933487025707;2.1330417777194;2.17120065454454;2.49306817708836;1.67201086082378;1.12706138022084;1.5976268519833;1.99742319621482;1.71987192274143;2.73901940892767;3.10619804482287;3.68322179455937;2.0
OTRAS AVES;0.01927494486037;0.01245033238916;0.02050384874737;0.01935454484779;0.01223821379436;0.03753822631636;0.02197201998491;0.01191974178647;0.01582366093075;0.01484752108216;0.02589264341107;0.02177053110027;0.01356967007826;0.01446044604622;0.03607079491674;0.02989760999237;0.02731812133737;0.01730952873581;0.01282560509929;0.00905515057509;0.02120437600088;0.01591624339971;0.01950435774291;0.03045571526738;0.0205451770524;0.01618420166829;0;0.01961044009006;0.01191974178647;0.0125403196814;0.01362067623811;0.028612930865;0.02027516013868;0.02271345181489;0.03511442633819;2.0
MIEL;0.19716540455243;0.12482890928508;0.16606512456309;0.19252119692017;0.19661606424162;0.37927728106753;0.24902268011736;0.08486708936824;0.11050752782815;0.14518836254651;0.27486983478046;0.08546080194278;0.10967987070528;0.19657281144865;0.39297390981811;0.47831680433983;0.26824418521578;0.16213402420059;0.09872294530781;0.08845034567206;0.15343564151866;0.18196583988648;0.23806791929662;0.26677278673776;0.18419813173153;0.22870876021122;0.18827364123508;0.12026510848589;0.08486708936824;0.0964273391476;0.13354479316169;0.1502511252965;0.29859198332376;0.43720647562668;0.42211841782136;1.0
GRANEL;0.05773835070839;0.03337654665763;0.03266585092821;0.06866016471335;0.05060229638686;0.11990377904554;0.07577985727613;0.01830596769001;0.0279559737178;0.03714314399084;0.08853750169286;0;0.02986817595491;0.04734310986728;0.14456097694871;0.20088040381271;0.0957211765133;0.02561073603101;0.01529469921621;0.01937833755395;0.03149338832928;0.05992287732221;0.0571725538242;0.09647573146974;0.05772609549767;0.05776688640992;0;0.0290108921561;0.01830596769001;0.00659444508208;0.0176556323976;0.041518275162;0.09439676464935;0.23804419968597;0.1580146870617;2.0
ENVASADA;0.13942705384403;0.09145235545754;0.13339924621722;0.12386102352892;0.14601368855515;0.25937348805084;0.17324285598204;0.06656113610316;0.08255159732305;0.10804521855567;0.18633233308759;0.08546080194278;0.07981169475037;0.14922972713603;0.24841293286939;0.27743640052712;0.17252300870248;0.13652323539593;0.08342820893481;0.0690720081181;0.1219422250962;0.12204296256427;0.18089531883852;0.17029699684678;0.12647203623386;0.17094181446414;0.18827364123508;0.09125419505122;0.06656113610316;0.08983289212611;0.11588916076409;0.1087328501345;0.20419531672624;0.1991622759407;0.26410373075966;2.0
TOTAL CARNE;26.75483944755575;22.58778960077685;23.48749194678442;27.00480061597028;28.14174711817934;36.78416124472199;31.45665985296143;14.58072742686985;20.31236991741321;23.4664549537003;31.66402220133045;16.80042292520035;19.77311828090622;30.12976831906745;37.33953158496249;38.77134432886311;32.74667327750866;26.02807885616639;20.33959639447922;27.56988365766335;27.28456743978137;26.08159591702681;26.58444685049901;27.95124113387101;26.47554570882039;27.43372524584497;25.82616502469165;20.4823612577138;14.58072742686985;22.02610275098582;27.97835594489796;23.31613822204509;34.25774518761051;36.64045004044446;40.32431712194328;1.0
