Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NIÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NIÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DEL HÁBITAT (2000 A 10000);TAMAÑO DEL HÁBITAT (10001 A 100000);TAMAÑO DEL HÁBITAT (100001 A 500000);TAMAÑO DEL HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;50.85035100527778;42.08277897482732;46.84136302788151;51.46851330736321;52.02836329012503;70.2763826669627;59.82930651588173;30.37644934715596;36.40420645063901;44.29884068405872;60.59971342483032;32.06573514289787;38.64153305244766;53.63668483523712;74.84370208137051;84.44121725384296;64.13019947826426;46.73870499247891;36.32795194891395;52.58195230993578;52.58381235070006;51.28163602480966;50.31335223312536;47.96591628316363;52.35473173960587;47.19688118911913;54.08008329011613;42.76385257359968;30.37644934715596;37.66740640050213;46.53403720903376;41.1273714427994;68.34382456689951;84.79657162024861;79.54241448766597;0.0
T.HUEVOS KGS;0.72457206880128;0.58132145496995;0.66625573941667;0.71945921471953;0.76516154847873;1.03997697099371;0.86156237408749;0.41642120150821;0.50109455446515;0.60605359600885;0.90089584680837;0.55419162704113;0.50244239237499;0.76614254900996;1.11187015629795;1.12110075402323;0.9306753387939;0.64848457654849;0.54174908230816;0.7769141855061;0.7691305352356;0.72439521288651;0.69627110896685;0.70049323807612;0.74022248346334;0.68656482091968;0.78299080903591;0.58603502236594;0.41642120150821;0.54294813224152;0.7106198723255;0.60490144210138;0.95567266808518;0.9871049001396;1.15874023763335;1.0
T.HUEVOS UNDS.;11.52681025836883;9.26115727834052;10.57400085028077;11.43805990062797;12.1809694036307;16.54818352608296;13.69400557301496;6.68421920171208;7.96806952374148;9.66924687013574;14.29040664963796;8.74420376368904;8.00611318897046;12.22823818767033;17.6278753348107;17.87478879469408;14.83688765206798;10.31632773235461;8.58920809764653;12.24820449145917;12.21796380680333;11.54336250105389;11.09189506649127;11.13305376759745;11.76678760074162;10.94402438404258;12.49621991999468;9.278983161421;6.68421920171208;8.61779192107784;11.25608303407647;9.60824105487992;15.3239347017312;15.70316244935744;18.38687297867958;1.0
TOTAL HUEVOS GALLINA;11.2834067818073;9.05018300345463;10.37992094284931;11.20515955024555;11.91392323041526;16.19435436542374;13.41893182143227;6.47368536094609;7.80396035606927;9.43261346865734;14.03688482059243;8.64351091489345;7.82187519417207;11.92333642839378;17.32576672129355;17.45097900141281;14.48715670876334;10.09854257823984;8.44179632095734;12.11911371465765;11.98057216976993;11.27706644214767;10.83985478336924;10.91042037778062;11.52878902696172;10.68749216813449;12.18571499696229;9.13417019910626;6.47368536094609;8.45870764871761;11.07516744416181;9.42257465838126;14.85987631607173;15.37172732677829;18.05317607123261;2.0
OTRAS AVES;0.24340347656153;0.21097427488588;0.19407990743146;0.23290035038241;0.26704617321543;0.35382916065921;0.27507375158268;0.21053384076598;0.16410916767221;0.23663340147839;0.25352182904552;0.10069284879558;0.18423799479839;0.30490175927654;0.30210861351714;0.42380979328126;0.34973094330463;0.21778515411477;0.14741177668918;0.12909077680152;0.23739163703339;0.26629605890621;0.25204028312203;0.22263338981683;0.23799857377989;0.25653221590809;0.31050492303238;0.14481296231474;0.21053384076598;0.15908427236022;0.18091558991465;0.18566639649866;0.46405838565947;0.33143512257915;0.33369690744697;2.0
MIEL;0.01876172194232;0.01232357403345;0.01563851589676;0.02181093171097;0.02260332206395;0.02635645778;0.02392706779465;0.00713996384361;0.01033154229942;0.01369403253051;0.02629830273275;0.01266912961877;0.01077048183268;0.01823057704011;0.03589783736191;0.05486472773442;0.0224895949649;0.01403679874263;0.00936558381557;0.01171210979113;0.01326809181269;0.01652418675238;0.02086217937531;0.03031129354507;0.01732876170372;0.02224213242097;0.04747534161259;0.01105716268789;0.00713996384361;0.01027265350974;0.01238508759544;0.00932464406721;0.01948826189617;0.05061552681803;0.04257023849469;1.0
GRANEL;0.00468798032165;0.00211003724491;0.00191682010445;0.00695307927371;0.00660184224574;0.00727339567767;0.00675859867395;0;0.00132778100082;0.00128679794196;0.00974435406352;0;0.0005766003194;0.00472769143405;0.01356458624456;0.01681535443269;0.00813128462818;0.00145191265952;0.00127847727446;0.00674437196565;0.00288857779005;0.00318958068332;0.00838541278182;0.00397993808766;0.00554823825993;0.00259865799518;0;0;0;0.00118865470393;0.00227764107669;0.00097183677382;0.00531490489579;0.01478146515057;0.0175775681509;2.0
ENVASADA;0.01407374162067;0.01021353465965;0.01372169716488;0.01485785068673;0.01600148293497;0.01908306916813;0.0171684691207;0.00713996384361;0.00900376022268;0.0124072360344;0.01655394866923;0.01266912961877;0.01019388419276;0.01350288432898;0.02233325111735;0.03804936192996;0.01435831497564;0.01258489480717;0.00808710814147;0.00496773782547;0.01037951542408;0.013334607141;0.01247676286077;0.02633136276075;0.01178052039353;0.01964347368496;0.04747534161259;0.01105716268789;0.00713996384361;0.00908400073217;0.01010744492628;0.00835280751211;0.01417335306735;0.03583406739143;0.02499267034379;2.0
TOTAL CARNE;3.05368424870358;2.56534375276049;2.79332900371458;3.15035092060557;3.25125090710502;3.95329060860716;3.49197341949058;1.96210699803776;2.41541352807395;2.76810422753759;3.47885115730716;1.97980022040949;2.44896402036739;3.42990262491099;3.91614180164173;4.05327839075907;3.67287264665439;2.92788980345549;2.49645767323397;3.37780806332863;3.33155104303417;2.97517226031515;3.03605425807542;2.86689310450916;3.12704419991752;2.87553182747608;2.91040310564401;2.33953473166512;1.96210699803776;2.55932620776249;3.1922245070177;2.67638745732463;4.05715502108877;4.30960705981967;4.13883139670564;1.0
