Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;144.3876875177667;123.98606638039155;137.0261128569324;145.17932299538276;143.20030434600392;192.1237361621861;172.04080838143082;81.53323826982844;99.74418597918842;126.67434009674867;170.7486412874062;87.43127976504353;106.46289223277228;154.8480961781386;215.48527941752144;244.72841838548493;186.241606215046;131.31979228575653;100.22341000186287;146.68074303239192;146.87842002269906;141.9197409706416;146.4246061002633;144.34175884327954;145.11909159592042;142.6121371332821;157.16905929429393;116.05610068358433;81.53323826982844;105.46365744687336;131.47550414809712;117.99437877275486;196.3603528064351;239.98508594809317;232.01649072619765;0.0
T.HUEVOS KGS;2.33148192271206;1.88994490390727;2.18525178354584;2.30860481426335;2.36591957180843;3.36266501023905;2.79797933815258;1.28843448747432;1.56582427508002;1.93873796522926;2.9157628822035;1.68364097317462;1.59341400278737;2.43463129854631;3.70416290087051;3.75315226478628;3.05842697810446;2.04675731366506;1.68991781917925;2.57199895103735;2.52067705574791;2.31801510675244;2.22339937673989;2.23720608697518;2.38325333465547;2.20575403588037;2.48287173415468;1.97149218102541;1.28843448747432;1.7010703735321;2.22348360541641;1.83990240743479;3.14196207101785;3.25678633936082;3.86364056596416;1.0
T.HUEVOS UNDS.;2.33148192271206;1.88994490390727;2.18525178354584;2.30860481426335;2.36591957180843;3.36266501023905;2.79797933815258;1.28843448747432;1.56582427508002;1.93873796522926;2.9157628822035;1.68364097317462;1.59341400278737;2.43463129854631;3.70416290087051;3.75315226478628;3.05842697810446;2.04675731366506;1.68991781917925;2.57199895103735;2.52067705574791;2.31801510675244;2.22339937673989;2.23720608697518;2.38325333465547;2.20575403588037;2.48287173415468;1.97149218102541;1.28843448747432;1.7010703735321;2.22348360541641;1.83990240743479;3.14196207101785;3.25678633936082;3.86364056596416;1.0
TOTAL HUEVOS GALLINA;2.30463413260109;1.87026991363753;2.16342740716588;2.28547678125769;2.33987966549095;3.30967310826593;2.76704090019728;1.26637371834732;1.5488309118684;1.91577703951615;2.88313177334076;1.67437184597231;1.57477030435611;2.40029431737691;3.66835132420479;3.70039370086566;3.01959486650691;2.02370152409777;1.67490662313766;2.56328989438304;2.48877327792151;2.28840402341725;2.19617069511321;2.21599965943681;2.35523506132777;2.18174890756354;2.46074113928401;1.95216391908817;1.26637371834732;1.68509944559416;2.203008439297;1.82194468985084;3.08971940729583;3.22054898920813;3.82267553723256;2.0
OTRAS AVES;0.02684779011097;0.01967499026974;0.02182437637996;0.02312803300566;0.02603990631747;0.05299190197311;0.0309384379553;0.02206076912699;0.01699336321161;0.0229609257131;0.03263110886274;0.00926912720231;0.01864369843126;0.03433698116939;0.03581157666571;0.05275856392062;0.03883211159755;0.02305578956729;0.01501119604159;0.0087090566543;0.03190377782639;0.02961108333519;0.02722868162668;0.02120642753837;0.0280182733277;0.02400512831683;0.02213059487066;0.01932826193723;0.02206076912699;0.01597092793794;0.0204751661194;0.01795771758394;0.05224266372201;0.03623735015269;0.04096502873159;2.0
MIEL;0.14339156600809;0.09779922930828;0.11862362076856;0.17847986857446;0.17190043059911;0.17691246058682;0.18341571642365;0.05223305804244;0.07886615354125;0.09647059068396;0.21316466231977;0.09017501348008;0.06890029286647;0.14205363239703;0.2959530053724;0.43418879934385;0.17401677880745;0.10609912871649;0.06688872061444;0.14248491647893;0.0902419522559;0.12221750695716;0.17892159668059;0.20125911671342;0.13895966137936;0.15415635046583;0.29497402892027;0.08070577654978;0.05223305804244;0.0766691939907;0.08956352824249;0.07259120927231;0.14409342422876;0.34145253929666;0.35842796436643;1.0
GRANEL;0.0491425101612;0.02753701298574;0.01945994289021;0.07924397387286;0.0714869615829;0.05377332395159;0.06843884114416;0;0.02176692793348;0.01194203941574;0.10444614471741;0;0.00321026140152;0.05034983255016;0.14589059465716;0.1751861633923;0.07975076899828;0.01469290141573;0.01718378850307;0.11151749694041;0.02373893947198;0.03222290032582;0.08647429869059;0.03662090499688;0.05863646730147;0.02608437682555;0;0;0;0.01948616621421;0.02332230903222;0.01457755488816;0.04788622910992;0.10572344787046;0.1890512415143;2.0
ENVASADA;0.0942490342405;0.07026220922624;0.09916366415255;0.09923585093855;0.10041339109725;0.12313915076685;0.11497687527949;0.05223305804244;0.05709922560777;0.08452855126821;0.10871846387669;0.09017501348008;0.06569002796996;0.09170378707603;0.15006241071524;0.25900265490449;0.0942660005313;0.09140621857669;0.04970491077321;0.03096741612271;0.06650301278392;0.08999460663134;0.09244729799;0.16463822632323;0.08032316357535;0.12807197364028;0.29497402892027;0.08070577654978;0.05223305804244;0.05718302777648;0.06624120328557;0.05801365000971;0.09620717545371;0.2357290914262;0.16937659072413;2.0
TOTAL CARNE;25.82340984518289;22.03788466321023;23.82901551537078;26.6249714721286;26.28122131485045;33.65775633847613;30.19379717360827;15.35435938508702;19.15599487523278;23.01870569375525;29.99805128835008;15.46379430090942;19.79728980997375;28.69236807917503;35.68466332226041;37.27200731607657;32.14096061365947;24.80287253028065;19.61987519573241;27.21430250442949;27.59978303087799;24.92995032284024;25.88934569241059;25.70768597579592;26.04706189650892;25.28036962068348;24.07439078779829;19.80512903047453;15.35435938508702;20.5585796296378;25.85809246772465;21.68574888207983;34.94911423800556;38.54728374774388;38.25471365545189;1.0
