Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;98.792;98.726;98.862;98.737;98.747;98.914;98.863;98.329;98.862;98.958;98.59;98.34;98.857;99.275;98.515;98.965;98.732;98.848;98.667;98.552;98.921;98.858;98.839;98.532;98.857;98.638;98.712;98.364;98.329;98.852;99.075;99.32;99.478;99.673;98.304;0.0
T.HUEVOS KGS;77.744;81.643;75.598;75.719;76.925;78.055;77.821;74.123;80.029;75.458;80.538;71.655;72.319;81.812;80.697;73.473;78.71;79.368;81.411;67.872;76.249;78.457;78.814;79.332;76.322;81.105;64.222;67.039;74.123;81.129;83.36;81.342;83.399;73.203;79.877;1.0
T.HUEVOS UNDS.;77.744;81.643;75.598;75.719;76.925;78.055;77.821;74.123;80.029;75.458;80.538;71.655;72.319;81.812;80.697;73.473;78.71;79.368;81.411;67.872;76.249;78.457;78.814;79.332;76.322;81.105;64.222;67.039;74.123;81.129;83.36;81.342;83.399;73.203;79.877;1.0
TOTAL HUEVOS GALLINA;77.485;81.267;75.266;75.676;76.746;77.674;77.588;73.685;79.727;75.112;80.378;71.751;71.904;81.362;80.703;73.077;78.688;79.281;80.863;67.974;76.022;78.129;78.578;79.048;76.026;80.939;64.465;66.774;73.685;80.561;83.041;81.298;83.381;72.101;79.857;2.0
OTRAS AVES;2.796;3.308;1.887;2.574;3.551;2.577;2.763;3.671;2.45;2.895;2.686;1.467;2.753;3.276;2.576;2.562;2.757;3.12;2.963;1.89;2.159;3.292;2.9;2.315;2.766;2.878;1.745;2.063;3.671;2.839;3.503;2.303;3.612;2.195;2.602;2.0
MIEL;5.64;6.176;4.285;5.919;5.026;6.068;5.725;5.492;4.67;4.406;7.228;5.428;3.392;5.975;7.543;6.666;4.768;6.096;4.992;5.461;3.863;5.342;5.85;7.938;5.209;6.73;3.256;3.598;5.492;5.033;5.09;3.922;4.499;6.502;8.006;1.0
GRANEL;1.208;1.208;0.382;1.552;0.991;1.505;1.335;0;1.262;0.387;2.205;0;0.17;1.329;2.388;1.854;1.352;0.364;0.979;2.919;0.625;0.967;1.775;0.829;1.36;0.836;0;0;0;1.147;0.858;0.34;0.637;1.361;2.813;2.0
ENVASADA;4.531;5.043;3.954;4.521;4.154;4.621;4.512;5.492;3.763;4.066;5.081;5.428;3.258;4.751;5.258;4.973;3.544;5.759;4.166;2.473;3.298;4.464;4.138;7.186;3.941;5.964;3.256;3.598;5.492;4.106;4.351;3.623;3.908;5.033;5.347;2.0
TOTAL CARNE;96.244;97.291;95.801;95.659;96.465;95.983;96.069;96.032;97.695;96.338;96.156;94.703;95.682;97.703;95.994;94.052;96.613;97.361;97.716;95.706;96.606;96.461;96.446;95.269;96.327;96.053;89.334;94.754;96.032;97.922;98.511;98.186;98.035;95.257;95.79;1.0
CARNE CERTIFICADA;46.482;49.782;47.411;46.259;44.123;44.631;46.81;44.478;47.399;43.631;50.326;38.781;41.101;51.082;50.546;36.632;48.129;49.868;53.266;51.401;48.194;45.549;47.223;44.271;47.601;43.767;26.15;37.325;44.478;51.514;62.21;41.826;54.129;35.242;49.357;2.0
CARNE FRESCA;88.562;91.661;88.96;87.404;87.547;87.022;87.575;90.492;93.328;87.769;89.662;82.699;87.967;91.111;88.709;80.261;89.246;91.578;94.322;86.818;90.092;89.81;88.139;85.158;88.906;87.755;71.783;83.536;90.492;93.713;95.161;91.467;93.199;79.864;88.037;2.0
SALCHICHAS FRESCAS;8.23;7.853;8.227;8.507;7.724;8.809;8.286;9.479;7.604;8.059;8.44;3.329;7.219;9.392;9.084;5.876;8.487;11.257;8.422;12.559;9.435;8.103;7.194;7.414;8.752;6.952;1.092;2.885;9.479;8.741;10.154;8.063;11.546;5.422;9.31;3.0
CARNE VACUNO;47.967;51.69;51.719;47.774;45.604;43.882;47.572;51.141;49.032;47.176;49.004;42.037;44.249;52.016;49.072;41.17;48.5;52.329;52.124;49.859;46.903;48.042;48.862;46.807;47.574;49.054;32.802;39.772;51.141;51.361;55.65;47.411;52.969;42.982;48.229;3.0
