Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2353487.34451;593025.039574;341265.123883;588036.27194;333862.053464;497298.893936;1811460.83607;203670.572031;338355.866906;1225540.33492;1127947.0544200002;116096.363658;663375.8391399999;839987.15388;734028.065483;445531.095306;691217.09141;535744.0522350001;680995.12102;153937.026194;375211.12273799995;956795.4589099999;539160.74236;328383.025125;1716405.6111700002;637081.74388;59653.200401;121150.489791;203670.572031;391073.688163;292213.201068;188034.903816;347538.23133499996;148142.767987;602010.317643;0.0
T.HUEVOS KGS;33535.0919;8191.90622;4854.03995;8219.94045;4909.98351;7359.22052;26085.652489999997;2792.05589;4657.38163;16766.64932;16768.44261;2006.491739;8625.64493;11998.3161;10904.64364;5915.18293;10031.135189999999;7433.2773;10155.49906;2274.465935;5488.1211299999995;13515.52142;7461.28078;4795.69883;24267.568219999997;9267.517310000001;863.680394;1660.244008;2792.05589;5637.04138;4462.3789400000005;2765.617653;4859.73372;1724.5090149999999;8769.83158;1.0
T.HUEVOS UNDS.;533490.95;130507.022;77037.419;130681.725;78164.355;117100.412;414615.449;44816.915;74058.559;267502.532;265988.421;31659.0359;137444.393;191502.57;172885.024;94311.457;159917.019;118251.27;161011.246;35857.4015;87181.125;215372.162;118861.378;76218.827;385764.182;147726.671;13783.993400000001;26287.466800000002;44816.915;89472.358;70683.23;43929.0093;77924.424;27434.0095;139159.558;1.0
TOTAL HUEVOS GALLINA;522225.6;127534;75623.44;128020.8;76450.74;114596.6;406287;43405.31;72533.26;260956;261269.6;31294.47;134281.5;186727.6;169922.1;92075.34;156147.5;115754.9;158247.9;35479.48;85487.22;210403.7;116160.5;74694.64;377961.6;144263.9;13441.49;25877.21;43405.31;87820.7;69547.16;43080.14;75564.62;26854.98;136634;2.0
OTRAS AVES;11265.35;2973.022;1413.979;2660.925;1713.615;2503.812;8328.449;1411.605;1525.299;6546.532;4718.821;364.5659;3162.893;4774.97;2962.924;2236.117;3769.519;2496.37;2763.346;377.9215;1693.905;4968.462;2700.878;1524.187;7802.582;3462.771;342.5034;410.2568;1411.605;1651.658;1136.07;848.8693000000001;2359.804;579.0295;2525.558;2.0
MIEL;868.3416;173.6622;113.9352;249.1935;145.04379999999998;186.507;724.4434;47.87263;96.02566;378.8494;489.4923;45.869519999999994;184.9015;285.50329999999997;352.0673;289.4788;242.4005;160.8973;175.565;34.287949999999995;94.6743;308.3027;223.56029999999998;207.5164;568.1088000000001;300.23290000000003;52.36782;31.32507;47.87263;106.65360000000001;77.77288;42.632400000000004;99.10063000000001;88.42721;322.18940000000003;1.0
GRANEL;216.972;29.73437;13.96509;79.44008;42.363519999999994;51.46895;204.6311;0;12.340950000000001;35.59964;181.3724;0;9.898746;74.03888;133.0344;88.72164;87.64175;16.642599999999998;23.96603;19.744580000000003;20.61141;59.51012;89.85856;27.247349999999997;181.8943;35.077690000000004;0;0;0;12.340950000000001;14.30258;4.443251;27.027060000000002;25.82377;133.0344;2.0
ENVASADA;651.3696;143.9278;99.97012;169.7534;102.6803;135.03810000000001;519.8122999999999;47.87263;83.68469999999999;343.2498;308.11990000000003;45.869519999999994;175.00279999999998;211.46439999999998;219.03289999999998;200.7571;154.75879999999998;144.2548;151.599;14.543370000000001;74.0629;248.7926;133.70170000000002;180.2691;386.2144;265.15520000000004;52.36782;31.32507;47.87263;94.31267;63.47029;38.18915;72.07355;62.603449999999995;189.155;2.0
TOTAL CARNE;141332.5;36150.49;20350.94;35993.28;20863.03;27974.79;105727;13155.7;22449.86;76580.41;64752.12;7168.013;42042.42;53714.62;38407.48;21386.02;39587.47;33561.04;46798;9888.749;23772.24;55509.76;32534.53;19627.25;102517.5;38815.04;3210.329;6627.929;13155.7;26571.65;20045.76;12236.48;20631.22;7529.044;31324.41;1.0
