Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;142.40060104558142;121.51358496065741;135.0813081335868;144.45771569748595;142.4708229472273;187.75803263764206;170.42619480979744;77.16617515405676;98.355025153772;124.62451820521187;168.81686679749757;89.73031487253387;103.5676127530353;154.42443999765;211.01753588305192;238.32332442740832;183.49580756233155;130.23305399624635;99.2013456137241;142.15551612040372;139.81329875633216;141.57539135981088;143.5451537555063;145.63723322821494;141.79144483560336;143.88091908928916;151.55308157919265;119.69754559959647;77.16617515405676;103.43296033151556;135.14784780573348;121.43574512638148;190.99884155461626;233.2311055687642;226.03239180711878;0.0
T.HUEVOS KGS;2.3974485180769;1.88915441869175;2.12333015526022;2.49481904841375;2.43256747787058;3.49734924013284;2.90939977113463;1.26898153586556;1.54737934432683;1.98539022998604;3.00930529864511;1.75079078891025;1.63903014697326;2.48729364175691;3.82656560836047;3.71326024189296;3.27107253585368;2.17272257937455;1.66178639257234;2.68465175704061;2.43056699845673;2.41095084887048;2.32852866260809;2.31041298677965;2.42412439296863;2.33269855724503;2.74036104370611;2.0210621598523;1.26898153586556;1.62402072195136;2.40892773911998;1.97874486795025;3.22897004320858;3.36962182377327;4.01270844906455;1.0
T.HUEVOS UNDS.;2.3974485180769;1.88915441869175;2.12333015526022;2.49481904841375;2.43256747787058;3.49734924013284;2.90939977113463;1.26898153586556;1.54737934432683;1.98539022998604;3.00930529864511;1.75079078891025;1.63903014697326;2.48729364175691;3.82656560836047;3.71326024189296;3.27107253585368;2.17272257937455;1.66178639257234;2.68465175704061;2.43056699845673;2.41095084887048;2.32852866260809;2.31041298677965;2.42412439296863;2.33269855724503;2.74036104370611;2.0210621598523;1.26898153586556;1.62402072195136;2.40892773911998;1.97874486795025;3.22897004320858;3.36962182377327;4.01270844906455;1.0
TOTAL HUEVOS GALLINA;2.37603891002394;1.87590208666077;2.10392088670408;2.46966927190999;2.41941141052543;3.45620703246542;2.88308290222189;1.26175642369517;1.53166431042328;1.96850653513243;2.98117789816858;1.73892452233653;1.62702506420413;2.46017378580775;3.79422451887691;3.67438220619596;3.24311532471574;2.15693273720383;1.64563464467673;2.6564460022092;2.3967667359297;2.3882917910052;2.31627614801506;2.29391709076458;2.40112810786859;2.31514126843708;2.7096819134334;2.00872237469203;1.26175642369517;1.60821000871172;2.3776932159094;1.9624583193878;3.19428991214525;3.3604378519034;3.98009586561406;2.0
OTRAS AVES;0.02140960805296;0.01325233203097;0.01940926855613;0.02514977650376;0.01315606734515;0.04114220766742;0.02631686891274;0.00722511217038;0.01571503390355;0.01688369485361;0.02812740047652;0.01186626657371;0.01200508276912;0.02711985594915;0.03234108948355;0.038878035697;0.02795721113794;0.01578984217072;0.0161517478956;0.02820575483141;0.03380026252702;0.02265905786527;0.01225251459302;0.01649589601507;0.02299628510004;0.01755728880795;0.03067913027271;0.01233978516027;0.00722511217038;0.01581071323963;0.03123452321058;0.01628654856244;0.03468013106333;0.00918397186986;0.03261258345049;2.0
MIEL;0.15712799740629;0.08334199081122;0.23223641564224;0.19057323236138;0.1079729635543;0.21727931828336;0.20707329593904;0.04051563725959;0.07912508906748;0.12185012792097;0.2094855326462;0.09997289173489;0.08895661103631;0.15693826649196;0.29822123428026;0.42981832155132;0.23866520727057;0.08807562309281;0.07594061412825;0.05452802574863;0.17781045768755;0.12823647400626;0.16352257906286;0.24830765429888;0.14139806179029;0.19532219192445;0.42614291434201;0.12501709630384;0.04051563725959;0.07723736709706;0.07968486491344;0.12983032051477;0.19458516266764;0.34644663363988;0.35543974640392;1.0
GRANEL;0.04563078137758;0.01056011531766;0.07241595488498;0.05911644954521;0.00701985314134;0.10125779864417;0.06291677012441;0.00528685285743;0.01864396236283;0.02877044337619;0.07063819650405;0.00987692150161;0.01858492932171;0.05624064632497;0.08934670475277;0.11491987118075;0.09414904954437;0.02348913635876;0.01188456776085;0;0.08803249347296;0.04129077690429;0.02698710652375;0.06198420568726;0.05049447053144;0.033822002163;0;0.03232392838812;0.00528685285743;0.01669500540573;0.02034365517717;0.03359377880045;0.07183061370806;0.18997830176991;0.11022381660043;2.0
ENVASADA;0.11149721602871;0.07278188965004;0.1598204745075;0.13145676531819;0.10095312132427;0.11602143470789;0.1441564927493;0.035228787359;0.06048112670464;0.09307971350141;0.13884733614214;0.09009597575727;0.07037165841468;0.1006976265578;0.2088745702751;0.31489833633398;0.14451615772619;0.06458649548164;0.06405601984828;0.05452802574863;0.08977793617985;0.08694567567265;0.13653545386044;0.18632349244858;0.09090359125885;0.16150012310062;0.42614291434201;0.09269319625206;0.035228787359;0.06054237132214;0.05934120973627;0.09623654171431;0.12275456865118;0.15646833186997;0.24521582398568;2.0
TOTAL CARNE;26.24350276682189;22.11345673813639;23.75866360336085;27.07951429763485;26.87446341472657;35.03287282697867;31.04878501890448;14.0604769636156;19.41296351132811;22.91004618183621;31.19695817943519;15.40769449660315;19.02323587133686;29.97083361537939;37.00760716782567;38.26598235622771;32.21159819956364;25.19100770067406;20.05660797420072;30.29622005814112;26.25765679182416;25.54969500832195;26.02593966536379;26.71997814337404;26.13661699249929;26.50325186144223;22.65267836072467;20.51786172464887;14.0604769636156;20.78446301422608;28.65486737269176;22.4301919548964;34.5148593990896;36.62356135350314;39.56520982176066;1.0
CARNE CERTIFICADA;4.33910420189498;3.65272293111915;3.54231615746771;4.4710070247872;4.11969224355549;6.50090634919649;5.39383104584697;1.7495003755056;2.78181037967409;3.44290779295024;5.66937796379013;1.6713727928351;2.51625973312627;5.17859429943587;7.1862772994217;6.60647749394347;5.76130371534432;3.89285935104973;3.15430283549619;5.51846514165229;4.85299935360865;3.99509521478189;4.34093440568193;4.23262466694665;4.4389437300151;4.09673232402165;2.4601552691696;2.56422974555472;1.7495003755056;3.19628004881404;4.85221191374987;2.67815757597169;6.31688464946087;6.10375055759933;7.9893035311264;2.0
CARNE FRESCA;16.87728444200849;14.49258172798308;15.48299605294951;17.02294755892413;17.56329148347353;22.15711799401563;19.91854960803494;9.23974821403178;12.50040669168924;14.711928619039;20.09487573691032;10.00378261994649;12.07534951962357;19.56426824726105;23.57982451948613;22.95930812350144;20.28194265118108;16.4536798519471;13.45303549449792;20.82898926909409;17.4644214524763;16.19988342559255;16.43027869931167;17.11569233536991;16.8357598862449;16.97825814200973;12.95628770119043;12.56560453394735;9.23974821403178;13.67394269859477;19.52704551706667;14.46610774671794;21.97423928169279;21.13801432324745;25.08539287185878;2.0
SALCHICHAS FRESCAS;0.21400907162177;0.17679716253555;0.20327454926875;0.20158147015028;0.24149689459523;0.29378684819357;0.24257163570518;0.09110543049557;0.20999707968627;0.17493536208708;0.27202175987917;0.04729065746035;0.13438470889492;0.265197321963;0.33382282493645;0.23705411466221;0.23825313560868;0.18562865577562;0.21044932947565;0.31413233811153;0.2208610198837;0.18998953126508;0.206512465629;0.2411623741531;0.20982778144876;0.22416329046911;0.09294814742471;0.04929308154959;0.09110543049557;0.23876996028874;0.2709251771836;0.15753971709452;0.2359084151543;0.26664115439395;0.32839073227244;3.0
CARNE VACUNO;3.42398093743092;3.04483070175934;3.08018279289457;3.54302298172777;3.26550139048146;4.47409025251648;4.15277029273572;1.76212313787238;2.25415928604606;2.87232874849903;4.24323303575156;2.32756801070067;2.15145396366967;4.02556346511667;5.10556702453279;5.09788185108405;4.40351970243388;3.29892372167584;2.46512461369679;3.35328001910442;3.30229433825711;3.23135781658923;3.42235397464894;4.10844767926421;3.31043795702077;3.69969383465061;2.40355315775827;3.20855241376608;1.76212313787238;2.42350120928977;3.98193878709891;2.59851316719981;4.46245505338945;5.32430069121296;5.40157284678892;3.0
TERNERA;2.56310049967955;2.20489668683188;2.40080380495643;2.65341112031905;2.3549005898863;3.4794739619023;3.07254722526384;1.41237341823304;1.73697291483422;2.18189671571333;3.12932784096316;1.85371821535488;1.66485074585223;3.01417689324872;3.68461345929749;3.6878404234616;3.30557095084007;2.45875371899943;1.88237025100084;2.71570631530324;2.70660804766469;2.40610115491114;2.46266179703992;2.93301044568765;2.51670767904139;2.67576665711312;1.8782099221631;2.43874509964889;1.41237341823304;1.83102093151802;3.07312052509517;1.93383902296467;3.29192681108721;3.81881606034664;3.91293727520854;4.0
AÑOJO;0.68308452975578;0.65208863560976;0.53291646409525;0.71692042090543;0.74838989618128;0.7829481001697;0.85316677429617;0.27310657740359;0.42646142235641;0.54426831577544;0.88914368875558;0.38987580555432;0.37116746463117;0.82431762451974;1.11372476708774;1.1165374944056;0.83992925932729;0.66305643328669;0.48308895300573;0.49650147396784;0.45677403007482;0.64533885259498;0.75797377871159;0.98462220508181;0.60152808752206;0.88111230351467;0.31850612424298;0.67315843570976;0.27310657740359;0.47994781793389;0.7797794114073;0.42090663053282;0.89489634057034;1.15740231700199;1.20966823392008;4.0
