Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;6590672.5477;1716719.658;982391.9979;1651136.4953;914001.31328;1326422.8917;5154226.825300001;521949.77955000004;914495.7283;3443065.5038;3147606.7951999996;324875.19789999997;1777990.4489000002;2416347.0525;2071459.4812;1253930.9085;1977580.4957;1488786.5334;1870374.3852000001;416924.14161;997429.01285;2642649.5409;1536995.6750999999;996674.0173;4648109.6124;1942562.8714;166616.49054;337933.68558;521949.77955000004;1073978.8668;848611.201;554969.058;969950.4658;407820.71891000005;1708842.0945;0.0
T.HUEVOS KGS;110960.1927;26689.5963;15442.125800000002;28515.5193;15605.79088;24707.1405;87989.44529999999;8583.354449999999;14387.3869;54851.3945;56108.7881;6338.866690000001;28137.9465;38919.7763;37563.5872;19537.2056;35253.1719;24837.9349;31331.8603;7873.74391;17339.6813;45002.8645;24932.4926;15811.400300000001;79465.9784;31494.194199999998;3012.73544;5705.923049999999;8583.354449999999;16862.7479;15125.975699999999;9042.98956;16397.6963;5892.016809999999;30336.7365;1.0
T.HUEVOS UNDS.;110960.1927;26689.5963;15442.125800000002;28515.5193;15605.79088;24707.1405;87989.44529999999;8583.354449999999;14387.3869;54851.3945;56108.7881;6338.866690000001;28137.9465;38919.7763;37563.5872;19537.2056;35253.1719;24837.9349;31331.8603;7873.74391;17339.6813;45002.8645;24932.4926;15811.400300000001;79465.9784;31494.194199999998;3012.73544;5705.923049999999;8583.354449999999;16862.7479;15125.975699999999;9042.98956;16397.6963;5892.016809999999;30336.7365;1.0
TOTAL HUEVOS GALLINA;109969.3;26502.37;15300.97;28228.06;15521.39;24416.49;87193.54;8534.484;14241.27;54384.94;55584.35;6295.904;27931.85;38495.42;37246.11;19332.65;34951.87;24657.43;31027.33;7791.02;17098.55;44579.91;24801.3;15698.51;78712.13;31257.15;2979.007;5671.085;8534.484;16698.58;14929.85;8968.559;16221.58;5875.958;30090.18;2.0
OTRAS AVES;990.8927;187.22629999999998;141.1558;287.4593;84.40088;290.6505;795.9053;48.87045;146.1169;466.4545;524.4381;42.96269;206.0965;424.3563;317.47720000000004;204.5556;301.30190000000005;180.5049;304.5303;82.72391;241.13129999999998;422.9545;131.1926;112.8903;753.8484;237.04420000000002;33.72844;34.83805;48.87045;164.1679;196.12570000000002;74.43056;176.1163;16.05881;246.5565;2.0
MIEL;7272.295;1177.439;1688.962;2178.232;692.6852;1534.977;6262.551;274.04659999999996;735.6976;3366.416;3905.878;361.9592;1527.157;2455.682;2927.497;2261.476;2572.155;1006.855;1431.809;159.9238;1268.501;2393.665;1750.902;1699.303;4635.214;2637.081;468.49879999999996;352.952;274.04659999999996;801.9813;500.35179999999997;593.3328;988.1629;605.7859;2687.183;1.0
GRANEL;2111.912;149.1912;526.6521;675.6948000000001;45.034870000000005;715.3391;1902.802;35.76012;173.3498;794.8558;1317.056;35.76012;319.05559999999997;880.0221;877.0744;604.6474000000001;1014.668;268.521;224.0755;0;628.0244;770.7346;288.9618;424.1913;1655.275;456.6371;0;91.25788;35.76012;173.3498;127.7405;153.5257;364.7778;332.1902;833.3102;2.0
ENVASADA;5160.383;1028.248;1162.31;1502.537;647.6504;819.6373000000001;4359.748;238.2865;562.3478;2571.561;2588.822;326.1991;1208.101;1575.66;2050.423;1656.828;1557.487;738.3340999999999;1207.733;159.9238;640.4764;1622.93;1461.94;1275.112;2979.939;2180.443;468.49879999999996;261.6942;238.2865;628.6315999999999;372.61129999999997;439.8071;623.3851999999999;273.5957;1853.872;2.0
TOTAL CARNE;1214618;312414.5;172787.2;309516;172409.3;247490.9;939013.4;95104.66;180499.9;632947.6;581670.3;55784.69;326580.2;468966.8;363286.2;201335.3;347152.5;287976.3;378153.8;88854.98;187322.3;476911.2;278670.2;182859.2;856792.6;357825.3;24904.21;57926.64;95104.66;215812;179927.7;102507.4;175277;64038.83;299119.5;1.0
