Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;150.73218208963948;129.30649789940801;140.49470657854908;151.610800250728;154.196530348119;199.4701741592381;178.34372265691584;86.5314413314435;107.40445611224325;133.05389681859052;177.06731571924718;97.0515220957073;112.08361342708004;161.43088308099502;221.5458790959209;250.81844780610967;190.3857085457758;139.60469492246426;106.51574030824165;147.2152216496508;151.1826273137027;147.33664964667537;153.86241847212676;156.11837991852678;149.6244417894249;153.42335154418694;171.83680931713235;120.86094247908123;86.5314413314435;112.95952402259881;141.1940504628279;127.34669208458442;196.8703599943885;240.17345017684403;238.3493411975285;0.0
T.HUEVOS KGS;2.47769528245394;1.97002099484773;2.25658907431632;2.47056906534417;2.75960397127713;3.47282840057534;2.99762269833318;1.26835324266674;1.66413527946743;2.02890249539432;3.14625665943546;1.67828549518474;1.65675097132975;2.52284808736281;4.14415403558282;4.24786153502863;3.28253595103753;2.17746880887998;1.69838748653195;2.5411392372768;2.64493130785302;2.42179890339331;2.36139550794768;2.61069692442996;2.4858394294876;2.45784624520255;2.94283888715642;1.89517345478474;1.26835324266674;1.76214520388464;2.23123240703293;2.11282768604795;3.15380311227239;3.66721035121798;4.38662019845273;1.0
T.HUEVOS UNDS.;2.47769528245394;1.97002099484773;2.25658907431632;2.47056906534417;2.75960397127713;3.47282840057534;2.99762269833318;1.26835324266674;1.66413527946743;2.02890249539432;3.14625665943546;1.67828549518474;1.65675097132975;2.52284808736281;4.14415403558282;4.24786153502863;3.28253595103753;2.17746880887998;1.69838748653195;2.5411392372768;2.64493130785302;2.42179890339331;2.36139550794768;2.61069692442996;2.4858394294876;2.45784624520255;2.94283888715642;1.89517345478474;1.26835324266674;1.76214520388464;2.23123240703293;2.11282768604795;3.15380311227239;3.66721035121798;4.38662019845273;1.0
TOTAL HUEVOS GALLINA;2.44992193967701;1.94881072866055;2.2231854929206;2.45061128594619;2.73667805129982;3.42092971052639;2.96215833554609;1.26213628564799;1.64563185358998;2.00610886361083;3.11106509173545;1.67166677109234;1.6400341560711;2.49320000170339;4.09213912271718;4.17497194608752;3.25110857792895;2.15195197979598;1.68395667606216;2.52112812214184;2.59693260987278;2.39583922490335;2.34213157221159;2.58235770292935;2.45638390861291;2.43416400194871;2.87480611519942;1.88250435109387;1.26213628564799;1.74582825684235;2.19799903326096;2.09441854068205;3.12603720181893;3.63539067106797;4.32354391484458;2.0
OTRAS AVES;0.02777334277693;0.02121026618718;0.03340358139571;0.01995777939798;0.0229259199773;0.05189869004894;0.03546436278708;0.00621695701875;0.01850342587744;0.02279363178349;0.0351915677;0.00661872409239;0.01671681525865;0.02964808565942;0.05201491286564;0.07288958894111;0.03142737310857;0.025516829084;0.01443081046979;0.02001111513496;0.04799869798023;0.02595967848995;0.01926393573609;0.02833922150061;0.02945552087468;0.02368224325384;0.068032771957;0.01266910369086;0.00621695701875;0.01631694704229;0.03323337377197;0.01840914536589;0.02776591045346;0.03181968015001;0.06307628360815;2.0
MIEL;0.22646925713738;0.12991482801022;0.18897088341747;0.2389993796745;0.25595627198393;0.40877430230699;0.28633745399134;0.09933067357417;0.12414350211871;0.16232488471733;0.32202489866692;0.16846203722598;0.11868261795142;0.24809856561909;0.40259587774519;0.44396912346007;0.32419434986957;0.17970658052114;0.1374180912743;0.14619107621206;0.17832879686996;0.23806198104562;0.21664149099969;0.29480172616328;0.20933635655386;0.26812818949793;0.17028039058581;0.15375658824861;0.09933067357417;0.12842591135981;0.18404379485344;0.19650820632687;0.32807836336107;0.35263272083998;0.46518403028445;1.0
GRANEL;0.05795890867496;0.02163051457475;0.03233423646498;0.05762766757017;0.05430422838867;0.1593489373577;0.07782079381115;0.02767978921351;0.01529302744403;0.03022511437;0.0992738624361;0.03620221148858;0.0182894834721;0.0549764656298;0.14029945880866;0.11140392031157;0.11410459258021;0.03617952795202;0.02372881084242;0.0466278519753;0.05205306546671;0.06433389066589;0.03965881272764;0.0802398213285;0.05416380995966;0.06718665130292;0;0;0.02767978921351;0.01040172092351;0.04546209084458;0.04830895350691;0.08492336431153;0.06634465046438;0.17603254439872;2.0
ENVASADA;0.16851037006879;0.10828432058595;0.15663666066064;0.18137176427907;0.20165205941152;0.24942536494929;0.20851669328234;0.07165088436066;0.10885043149587;0.1320997667363;0.22275103623082;0.13225979813602;0.10039314030531;0.19312212554899;0.26229641893652;0.33256518409024;0.21008975728935;0.14352711430716;0.11368930696091;0.09956319026508;0.1262757594939;0.17372809037972;0.17698260363478;0.21456180266832;0.15517257708561;0.2009415085362;0.17028039058581;0.15375658824861;0.07165088436066;0.11802420013939;0.1385817201266;0.14819925281995;0.24315486173952;0.28628812713573;0.28915135367875;2.0
TOTAL CARNE;29.02238622223917;24.78578826355788;25.6105972439972;29.89890327683269;30.13015168244148;38.56672235964187;33.90836267398322;17.03706346911589;21.8050719292851;25.97100585671931;33.56798114319316;18.22188383976945;21.85872488483659;32.30950943601664;40.38600653861344;42.13782195124849;35.70376007846213;27.84768734282414;22.19035528151711;31.80292698105593;29.95065786213261;27.86885893446565;29.43886176487112;29.35097584408819;28.77685834896783;29.61894216380867;27.74833807276746;21.7352546823773;17.03706346911589;23.40949744365287;30.31812341398938;25.96638371991699;37.38747861038847;39.17222333026896;43.17261438862881;1.0
