Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;99.555;99.515;99.388;99.65;99.641;99.544;99.605;99.253;99.559;99.505;99.63;98.691;99.536;99.742;99.746;99.678;99.469;99.499;99.584;99.472;99.441;99.556;99.584;99.658;99.545;99.58;99.223;99.106;99.253;99.675;99.75;99.458;99.6;99.885;99.762;0.0
T.HUEVOS KGS;79.59;81.815;74.786;77.95;81.237;81.373;80.099;77.68;78.602;77.276;82.371;73.982;74.672;82.007;83.709;79.157;80.961;79.49;80.072;76.972;75.011;79.756;81.431;81.606;77.714;83.911;75.569;70.773;77.68;78.681;83.24;81.979;82.383;77.305;83.516;1.0
T.HUEVOS UNDS.;79.59;81.815;74.786;77.95;81.237;81.373;80.099;77.68;78.602;77.276;82.371;73.982;74.672;82.007;83.709;79.157;80.961;79.49;80.072;76.972;75.011;79.756;81.431;81.606;77.714;83.911;75.569;70.773;77.68;78.681;83.24;81.979;82.383;77.305;83.516;1.0
TOTAL HUEVOS GALLINA;79.192;81.528;73.918;77.719;80.997;80.868;79.711;77.649;77.898;76.77;82.093;73.725;74.201;81.573;83.378;78.464;80.741;79.156;79.694;76.228;74.821;79.201;81.162;81.362;77.225;83.721;75.201;70.148;77.649;78.081;82.632;81.903;82.159;76.206;83.276;2.0
OTRAS AVES;3.21;3.701;4.269;2.047;3.285;3.252;3.312;2.544;3.191;3.376;3.023;2.421;2.492;4.274;3.007;3.018;2.694;3.623;3.692;3.642;4.378;3.151;2.417;3.31;3.297;2.979;4.49;1.353;2.544;3.3;5.553;3.865;3.714;1.709;2.874;2.0
MIEL;9.266;8.655;8.448;8.694;9.746;10.802;9.671;7.085;8.254;7.837;11;9.287;7.023;9.368;11.275;8.59;9.812;9.083;9.772;7;7.34;9.607;8.714;11.821;8.369;11.427;4.764;7.516;7.085;8.675;10.536;9.142;10.235;7.464;11.319;1.0
GRANEL;1.455;0.817;1.013;1.106;1.892;2.224;1.538;1.283;0.775;0.992;1.92;0.885;0.749;1.213;2.349;1.266;1.964;0.767;1.369;1.701;0.909;1.632;1.027;2.013;1.427;1.525;0;0;1.283;0.643;1.068;1.732;1.605;0.902;2.638;2.0
ENVASADA;7.875;7.879;7.567;7.584;8.047;8.344;8.14;5.798;7.646;6.93;9.025;8.275;6.33;8.186;8.903;7.347;7.716;8.206;8.631;5.42;6.205;8.102;7.796;9.864;7.059;9.844;4.764;7.516;5.798;8.167;9.265;7.722;8.733;6.574;8.676;2.0
TOTAL CARNE;97.765;98.471;97.477;97.672;97.971;97.237;97.559;98.178;98.893;97.708;97.855;94.877;97.898;98.561;97.82;95.909;98.115;98.708;98.853;97.943;98.231;97.927;97.601;97.103;97.803;97.678;93.776;96.437;98.178;98.948;99.343;98.911;98.89;96.289;97.668;1.0
CARNE CERTIFICADA;50.569;54.999;44.584;51.009;49.431;50.535;51.023;45.909;52.216;47.105;55.177;32.936;44.75;55.761;56.393;41.821;52.078;54.954;55.39;55.249;52.067;50.599;50.125;48.091;51.391;48.629;26.649;36.835;45.909;54.932;63.666;51.052;57.674;38.022;56.039;2.0
CARNE FRESCA;91.57;93.844;90.193;91.063;91.724;90.606;90.858;93.296;94.782;90.538;92.927;84.411;90.926;94.157;91.948;84.765;92.248;94.911;95.295;90.995;91.444;92.902;90.739;89.701;91.694;91.276;76.18;86.479;93.296;95.169;97.316;94.679;94.963;86.889;91.297;2.0
