Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;6976279.9262;1808359.46533;1024899.5207999999;1743496.37604;974923.50976;1424600.824;5387676.3611;593629.27752;994973.7682899999;3684660.7183000003;3291618.7892;351618.43603;1923854.6535;2526333.7499;2174472.50613;1316061.3492100001;2069816.47586;1582869.7187;2007531.7934;433347.00427;1076390.6057799999;2747711.57685;1649175.16954;1069655.12766;4907101.6696999995;2069177.8890999998;184815.27167;342762.509892;593629.27752;1164160.46539;876015.6816499999;585273.1381699999;1003635.7962999999;423137.56574;1802849.82015;0.0
T.HUEVOS KGS;114674.223;27550.866899999997;16461.6669;28411.0908;17447.8815;24802.6765;90556.711;8701.24902;15416.222099999999;56186.3839;58487.7988;6080.441690000001;28437.2351;39481.6416;40674.866299999994;22288.816600000002;35686.749;24688.6356;32009.9815;7480.1713;18831.3913;45164.6274;25310.6306;17887.358;81525.8969;33148.2858;3165.10514;5374.72567;8701.24902;18160.662399999997;13843.3211;9710.35266;16077.9393;6460.89091;33179.9425;1.0
T.HUEVOS UNDS.;114674.223;27550.866899999997;16461.6669;28411.0908;17447.8815;24802.6765;90556.711;8701.24902;15416.222099999999;56186.3839;58487.7988;6080.441690000001;28437.2351;39481.6416;40674.866299999994;22288.816600000002;35686.749;24688.6356;32009.9815;7480.1713;18831.3913;45164.6274;25310.6306;17887.358;81525.8969;33148.2858;3165.10514;5374.72567;8701.24902;18160.662399999997;13843.3211;9710.35266;16077.9393;6460.89091;33179.9425;1.0
TOTAL HUEVOS GALLINA;113388.8;27254.24;16217.99;28181.58;17302.93;24432.02;89485.35;8658.599;15244.81;55555.16;57833.6;6056.462;28150.3;39017.66;40164.34;21906.36;35345.08;24399.32;31738;7421.266;18489.65;44680.5;25104.15;17693.19;80559.87;32828.89;3091.934;5338.796;8658.599;17992.5;13637.13;9625.746;15936.39;6404.831;32702.84;2.0
OTRAS AVES;1285.423;296.62690000000003;243.6769;229.5108;144.9515;370.6565;1071.361;42.65002;171.4121;631.2239000000001;654.1988;23.979689999999998;286.9351;463.98159999999996;510.5263;382.4566;341.669;289.31559999999996;271.9815;58.905300000000004;341.74129999999997;484.1274;206.4806;194.168;966.0269000000001;319.3958;73.17114;35.92967;42.65002;168.1624;206.1911;84.60666;141.5493;56.05991;477.1025;2.0
MIEL;10481.59;1816.867;1378.53;2748.449;1618.31;2919.435;8650.114;681.4355;1150.041;4495.262;5986.329;610.3393000000001;2037.123;3882.651;3951.478;2329.536;3524.544;2037.554;2589.957;430.3323;1269.666;4439.667;2322.073;2019.853;6865.421;3616.17;183.1413;436.0548;681.4355;1323.557;1141.87;903.1328000000001;1672.528;621.2683000000001;3518.604;1.0
GRANEL;2682.49;302.5041;235.8761;662.7076;343.34409999999997;1138.058;2350.928;189.8909;141.6716;837.0239;1845.466;131.1609;313.92909999999995;860.3614;1377.039;584.5439;1240.511;410.2117;447.2235;137.2551;370.6076;1199.776;425.08320000000003;549.7683000000001;1776.363;906.1276;0;0;189.8909;107.2001;282.0622;222.02329999999998;432.9353;116.886;1331.492;2.0
ENVASADA;7799.101;1514.363;1142.654;2085.742;1274.966;1781.377;6299.187;491.5446;1008.369;3658.238;4140.863;479.1783;1723.194;3022.29;2574.439;1744.992;2284.033;1627.343;2142.734;293.0771;899.0586;3239.891;1896.989;1470.084;5089.059;2710.042;183.1413;436.0548;491.5446;1216.357;859.8079;681.1095;1239.592;504.3824;2187.111;2.0
TOTAL CARNE;1343232;346630.8;186827.6;343831.9;190501;275440.6;1024355;116878.9;201997.9;719214.9;624016.9;66018.03;375193.2;505631.9;396388.6;221100;388160.6;315743.4;418227.8;93616.02;213242.8;519732.1;315540.6;201100.1;943769.4;399462.4;29844.11;61641.34;116878.9;241258.2;188103.9;119339;190599.6;69013.62;326553.2;1.0
