Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;99.659;99.698;99.59;99.66;99.636;99.684;99.714;99.339;99.622;99.663;99.662;99.281;99.616;99.827;99.73;99.739;99.724;99.469;99.661;99.458;99.548;99.679;99.682;99.757;99.665;99.644;99.642;99.584;99.339;99.649;99.847;99.587;99.861;99.808;99.717;0.0
T.HUEVOS KGS;78.149;80.456;74.943;77.665;79.306;77.982;78.563;73.001;79.55;76.076;80.632;70.602;72.924;81.607;81.646;75.908;80.22;78.752;79.474;72.024;74.357;78.685;78.865;81.517;75.853;83.399;60.453;75.089;73.001;80.684;81.629;82.54;80.78;77.711;80.938;1.0
T.HUEVOS UNDS.;78.149;80.456;74.943;77.665;79.306;77.982;78.563;73.001;79.55;76.076;80.632;70.602;72.924;81.607;81.646;75.908;80.22;78.752;79.474;72.024;74.357;78.685;78.865;81.517;75.853;83.399;60.453;75.089;73.001;80.684;81.629;82.54;80.78;77.711;80.938;1.0
TOTAL HUEVOS GALLINA;77.897;80.142;74.526;77.306;79.347;77.806;78.387;72.933;78.712;75.734;80.48;70.329;72.553;81.43;81.427;75.663;80.064;78.469;79.086;71.822;74.096;78.452;78.608;81.218;75.561;83.236;60.513;74.647;72.933;80.102;81.218;82.334;80.657;77.607;80.721;2.0
OTRAS AVES;2.285;3.206;1.944;2.581;1.597;1.661;2.059;1.705;4.083;2.414;2.13;1.499;2.539;2.779;1.658;0.442;2.852;2.607;3.496;0.697;2.755;2.273;1.796;3.068;2.08;2.765;0.744;2.288;1.705;3.927;4.042;1.957;3.833;0.162;1.488;2.0
MIEL;8.149;8.304;5.71;9.996;6.664;8.467;8.51;5.046;7.93;6.498;10.131;3.657;5.439;8.713;11.202;8.608;7.909;7.423;8.472;15.064;5.926;7.8;8.245;8.444;8.212;8.091;3.684;3.324;5.046;8.274;8.159;9.072;7.16;6.199;12.019;1.0
GRANEL;2.15;1.88;1.527;2.49;2.57;2.15;2.262;0.481;2.439;1.52;2.921;0.135;1.358;2.445;3.112;3.563;1.949;0.471;1.976;4.623;1.134;1.703;2.86;2.001;2.454;1.387;2.342;0;0.481;1.834;1.482;1.394;2.396;2.595;3.558;2.0
ENVASADA;6.193;6.445;4.42;7.814;4.228;6.5;6.476;4.315;5.67;5.06;7.56;3.475;4.14;6.628;8.371;5.401;6.112;7.037;6.522;10.614;4.882;6.189;5.591;6.719;5.928;6.838;1.848;3.324;4.315;6.533;7.087;7.736;5.126;4.066;8.76;2.0
TOTAL CARNE;97.484;98.079;97.165;97.438;97.047;97.477;97.206;97.972;98.94;97.587;97.368;95.105;97.632;98.352;97.273;95.854;97.654;98.695;98.439;97.373;97.381;97.569;97.579;97.302;97.473;97.512;92.443;96.743;97.972;98.795;99.195;98.165;98.68;96.453;97.267;1.0
