Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;6821160.4692;1811003.82;987411.8729;1703553.0864000001;965820.34297;1353371.122;5239890.1895;574160.3265;1007109.5456000001;3626167.1262;3194992.9570999998;358060.91638999997;1893444.1154;2493668.8606999996;2075986.6346;1271581.6731500002;2030176.8303;1539155.8658;1980246.0196;420305.112339;1011300.08409;2730863.7748000002;1616920.2497999999;1041771.12864;4807663.7652;2013496.4478;185134.86481;339473.61912;574160.3265;1169974.8354;863162.5587;561045.5538;1003948.3931;415745.08745999995;1708515.1093;0.0
T.HUEVOS KGS;112903.6792;27757.9377;15892.320300000001;29073.507100000003;16484.46397;23695.4801;88378.45790000001;8559.73647;15965.517800000001;55196.0424;57707.6568;6662.21789;28168.477899999998;38332.1941;39740.821299999996;21260.29665;34911.6564;25085.2416;31646.5145;7458.59349;17429.01;45770.1138;25574.9562;16671.0238;79956.7874;32946.921800000004;2741.6383100000003;5756.46807;8559.73647;18304.95;13589.3436;9550.9126;17252.0816;5857.64946;31290.93;1.0
T.HUEVOS UNDS.;112903.6792;27757.9377;15892.320300000001;29073.507100000003;16484.46397;23695.4801;88378.45790000001;8559.73647;15965.517800000001;55196.0424;57707.6568;6662.21789;28168.477899999998;38332.1941;39740.821299999996;21260.29665;34911.6564;25085.2416;31646.5145;7458.59349;17429.01;45770.1138;25574.9562;16671.0238;79956.7874;32946.921800000004;2741.6383100000003;5756.46807;8559.73647;18304.95;13589.3436;9550.9126;17252.0816;5857.64946;31290.93;1.0
TOTAL HUEVOS GALLINA;112067;27498.2;15749.01;28848.51;16406.01;23565.3;87800.29;8514.973;15751.77;54720.6;57346.42;6615.792;27915.3;38004.38;39531.56;21219.71;34586.86;24920.57;31339.89;7429.638;17215.91;45504.68;25414.02;16502.77;79416.05;32650.98;2731.188;5709.621;8514.973;18075.58;13455.98;9507.786;17093.87;5841.993;31136.04;2.0
OTRAS AVES;836.6791999999999;259.7377;143.31029999999998;224.99710000000002;78.45397;130.1801;578.1679;44.76347;213.74779999999998;475.4424;361.2368;46.42589;253.1779;327.8141;209.26129999999998;40.58665;324.7964;164.6716;306.6245;28.95549;213.1;265.43379999999996;160.9362;168.25379999999998;540.7374;295.9418;10.45031;46.84707;44.76347;229.37;133.36360000000002;43.126599999999996;158.2116;15.65646;154.89;2.0
MIEL;9453.808;1895.207;882.9904;3257.146;1125.66;2292.806;7873.369;388.8149;1191.625;3974.741;5479.068;217.2246;1834.736;3373.692;4028.156;3255.243;2665.593;1468.272;2064.701;1086.448;1004.691;3442.351;2446.746;1473.572;6834.303;2619.506;315.7113;180.4099;388.8149;1251.967;834.1451999999999;681.9331;1185.376;906.8959;3708.555;1.0
GRANEL;3662.986;722.6911;296.01570000000004;1297.433;555.0584;791.7876;3019.034;107.9652;535.9871999999999;1574.549;2088.438;15.37257;725.4875999999999;1348.203;1573.923;1772.771;897.0683;235.4687;757.6786;481.63329999999996;239.92929999999998;1309.578;1188.138;443.70759999999996;2904.698;758.2878000000001;180.7875;0;107.9652;439.4543;201.93189999999998;180.5225;511.4207;509.0622;1531.842;2.0
ENVASADA;5790.822;1172.516;586.9746;1959.713;570.6011;1501.018;4854.335;280.8497;655.6378000000001;2400.192;3390.63;201.852;1109.249;2025.488;2454.233;1482.472;1768.524;1232.803;1307.023;604.8149000000001;764.7618;2132.773;1258.608;1029.864;3929.605;1861.218;134.9238;180.4099;280.8497;812.5131;632.2133;501.4105;673.9556;397.8337;2176.713;2.0
TOTAL CARNE;1292282;339748.7;178068;326504.3;191163.2;256797.7;975244;110633.6;206404.3;700161;592120.9;64534.52;371448.3;494928.1;361370.9;208696.4;367278.9;299966.5;416340.2;85944.22;196160.4;517128;292107;200942.4;916140.6;376141.3;31265.02;60175.92;110633.6;247514.5;181710.1;109055.7;187965.3;67534.75;296427;1.0
