Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;145.97834776349015;124.40584058165219;138.45332430635438;148.83170133247688;146.38555172512375;191.48880850262256;172.29465074634555;84.10583105304794;104.90531799552957;128.16961448543657;172.55623554461562;92.995560307426;108.9370813316302;156.18200676806848;214.47299018095686;244.51320739878082;185.43676388064657;132.30983946910683;104.1892676740955;138.69328241412666;144.57334252474456;144.44231815576563;145.4553757704877;155.5566136345826;144.76787944852475;148.9190812387661;155.70870033977275;123.2402966810568;84.10583105304794;109.73259958127557;135.00518127482061;121.17385154856822;194.22161150114403;234.53654393288892;229.19927830281324;0.0
T.HUEVOS KGS;2.3846036287358;1.98235408593211;2.12863470360066;2.41737881058791;2.50813804429762;3.28199340512655;2.78932859923247;1.43219970104699;1.75465278970571;2.03690742602863;2.90369945110755;1.75129423592566;1.77040452559955;2.41854067891453;3.64578417594267;3.93775360136603;2.98008489374649;2.19631555380926;1.72460416550074;2.25933349141496;2.41850018745106;2.3566297768748;2.4641456189825;2.3545770305871;2.39860606624423;2.3506148527634;2.61542286615771;1.85782343315013;1.43219970104699;1.84097580368673;2.17421910061325;1.98144222236907;2.95996707876724;3.79945605897168;3.85009734488817;1.0
T.HUEVOS UNDS.;2.3846036287358;1.98235408593211;2.12863470360066;2.41737881058791;2.50813804429762;3.28199340512655;2.78932859923247;1.43219970104699;1.75465278970571;2.03690742602863;2.90369945110755;1.75129423592566;1.77040452559955;2.41854067891453;3.64578417594267;3.93775360136603;2.98008489374649;2.19631555380926;1.72460416550074;2.25933349141496;2.41850018745106;2.3566297768748;2.4641456189825;2.3545770305871;2.39860606624423;2.3506148527634;2.61542286615771;1.85782343315013;1.43219970104699;1.84097580368673;2.17421910061325;1.98144222236907;2.95996707876724;3.79945605897168;3.85009734488817;1.0
TOTAL HUEVOS GALLINA;2.36468691593717;1.97007777919821;2.11036846212926;2.40105513504737;2.482643767488;3.24447357322281;2.76802029572833;1.41762887622174;1.73533388475377;2.02060464063034;2.87838526607246;1.73754119108351;1.75426581806714;2.39815920353579;3.61766776318802;3.90385923804175;2.95322197985958;2.18129227867834;1.70957043414079;2.24997976673089;2.38787708250418;2.34142710603129;2.44696237097709;2.3241517028683;2.37751984539714;2.33353812151772;2.59494181527515;1.84531676396339;1.41762887622174;1.82230790648531;2.15840524013044;1.97427309985271;2.92228421252268;3.78475980161606;3.8205489073621;2.0
OTRAS AVES;0.01991671279863;0.01227630673389;0.0182662414714;0.01632367554054;0.02549427680962;0.03751983190374;0.02130830350413;0.01457082482525;0.01931890495193;0.01630278539829;0.02531418503508;0.01375304484215;0.0161387075324;0.02038147537874;0.02811641275465;0.03389436332428;0.02686291388691;0.01502327513091;0.01503373135995;0.00935372468406;0.03062310494688;0.01520267084351;0.0171832480054;0.0304253277188;0.02108622084709;0.01707673124568;0.02048105088256;0.01250666918673;0.01457082482525;0.01866789720141;0.01581386048281;0.00716912251636;0.03768286624456;0.01469625735562;0.02954843752607;2.0
MIEL;0.27682855241276;0.15470443267213;0.20938491617961;0.28247195180664;0.16144029195622;0.68452988386849;0.37681244345577;0.0847647249437;0.08793803996602;0.14646086867913;0.4717178792061;0.15755925559646;0.10607926135101;0.21565358802045;0.71828452515466;1.09594545403559;0.32191373321398;0.16793906931749;0.08683070712529;0.63934461149045;0.18864097168395;0.2337833359863;0.30663540152786;0.28441270477959;0.27456100898565;0.28233739175343;0.51656627361908;0.1340026344172;0.0847647249437;0.09385132058471;0.11099992325685;0.13097924907457;0.3231519221221;0.43513408531419;0.87502606892718;1.0
GRANEL;0.14385115539944;0.0525374771954;0.08246290206198;0.14630182126612;0.04724743637858;0.47238003157878;0.21222182644115;0.01629996436077;0.0116260337517;0.05016229738398;0.28393143098048;0.03254257545963;0.03763806087118;0.08405572943812;0.46682412459601;0.77211613473972;0.15930205513662;0.05717996775283;0.01089352168569;0.60812815726246;0.09318227876181;0.10205280571345;0.14887783176542;0.10425951547622;0.14886952941429;0.13166522303343;0.3239580136405;0.04004867708383;0.01629996436077;0.00924485689196;0.01189410609621;0.01790563646492;0.20927868226879;0.23187962910076;0.57549889389055;2.0
ENVASADA;0.13297737540693;0.10216691991401;0.12692197336947;0.13617021833223;0.11419285557764;0.21214985228971;0.16459071583374;0.06846476058293;0.07631199541462;0.09629857129515;0.18778650214187;0.12501668013683;0.0684411888299;0.13159785858232;0.25146040055865;0.32382931929586;0.16261177113316;0.11075909288725;0.07593718008441;0.03121654307322;0.0954586788877;0.13173053027284;0.15775756976244;0.18015320391286;0.12569147957135;0.15067216872;0.19260825997857;0.09395392246819;0.06846476058293;0.08460646080369;0.09910582982625;0.1130736016315;0.11387320049941;0.20325439908044;0.29952717503663;2.0
TOTAL CARNE;29.01156142391889;24.31888818055495;26.77177956260406;30.3179471546847;29.61831035061052;37.97012352536521;33.87759773261068;16.25175694289526;22.37207594900803;25.66662594830255;34.00289261842437;17.80765204129613;22.00920091490617;32.3662769368461;40.12433059811404;42.62192666453742;35.71061377987786;26.68671370384238;22.81394920750822;30.69544530917022;29.53442540381279;28.50977579723125;27.38805739494145;31.6554911272745;28.85092504356372;29.40186681692181;26.43725275233847;23.88922260091758;16.25175694289526;23.91152202371512;30.10340730773372;24.3600089859938;38.34204392733578;39.97589919124066;42.76666092017357;1.0
