Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2224376.89444;559828.970134;327708.577076;550568.142411;321482.658537;464788.585137;1698340.8468699998;195303.623602;330732.441362;1157835.1075;1066541.897247;116660.702901;638333.6047660001;794507.99471;674874.650073;410953.104661;641714.46526;510847.09821799997;660862.2646390001;139631.35506600002;336991.587949;907650.2510599999;511932.228931;328171.482703;1602137.3216300001;622239.649614;56151.277906999996;116701.85225499999;195303.623602;385702.987905;278041.258596;183284.989567;323123.75969;136572.255012;549494.927923;0.0
T.HUEVOS KGS;34340.95384;8607.22337;4934.71767;8443.22563;5170.0435099999995;7185.74622;25949.2074;3092.95821;5298.789519999999;17804.34889;16536.60496;2092.557816;9716.473179999999;11969.351419999999;10562.57719;6123.42693;9548.975789999999;8070.59146;10597.96607;1961.3310079999999;5299.57904;13819.66166;8194.040509999999;5066.34291;24264.39221;10076.56163;874.689227;1657.2923799999999;3092.95821;6322.95176;4350.88641;2919.548529;4595.01755;1980.497541;8547.11224;1.0
T.HUEVOS UNDS.;544551.604;136119.557;78299.139;133607.503;82238.363;114287.082;410861.58;49197.747;84492.298;282469.489;262082.116;33154.8156;154417.258;189764.942;167214.679;97286.913;151431.039;127677.586;168156.167;30952.1228;84381.494;218551.826;129708.491;80957.691;384935.741;159615.863;13946.8427;26219.914;49197.747;100625.27;68804.535;45898.4529;73406.993;31199.366100000003;135252.484;1.0
TOTAL HUEVOS GALLINA;535100.7;134185.7;76883.82;131613.9;80512.22;111905.1;404455.4;48166.31;82479.01;277401;257699.7;32611.29;151338.9;186513;164637.6;95380.7;148790.1;125811.4;165118.6;30589.07;82514.15;215447.1;127721.4;78829;378056.2;157044.5;13615.2;25835.06;48166.31;98457.39;67830.39;45566;71499.03;30898.22;133233.1;2.0
OTRAS AVES;9450.904;1933.857;1415.319;1993.603;1726.143;2381.982;6406.18;1031.437;2013.288;5068.489;4382.416;543.5255999999999;3078.358;3251.942;2577.079;1906.213;2640.939;1866.186;3037.567;363.0528;1867.344;3104.726;1987.091;2128.691;6879.541;2571.363;331.6427;384.854;1031.437;2167.88;974.145;332.4529;1907.963;301.1461;2019.384;2.0
MIEL;1623.985;277.82370000000003;194.94379999999998;407.8046;145.6647;597.7475999999999;1429.554;75.61721;118.8133;545.1700999999999;1078.814;80.82976;244.9992;437.2616;860.8939;709.2898;417.2955;269.9884;227.4108;194.0855;163.97279999999998;571.5942;436.07809999999995;258.2538;1126.136;497.8489;84.40705;46.87093;75.61721;133.2491;102.3605;89.76663;191.814;93.66596000000001;806.233;1.0
GRANEL;705.5159;70.82029;64.16989;168.5662;30.98949;370.9701;687.3645;9.240528;8.910872;149.61720000000003;555.8987;9.858988;77.54977000000001;125.7954;492.3118;447.84009999999995;170.3025;69.12316;18.25015;181.58;61.1986;199.8056;188.10129999999998;74.83033999999999;510.4756;195.0403;51.59309;10.449950000000001;9.240528;9.009621;6.552113;6.192113999999999;102.57310000000001;43.53626;466.3691;2.0
ENVASADA;918.4685999999999;207.0034;130.7739;239.23839999999998;114.67530000000001;226.7775;742.1894;66.37669;109.9024;395.5528;522.9157;70.97077;167.4494;311.4662;368.5822;261.4497;246.993;200.86520000000002;209.16060000000002;12.50548;102.7742;371.7886;247.9768;183.4235;615.6599;302.80859999999996;32.81395;36.42098;66.37669;124.2395;95.80841000000001;83.57452;89.24092;50.1297;339.8639;2.0
TOTAL CARNE;160489.2;41066.52;23123.63;41023.31;23390.05;31885.7;120573.4;13937.13;25978.68;86256.27;74232.95;8424.407;47285.8;60997.64;43781.38;24866.33;43855.83;37832.5;53934.56;11233.65;25196.99;64948.04;34864.4;24246.13;115024.5;45464.71;3448.533;8356.62;13937.13;31166.73;23219.05;13967.68;22813.98;7845.487;35734.02;1.0
