Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;6855492.7134;1841727.9697999998;1027102.13781;1665735.4113;956135.43336;1364792.1713;5301509.9244;548283.28031;1005699.87767;3635369.2031;3220123.7467;323476.451768;1903764.9769000001;2498270.4021;2129981.0624;1284847.53384;2043604.4711;1514691.3434000001;2012349.8232;455017.06069;1021525.16605;2707608.8704;1619413.0927000002;1051928.8472;4801381.0558;2054111.8051;180864.000434;334080.08326;548283.28031;1184764.2071300002;857751.02816;561033.7893;1019749.4272899999;424152.521;1744814.6866;0.0
T.HUEVOS KGS;108694.1514;28801.5193;16272.2793;25909.943;15119.193;22591.2566;84345.9516;9200.644199999999;15147.6026;56381.2823;52312.9191;6173.39733;29875.8897;37987.9128;34656.9974;20210.86914;31779.1407;23572.798300000002;33131.3832;6098.212219999999;18138.461199999998;43313.3764;25110.8262;16033.3244;76368.8984;32325.292899999997;2939.529344;5684.31321;9200.644199999999;18460.4591;14010.5896;8944.266800000001;15159.9617;6595.19337;27699.2311;1.0
T.HUEVOS UNDS.;108694.1514;28801.5193;16272.2793;25909.943;15119.193;22591.2566;84345.9516;9200.644199999999;15147.6026;56381.2823;52312.9191;6173.39733;29875.8897;37987.9128;34656.9974;20210.86914;31779.1407;23572.798300000002;33131.3832;6098.212219999999;18138.461199999998;43313.3764;25110.8262;16033.3244;76368.8984;32325.292899999997;2939.529344;5684.31321;9200.644199999999;18460.4591;14010.5896;8944.266800000001;15159.9617;6595.19337;27699.2311;1.0
TOTAL HUEVOS GALLINA;107719.1;28414.22;16119.35;25755.04;15010.11;22420.42;83682.36;9087.577;14949.21;55800.41;51918.74;6130.966;29501.47;37637.67;34449.04;20139.51;31462.3;23386.18;32731.15;6036.029;17871.97;42966.86;24947.1;15897.19;75626.64;32092.5;2930.629;5632.819;9087.577;18242.63;13819.02;8899.355;15041.91;6547.587;27517.61;2.0
OTRAS AVES;975.0514000000001;387.2993;152.92929999999998;154.903;109.083;170.8366;663.5916;113.0672;198.39260000000002;580.8723;394.17909999999995;42.43133;374.41970000000003;350.2428;207.9574;71.35914;316.8407;186.61829999999998;400.2332;62.18322;266.4912;346.51640000000003;163.7262;136.1344;742.2584;232.7929;8.900343999999999;51.49421;113.0672;217.8291;191.5696;44.9118;118.0517;47.606370000000005;181.6211;2.0
MIEL;10935.22;3103.882;1470.68;2556.607;1414.078;2389.968;9467.383;435.4827;1032.35;4461.748;6473.468;395.749;2027.315;3714.756;4797.396;2909.972;3046.162;2916.776;2062.306;399.76529999999997;1086.378;5364.294;2159.641;1925.138;7581.035;3354.181;296.49170000000004;384.9865;435.4827;1072.612;1171.373;719.8743000000001;1464.38;992.0690999999999;4397.946;1.0
GRANEL;5317.952;1477.741;698.1156;1287.856;682.1382;1172.101;5016.471;38.75506;262.7259;1636.021;3681.931;52.381879999999995;625.3661;1737.652;2902.552;1565.522;1509.085;1719.967;523.3775;85.04172;539.2308;3077.446;980.0101;636.2228;4305.403;1012.549;79.99310000000001;69.86237;38.75506;211.3594;592.7592;240.0052;644.2660999999999;603.0808000000001;2837.871;2.0
ENVASADA;5617.264;1626.141;772.5644;1268.751;731.9399000000001;1217.868;4450.912;396.7277;769.6243000000001;2825.726;2791.538;343.3672;1401.948;1977.104;1894.845;1344.45;1537.077;1196.809;1538.928;314.7235;547.1473000000001;2286.848;1179.631;1288.915;3275.632;2341.632;216.4986;315.12420000000003;396.7277;861.253;578.6141;479.8691;820.1135;388.9883;1560.075;2.0
TOTAL CARNE;1312323;354752.2;189845.1;316646.5;187164.6;263915;995506.3;107693.2;209123.9;704650.6;607672.8;62438.29;369796.8;496815.7;383272.6;217465.6;367927.3;299615.5;427315.1;91841.68;200948.1;506343.7;299649.1;213540.8;914831.2;397492.2;32054.65;61221.92;107693.2;251681.5;181387.5;109765.6;188163.2;69628.38;310727.4;1.0
