Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;147.78715593908004;127.5431967863722;139.78754121857773;150.01846622794076;145.89201674187441;194.03817361721622;173.8943422788452;87.57697832359587;105.9075316071741;128.49613171313206;177.46973781098706;95.1224421956367;109.9133678154;158.62909619953624;217.11268438409132;246.0244982224033;185.51587443479173;135.69375899077352;106.75821283665306;139.68352623738198;142.69544629389026;144.5537839750422;152.59170335125253;157.84566273062975;144.09658652407157;156.7371989750244;159.5448604143218;117.09579383727645;87.57697832359587;111.72024508526822;134.4565428671522;123.82626308651183;191.7903529096425;236.5807401014045;235.2314076552148;0.0
T.HUEVOS KGS;2.48115315969794;2.19006925157559;2.24323762287057;2.3207365673162;2.48963173548179;3.5521353632924;2.97288695766284;1.336417511049;1.68936660433312;2.02467152460821;3.19054753823631;1.63485645022761;1.66769332336744;2.57811087123621;4.06264458844394;4.12117623590745;3.14179951706945;2.32704229643824;1.748586375404;2.15260398112824;2.51429180448408;2.50376501020397;2.4668144307915;2.54621915937138;2.45871377792295;2.53563398829253;2.54011410624286;1.91636901568954;1.336417511049;1.77312133870234;2.26613422477275;2.33492620909437;3.01174160114579;3.52290225812535;4.31061424268568;1.0
T.HUEVOS UNDS.;2.48115315969794;2.19006925157559;2.24323762287057;2.3207365673162;2.48963173548179;3.5521353632924;2.97288695766284;1.336417511049;1.68936660433312;2.02467152460821;3.19054753823631;1.63485645022761;1.66769332336744;2.57811087123621;4.06264458844394;4.12117623590745;3.14179951706945;2.32704229643824;1.748586375404;2.15260398112824;2.51429180448408;2.50376501020397;2.4668144307915;2.54621915937138;2.45871377792295;2.53563398829253;2.54011410624286;1.91636901568954;1.336417511049;1.77312133870234;2.26613422477275;2.33492620909437;3.01174160114579;3.52290225812535;4.31061424268568;1.0
TOTAL HUEVOS GALLINA;2.45844274515722;2.16788950828737;2.22086846191904;2.30321897261788;2.47560967108471;3.51188944990059;2.9487698115008;1.3222883466363;1.66489051556522;2.00537734164192;3.16255676316425;1.62369956935861;1.64704087836029;2.55008082508035;4.04001245063651;4.09367504639745;3.10807418961112;2.30631958121108;1.73219300225699;2.14595203307619;2.47501502144345;2.48869345671368;2.43591695640043;2.52575437269379;2.43564841957632;2.51378289079422;2.4944795190772;1.903925051884;1.3222883466363;1.74944328975779;2.24706602682564;2.3220511676368;2.96860961972692;3.51193155386756;4.28320807022333;2.0
OTRAS AVES;0.02271041454071;0.02217974328821;0.02236916095153;0.01751759469831;0.01402206439707;0.04024591339181;0.02411714616203;0.0141291644127;0.0244760887679;0.01929418296628;0.02799077507205;0.01115688086899;0.02065244500714;0.02803004615585;0.02263213780743;0.02750118950999;0.03372532745833;0.02072271522715;0.01639337314701;0.00665194805204;0.03927678304063;0.01507155349029;0.03089747439106;0.02046478667759;0.02306535834663;0.0218510974983;0.04563458716566;0.01244396380553;0.0141291644127;0.02367804894454;0.01906819794711;0.01287504145757;0.04313198141886;0.01097070425778;0.02740617246234;2.0
MIEL;0.20144824763228;0.13309803850012;0.20598189998168;0.1712868757577;0.22466410767136;0.36003674201172;0.25622423248619;0.0624498856762;0.11836234349516;0.14399207926892;0.2915038364322;0.08246728001657;0.15493862509072;0.15544836122489;0.40111795852666;0.43376625666466;0.33292991403307;0.13155865428113;0.10288661259832;0.2541883531896;0.18738286271123;0.19109581110414;0.1830002926534;0.25130200431908;0.19637485804829;0.2137517883688;0.25293615276971;0.11659858223158;0.0624498856762;0.12164731208915;0.13403739862454;0.09159753209732;0.30458390205957;0.3688120261997;0.46546647020547;1.0
GRANEL;0.07807656207705;0.04020387146487;0.08553364466522;0.07445409841814;0.10142957793569;0.13032317229165;0.10001301288338;0.00374370570814;0.05707360693277;0.0655432046128;0.09748525486764;0.02372137675339;0.08532177896052;0.04576671685894;0.13894312513718;0.17726948654269;0.15201212880899;0.03833773115017;0.03151267751485;0.18646098315059;0.10007504943694;0.05589509754392;0.07777022233896;0.07058994068077;0.08538588058817;0.06036551280147;0.12119341009566;0.03245196140161;0.00374370570814;0.04779561458829;0.0466207968967;0.02536073898895;0.15682770669566;0.1635082833515;0.17799141509275;2.0
ENVASADA;0.12337170686487;0.09289419504493;0.12044825531645;0.09683273415165;0.12323449870675;0.22971362554653;0.1562112196028;0.05870618642412;0.06128870450947;0.07844887465612;0.19401858156455;0.05874592897219;0.06961684613019;0.10968163174802;0.26217483338948;0.25649677012197;0.18091778522407;0.09322095768763;0.07137393508346;0.06772737003901;0.08730779934465;0.13520076609068;0.10523003357785;0.18071212175275;0.11098897746011;0.15338624638553;0.13174274267404;0.08414662082997;0.05870618642412;0.07385169750085;0.0874166161541;0.06623677032399;0.1477562758636;0.20530380077242;0.2874749280408;2.0
TOTAL CARNE;28.85494448978527;25.3421559265034;25.90300689944093;28.49762827576915;30.04634111792297;38.33755543652354;33.40885288162706;17.23760221134711;22.38984982769037;25.39819336718194;34.15734516258786;17.19950019559437;22.20916757345127;31.8876424634572;40.22158432547566;43.26767508986742;33.98472182565222;27.58253540040358;22.87056484489753;28.84597421201373;29.14557735326162;27.95462462607155;29.03083314484452;30.75583929233755;28.17906308260499;30.49408971684357;25.7893713596431;21.87277891835092;17.23760221134711;24.32659329902877;28.69432203449313;23.72782853013916;36.94724974803974;39.62240885709402;43.50554916249727;1.0
