Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2246078.2058800003;573962.41958;330629.10602;559361.683521;312735.712237;469389.214226;1729842.23175;187449.309428;328786.59275099996;1192934.81174;1053143.39948;124530.42427599999;621826.0467000001;803698.14447;696023.5601900001;412715.54853;653577.7482799999;518499.66401999997;661285.1827;138222.106808;343008.774556;907854.53196;528368.634876;328624.08543000004;1593552.34947;652525.87514;62097.863429;108982.9348;187449.309428;385300.601975;304030.811977;177449.78127099999;306403.724704;132400.850571;581962.2301;0.0
T.HUEVOS KGS;36321.633299999994;9631.39334;5246.61661;8330.64878;5192.53551;7920.44221;28423.166350000003;2783.675267;5114.7916399999995;18568.78055;17752.85271;2173.2917850000003;9090.4599;12894.52852;12163.35369;6650.34001;10378.461720000001;8497.3633;10795.47463;2004.858628;5556.382610000001;14780.55783;8398.61515;5581.21968;25367.07876;10954.5545;960.216782;1692.281338;2783.675267;6103.92348;5096.4178600000005;3272.562058;4486.65629;1830.418626;10095.48157;1.0
T.HUEVOS UNDS.;576055.47;153332.114;83376.577;131943.458;81981.045;125422.321;449891.455;44314.3547;81849.656;294955.055;281100.411;34357.1445;144789.39;204958.432;191950.509;105049.141;164784.972;134846.53;171374.923;31495.1308;88402.937;233673.843;133809.355;88674.21;402232.056;173823.41;15303.180199999999;26700.5338;44314.3547;97556.076;80735.284;51574.271799999995;71515.157;28758.732600000003;159597.877;1.0
TOTAL HUEVOS GALLINA;565945.9;149964.3;81719.46;129837.3;80976.39;123448.5;443041.7;43343.18;79561.02;289245;276700.9;33883.71;141529;200832.3;189700.9;103700.9;161678;132387;168180.1;31294.58;86525.06;230441.1;130750.4;86934.77;395273.3;170672.6;14947.87;26394;43343.18;94969.68;79427.13;51052.21;69842.68;28570.95;157398.2;2.0
OTRAS AVES;10109.57;3367.814;1657.117;2106.158;1004.655;1973.821;6849.755;971.1746999999999;2288.636;5710.055;4399.511;473.4345;3260.39;4126.132;2249.609;1348.241;3106.972;2459.53;3194.823;200.55079999999998;1877.877;3232.743;3058.955;1739.44;6958.756;3150.81;355.3102;306.5338;971.1746999999999;2586.396;1308.154;522.0618;1672.477;187.7826;2199.677;2.0
MIEL;1278.886;272.4878;210.7729;255.854;207.4839;332.28740000000005;1068.001;61.49789;149.3875;558.7838;720.1021;48.74259;341.7427;338.4002;550.0004;296.9259;485.9903;214.4699;281.4997;100.37819999999999;187.0144;498.5869;258.9425;233.9639;880.4081;398.4778;43.06049;47.25712;61.49789;175.4979;129.6754;58.387620000000005;191.7261;83.5888;488.1946;1.0
GRANEL;380.9448;64.11082;71.35496;81.1165;60.495129999999996;103.8673;318.0692;2.671724;60.20378;204.28310000000002;176.6616;12.061020000000001;153.58870000000002;72.75916000000001;142.5359;104.6011;166.74020000000002;47.80625;61.7972;59.0013;81.16722999999999;111.57339999999999;79.7068;49.49603;297.7935;83.15121;14.86132;12.061020000000001;2.671724;54.774800000000006;33.03871;12.36752;78.83954;29.79419;142.5359;2.0
ENVASADA;897.9411;208.3769;139.4179;174.7375;146.9888;228.42;749.9313000000001;58.82617;89.18368;354.5007;543.4404000000001;36.68157;188.154;265.6411;407.4645;192.32479999999998;319.2502;166.6636;219.7025;41.37693;105.8472;387.0135;179.2357;184.4679;582.6146;315.3265;28.19917;35.1961;58.82617;120.7231;96.63667;46.0201;112.8866;53.79461;345.6587;2.0
TOTAL CARNE;164273.2;43853.56;23129.96;39642.03;24401.26;33246.38;123576.2;13841.02;26856;90447.32;73825.87;8687.26;47790.06;61578.1;46217.77;26369.48;43841.2;39051.85;55010.66;10935.05;25672.82;65530.98;37928.78;24205.56;115765.2;48508;3889.221;7754.73;13841.02;32736.57;24800.34;13174.92;21675.11;7767.337;38633.94;1.0
CARNE CERTIFICADA;22934.58;5657.415;2763.015;5813.4;3628.478;5072.27;18448.4;1591.615;2894.561;11217.24;11717.34;1020.573;5217.435;8417.959;8278.61;4192.227;6526.813;5680.85;6534.687;1389.922;3772.862;9077.045;5237.59;3457.159;16428.34;6506.241;532.3908;659.5256999999999;1591.615;3715.21;3790.921;1443.261;3268.548;1017.604;6915.503;2.0
