Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2.831139315598745;2.9087913249509754;2.8930892488792908;2.8498000950958717;2.7300741079603004;2.7550506684827822;2.862062616936574;2.6431634502690913;2.7622118006407987;2.8487312428638853;2.812766250812893;2.7570333918950705;2.7303935039870004;2.8594088965161726;2.893922198945261;2.953181167602383;2.8589903371629455;2.7827694950214847;2.7488840952599403;2.749754077314994;2.751496587396206;2.783424214505252;2.9127264272779705;2.970650542500949;2.778372596073491;2.9736158458167474;2.8721940214879202;2.7574243438075787;2.6431634502690913;2.783563490887396;2.8508851434184086;2.8207095904394137;2.8672870798574386;2.794470403580523;2.902346882021943;0.0
T.HUEVOS KGS;3.2042832481352397;3.2858987053564275;3.1789511938467863;3.2317330824997814;3.0682698505529546;3.204458494360635;3.2477872339928555;2.9842032842773216;3.0789497966143085;3.1430463527118344;3.2654112993432642;2.9590524199787316;3.1058294848018173;3.1705271094224923;3.3524633109846347;3.3028927121936515;3.349887374343854;3.1134109230062323;3.044409060195186;3.274863951149724;3.2273819929327954;3.197865744086443;3.2278507508072822;3.1270666399008467;3.214589810451378;3.178316481786857;3.2019729387776588;3.2421417831654766;2.9842032842773216;3.0773150854603566;3.072811189590756;3.0464803085744205;3.361973727803172;3.1961641975663198;3.3606898486257806;1.0
T.HUEVOS UNDS.;0.2018768147003;0.20643932233464013;0.200550036530179;0.2032730191070341;0.19409423156561528;0.20205898796965321;0.20488450994961527;0.18576499037745725;0.19385503860799905;0.1977735039653422;0.2059829869733124;0.18520440282056821;0.1952331412943786;0.20006580884347047;0.21147461590794386;0.20810509160108837;0.21142189360489752;0.19526713154892822;0.19208099294099287;0.20658932932107194;0.20359355349941358;0.20171125501615556;0.20281480208032163;0.19686144023898533;0.20245582529731598;0.20041627423407557;0.20373383400471917;0.20609705876438025;0.18576499037745725;0.19339566135791544;0.19363667133986504;0.19318986026267382;0.2116599615844316;0.2015402274409716;0.21187829954837503;1.0
TOTAL HUEVOS GALLINA;0.20374536134466434;0.20901189854257085;0.20207438579803047;0.20545048188689202;0.19552521723697908;0.20347776506127987;0.20661738578254793;0.18887455692514465;0.19563974391065173;0.1998915975068557;0.20759047880053066;0.18765213103823625;0.19734850603979961;0.20162851200663068;0.21331870878348505;0.2101949083653562;0.2129447066790026;0.1977673306602054;0.19365846046532406;0.20840099990743702;0.20418472652416023;0.20359909270172846;0.2052143111005805;0.19912894189036034;0.20425643386146303;0.20245810063265443;0.20439620509677095;0.20695095454046905;0.18887455692514465;0.19539404869543164;0.19549023862782194;0.19434062284668663;0.21337843630087536;0.20336164736003842;0.2138069374349115;2.0
OTRAS AVES;0.10262387960340932;0.09069901814808273;0.11192992894893423;0.09864673972976805;0.09130936689742848;0.1223550249831846;0.10442316101296115;0.09295278257259598;0.10284602197934611;0.09357891113680102;0.11321123875310007;0.09396970683776401;0.09712720734568742;0.10768365770935588;0.10503528272951036;0.09655862181178106;0.12022271119405063;0.09244878726253658;0.09973774623376187;0.10167730792825645;0.16936468168424718;0.09317093308658342;0.09420497509023;0.08206551386277573;0.10890220810020995;0.08548911667908583;0.10835039840457023;0.10016900923815965;0.09295278257259598;0.10191574871585571;0.09375657650981846;0.0882763864175198;0.12440198288479824;0.09907008859715198;0.10463033215384501;2.0
MIEL;7.159404625024935;7.576083191217225;7.3146968056207475;7.20176655478163;6.510100308578258;6.983648035399157;7.271498721103496;6.077747643538649;6.536073533561541;7.233870842857977;7.105311091439762;6.837378606349759;6.7321544551477075;7.273496099094645;7.272988369371861;7.535992441229445;7.196195567257411;7.172735308513307;6.707885235081726;7.612453697503331;7.714371870006575;6.820038932870338;6.946491881516192;7.6779054375172855;6.867984518900911;7.686486376149339;5.906664540949793;7.156819020864303;6.077747643538649;6.5853103758010185;7.683944325842267;7.005197247055485;6.856001446850294;6.8383004396933975;7.461543592147601;1.0
GRANEL;8.968510286922566;8.393218047648473;9.555855093328482;9.034118005898943;9.806690800717693;8.774278210293685;9.138434444083977;;6.4569125356975405;9.040831290136515;8.92011624724275;;7.363407248102843;9.774543552401523;8.85196292853628;9.246495888884654;8.91519425935203;9.033797585993849;8.683385579937303;8.970066626292224;11.199103284454617;8.248880028508653;8.737063753267693;8.945754724374094;9.171541282231232;8.707816845566917;;;;6.4569125356975405;9.477790400533193;10.000002188044002;8.748820926155151;9.06159402877388;9.039538338121389;2.0
ENVASADA;6.524451557334757;7.264961643886017;5.990407671040857;6.849082752413718;6.156038015748587;6.0986128322794135;6.54367750904647;6.077747643538649;6.551576581444101;6.639516642235471;6.438442478630051;6.837378606349759;6.587155569941108;6.339038632387023;6.598535469250071;7.014199743005479;6.396403944438057;6.44391738896762;6.279291918789575;6.687621284279251;6.253768532304472;6.496989514504353;6.340846855522298;6.952125876405225;6.1922917409065015;7.207023967440068;5.906664540949793;7.156819020864303;6.077747643538649;6.607372294544411;6.555222675638136;6.425669550519505;6.102907429375735;6.051153219018696;6.765993029073764;2.0
TOTAL CARNE;8.487478618229332;8.457688795317095;8.649924520895128;8.554536294385555;8.285472587809304;8.474848411151525;8.660876476031898;7.835236571612075;7.980915528429813;8.297315921080772;8.707855354335294;7.65577175036965;8.049980400633345;8.464181124482147;9.07602904115346;8.890031857558046;8.942520868222795;8.360935025573024;7.940140129768258;8.153614568813904;8.350454643355466;8.425997173460942;8.606879548952708;8.812980383297202;8.416585027119345;8.67180537478455;8.37134317580755;8.08625234738148;7.835236571612075;8.088407611560587;8.18438946007219;7.954725502679084;8.792508237767612;8.921139588207149;9.16900853424971;1.0
CARNE CERTIFICADA;9.962593920343116;10.00820054566909;9.987143348371196;10.097054570054214;9.21133474896295;10.292003279116333;10.069699947134305;9.571688618585668;9.533547686163965;9.808390127634217;10.116390258066735;9.044034973530486;9.691625270742863;9.867048068479942;10.321752392410005;10.324371639020423;10.485218153990958;9.77627319513026;9.326526889036744;10.574592524370706;9.649103851683892;9.773437166125845;10.009202432206619;10.518209855185223;9.90252595803511;10.131695170109387;10.315484813001525;9.379491573925375;9.571688618585668;9.533569291834409;9.602659140779235;9.386481221741192;10.43354655071366;9.791738884028545;10.413618306039593;2.0
CARNE FRESCA;7.509779086145222;7.521242316578711;7.514212181870175;7.538756849667692;7.3538990809567055;7.566601285985245;7.573008096532049;7.292350247349549;7.3064577010765355;7.428545904080115;7.603377148634985;7.118982829542782;7.347210723884913;7.46407008554064;7.776367547576741;7.654918756823865;7.735671732341738;7.494470081788637;7.23430945355498;7.535723035499872;7.387218698653568;7.469536692906335;7.554611600680304;7.682275555789315;7.50264558537078;7.5282336520465645;7.236963651848226;7.352462921756412;7.292350247349549;7.395591095356764;7.284757103376134;7.163275690088891;7.68384949652755;7.671720045295077;7.820388520293231;2.0
SALCHICHAS FRESCAS;8.84097602617913;8.625316700297882;9.264456935360935;8.861072663276875;8.736175148162882;8.852733180428134;8.90082150625764;8.451374358853538;8.685082930075318;8.721061759422454;8.979360847095961;8.692661715668615;8.539742401597088;8.792896873487429;9.154149232697677;8.984739463248943;9.319081336854468;8.853479308889062;8.344390032715964;8.945937595000423;9.218183092299471;8.69751340207165;8.721743468445911;8.748538138861349;8.813182536893141;8.917655726339618;9.78546737595754;9.738867739552827;8.451374358853538;8.688177923353065;8.279096978617947;8.052054481768314;9.453627903086202;8.74620530001409;9.149236153360981;3.0
CARNE VACUNO;12.846307388349453;12.938711626170178;12.81928645294726;12.983787464905332;12.566144375506845;12.785981963905112;12.957620201128949;12.369807256593061;12.534388368856247;12.897199380133564;12.789082605277867;11.487878438779713;12.781019930748519;12.933930554063638;13.0057088986266;12.987294548270159;13.220836979699344;12.743211864144403;12.450807848274605;13.391575911723098;12.639857719464532;12.912538428661751;12.71781274288736;12.857968563859709;12.840813381984225;12.859620149078978;12.502017957087006;11.992056994379228;12.369807256593061;12.71926338959037;12.588704534689292;12.758196173759236;13.221002428441434;13.318491547044292;13.1155295844536;3.0
TERNERA;12.615669323593256;12.798129936654416;12.615638979905533;12.697325797395232;12.382613167320363;12.449439430531255;12.703164831315178;12.154733816831625;12.431395647488776;12.643111036689502;12.584301896411395;11.138233671462757;12.547362844725784;12.590228201819817;12.92348610749588;12.666583790839429;12.925075298196838;12.570163601063374;12.298583404640809;13.21551114748325;12.276091040872583;12.585724916810296;12.603671956187434;12.78002254216022;12.601517818888066;12.651089705238014;12.62661909188719;11.555756565923959;12.154733816831625;12.608402911817594;12.42848475101611;12.477360660750497;12.927460859641009;12.452485185499148;12.956568058153534;4.0
AÑOJO;13.816112245242698;13.629657706803409;14.232020824814455;14.027370766574386;13.2347228941902;13.87750334459275;14.010497660511563;13.453058400153386;12.912571216103705;14.046165101798051;13.582638442777453;12.991240158344231;13.894207535802407;14.281759001999953;13.33834464922702;14.037249913529573;14.365516384423806;13.664304103657825;13.184848028127902;13.810353374705263;13.897123020656993;14.197266226901608;13.390380811009654;13.512063564212161;13.81254537870947;13.824605922120538;13.100113091913284;14.213953905211431;13.453058400153386;13.250230474715197;13.279823943990229;13.672316897441883;14.893930878445637;15.91038111090224;13.623092591930813;4.0
MAYOR;12.433667778743853;12.446559969844277;11.196280319197246;13.062251761091128;12.693764057392398;12.592155048548637;12.412373349889501;12.361260956074693;12.550999899507588;12.415892662908105;12.456804625515579;11.13442899831103;12.243347886892769;12.457207527199873;12.847158647582399;12.54660470565543;13.278856042302213;11.85676415154575;12.068833851798288;15.026043879799234;13.732363752002339;12.417710054941331;11.686248793285786;11.910831156742027;12.543666989838465;12.24163045299471;9.551100021484059;10.43122003447492;12.361260956074693;12.225175193136943;12.366362331441007;12.851673703707784;12.177033234105169;13.164174081504871;13.245144463105783;4.0
CARNE POLLO;5.540551925902748;5.659544789634996;5.581354501625659;5.615721156250741;5.401175352200281;5.371325556317841;5.523178811813497;5.591325899315537;5.596643313099608;5.589857324098586;5.478891793661292;5.612787628150055;5.652268569895263;5.518348536519775;5.438925572706715;5.609920954760971;5.437562825899925;5.628239814544039;5.5295741078865195;5.311624907414885;5.486290892948855;5.575007017534108;5.5702975965323;5.580326027311771;5.551456521490339;5.513204385818618;5.5670514000853295;5.838002084838394;5.591325899315537;5.654998794856162;5.559752903321053;5.528085349154947;5.324431882824073;5.512853457933622;5.481630601822387;3.0
POLLO ENTERO;3.8611602386176314;3.9210328965460928;3.8318414586619487;4.003111849067457;3.730815439803674;3.732077500423771;3.8936938968896415;3.85578523614186;3.674996359325619;3.803473434324835;3.9245894142553324;3.5949979862147523;3.799802102101972;3.783126719525058;4.0398267458045725;4.064759670147913;3.8809757009278614;3.8325740454147854;3.749899382140826;3.721064232481334;4.1922565682943596;3.7836002525210577;3.8288296028345132;3.686963316724846;3.923555631176244;3.694475079322073;3.70819802732095;3.707114514941867;3.85578523614186;3.6816315662067303;3.740362113460036;3.745842564691105;3.8276643610859695;4.007728321540046;4.099199897581355;4.0
POLLO FILETES;7.639678446321995;7.764841487872485;7.665169988842239;7.679455153163003;7.480577470629756;7.519041262660403;7.6442118473247955;7.6180341069639494;7.629018961253092;7.636544184994758;7.643692914860129;7.598658127117363;7.576961766441926;7.709087282120037;7.619717380646614;7.644811542774254;7.642388693794197;7.744559826766425;7.559142452533044;7.738111943544052;7.510213283577424;7.696854377577439;7.607612324703252;7.612637581233583;7.629851681409596;7.661543266242745;7.591313367006938;7.712582832661283;7.6180341069639494;7.609061560226152;7.662853145167108;7.494712287795445;7.73807125313658;7.771687615907686;7.616556649697887;4.0
