Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;99.587;99.671;99.53;99.654;99.614;99.448;99.608;99.291;99.751;99.572;99.625;99.116;99.589;99.801;99.63;99.552;99.608;99.706;99.544;99.732;99.624;99.645;99.353;99.69;99.592;99.579;99.426;99.417;99.291;99.66;99.767;99.659;99.802;99.753;99.644;0.0
T.HUEVOS KGS;80.724;83.848;78.936;79.879;79.936;80.456;81.048;76.801;81.508;78.042;83.985;81.903;75.665;81.651;84.654;78.36;83.608;80.535;81.758;79.055;75.062;80.168;83.82;83.194;79.39;83.809;74.681;79.129;76.801;81.735;83.547;83.406;80.083;73.135;85.407;1.0
T.HUEVOS UNDS.;80.724;83.848;78.936;79.879;79.936;80.456;81.048;76.801;81.508;78.042;83.985;81.903;75.665;81.651;84.654;78.36;83.608;80.535;81.758;79.055;75.062;80.168;83.82;83.194;79.39;83.809;74.681;79.129;76.801;81.735;83.547;83.406;80.083;73.135;85.407;1.0
TOTAL HUEVOS GALLINA;80.455;83.474;78.661;79.686;79.676;80.193;80.857;75.671;81.238;77.758;83.743;81.791;75.098;81.498;84.494;78.021;83.486;80.469;81.172;78.462;74.604;79.863;83.75;82.975;79.104;83.58;74.2;78.701;75.671;81.485;83.423;83.375;79.807;73.176;85.191;2.0
OTRAS AVES;3.089;4.099;2.733;2.821;2.466;3.072;2.923;3.902;3.65;2.71;3.553;0.61;3.34;3.076;3.422;2.221;3.008;3.925;3.53;1.89;3.303;3.34;2.899;2.841;3.051;3.181;1.203;1.586;3.902;4.151;3.936;3.682;3.149;1.205;3.095;2.0
MIEL;8.711;6.938;6.64;9.554;8.924;10.606;9.175;6.6;6.792;6.898;11.001;6.793;6.687;8.028;11.598;8.967;9.054;8.346;8.321;5.157;6.515;9.488;9.398;8.929;8.094;10.178;6.571;6.789;6.6;6.637;9.486;8.539;9.539;3.803;12.101;1.0
GRANEL;2.138;1.15;2.024;1.704;1.49;4.068;2.374;1.175;1.28;1.522;2.929;1.878;1.218;1.781;3.484;2.786;1.991;2.369;1.321;1.597;1.186;2.809;2.409;1.105;2.137;2.13;2.417;1.059;1.175;1.169;1.943;0.985;3.117;0.404;3.743;2.0
ENVASADA;6.935;6.102;5.002;8.019;7.508;7.389;7.26;5.473;5.633;5.47;8.794;5.051;5.522;6.671;8.942;6.812;7.223;6.328;7.282;3.558;5.483;7.446;7.046;7.95;6.152;8.809;4.388;5.752;5.473;5.512;8.138;7.667;7.02;3.42;9.326;2.0
TOTAL CARNE;97.299;98.186;97.219;97.039;97.211;96.829;97.058;97.198;99.01;97.137;97.541;95.836;96.89;98.381;97.303;95.137;97.636;98.452;98.67;98.206;97.284;97.51;97.131;96.725;97.357;97.162;92.353;97.097;97.198;99.037;98.83;98.425;98.558;95.614;97.105;1.0
CARNE CERTIFICADA;48.226;54.151;42.651;48.105;47.363;46.864;47.895;45.779;53.972;44.793;53.003;28.177;42.768;54.772;52.965;35.048;50.634;52.919;56.927;50.039;47.79;49.999;46.223;46.547;48.694;47.122;18.886;33.057;45.779;56.62;60.77;49.799;56.668;35.886;51.783;2.0
CARNE FRESCA;90.908;94.296;89.223;90.724;89.71;89.411;89.932;91.713;96.114;90.075;92.15;86.979;89.652;93.368;91.474;82.289;92.373;94.464;95.59;93.708;90.682;91.516;89.579;90.593;90.764;91.248;69.419;90.07;91.713;96.339;95.685;94.465;93.925;84.057;91.134;2.0
SALCHICHAS FRESCAS;7.627;9.056;5.61;8.505;6.859;7.44;7.562;6.957;8.515;7.625;7.663;3.972;6.919;8.966;7.858;4.478;7.343;11.887;8.475;15.151;8.69;7.396;5.885;7.19;7.839;7.122;3.107;2.764;6.957;9.513;12.266;10.254;8.749;2.808;7.747;3.0
CARNE VACUNO;52.736;56.037;49.685;53.059;52.529;51.359;52.787;50.479;54.294;49.939;56.352;36.706;48.562;56.518;57.019;42.517;54.699;58.366;58.136;57.749;50.387;52.859;51.124;55.335;52.171;54.106;29.3;43.627;50.479;56.313;63.703;56.428;60.089;37.918;55.695;3.0
TERNERA;42.998;47.45;41.321;44.529;39.6;40.333;42.57;44.297;45.229;41.059;45.482;32.584;40.145;45.647;45.74;32.187;43.307;49.948;50.022;46.436;42.018;43.181;42.477;43.151;43.018;42.967;24.653;34.946;44.297;47.198;54.724;47.586;48.145;25.758;44.372;4.0
AÑOJO;16.181;18.364;15.126;13.91;18.504;15.851;16.658;12.527;15.501;14.464;18.478;7.098;13.748;18.93;18.04;12.602;17.181;18.644;17.124;21.028;14.103;15.046;15.589;20.308;14.849;19.352;6.259;13.337;12.527;17.454;19.932;18.006;19.469;14.05;16.871;4.0
MAYOR;6.067;6.413;6.813;6.379;5.896;4.925;6.345;4.845;5.041;6.104;5.934;4.257;5.07;6.77;6.558;4.025;7.243;6.448;6.605;7.039;6.981;5.519;5.547;6.648;6.009;6.222;1.972;6.67;4.845;5.614;7.4;7.708;7.743;4.304;5.951;4.0
CARNE POLLO;77.129;82.799;76.307;77.161;74.541;73.518;75.517;79.779;85.259;76.327;78.26;69.278;75.992;82.086;75.367;62.25;78.963;83.107;86.644;75.863;76.067;77.821;76.784;77.618;76.83;77.849;49.802;74.111;79.779;86.686;88.659;82.117;80.762;65.509;74.394;3.0
POLLO ENTERO;20.221;21.776;18.813;19.962;22.21;18.902;19.603;21.1;24.104;19.703;21.082;13.391;19.4;22.797;20.258;10.614;22.069;25.058;25.777;22.929;21.389;21.061;19.065;18.04;20.275;20.106;7.599;14.924;21.1;24.715;28.25;21.91;24.646;11.243;19.712;4.0
POLLO FILETES;33.679;40.89;32.1;33.286;33.784;28.134;31.853;35.882;43.786;34.627;32.451;28.695;35.777;38.651;27.751;24.789;30.012;38.083;45.42;33.678;31.575;35.1;32.519;34.041;32.647;36.145;24.554;33.029;35.882;45.438;44.732;40.068;30.597;25.807;27.209;4.0
POLLO POR PIEZAS;67.204;74.338;67.188;65.88;64.104;63.523;65.448;70.604;75.892;66.862;67.772;59.202;66.487;72.414;64.662;50.074;68.424;75.553;78.349;66.558;67.403;67.81;67;66.322;67.201;67.23;33.814;65.748;70.604;77.91;82.049;74.081;70.259;53.351;63.49;4.0
CARNE CONEJO;10.383;10.889;10.807;10.669;10.728;9.15;11.459;3.676;7.375;8.665;12.556;5.333;5.894;11.652;14.389;8.492;13.522;9.955;9.184;11.712;10.75;9.59;10.622;11.147;10.452;10.241;6.165;5.866;3.676;8.381;12.21;10.232;13.082;6.694;14.818;3.0
CARNE OVINO/CAPRINO;10.406;11.603;9.318;9.197;9.563;11.97;11.43;6.077;6.488;8.315;13.233;3.554;6.133;11.552;14.826;7.63;13.509;12.437;8.2;12.158;10.406;10.273;9.095;12.228;9.929;11.55;1.464;4.849;6.077;8.25;13.056;8.844;14.422;6.942;14.739;3.0
CORDERO;9.406;10.171;8.446;8.251;9.031;10.898;10.269;5.042;6.292;7.439;11.945;2.791;5.623;10.689;13.132;6.654;12.515;11.5;7.134;11.479;9.56;9.233;8.457;10.472;9;10.378;1.464;4.239;5.042;7.466;11.64;8.528;13.352;6.053;13.246;4.0
CABRITO;0.973;1.195;0.552;1.017;0.585;1.233;1.026;1.62;0.252;0.873;1.104;0.395;0.606;0.842;1.615;0.909;0.927;0.994;1.088;0.972;0.892;0.955;0.725;1.462;0.928;1.077;0;0;1.62;0.767;1.371;0;1.212;0.84;1.421;4.0
OTRO OVINO/CAPRINO;0.268;0.181;0.673;0.151;0.365;0.146;0.334;0;0.025;0.247;0.298;0.532;0.103;0.355;0.252;0;0.368;0.692;0.107;0.875;0.14;0.226;0.116;0.493;0.264;0.27;0;0.612;0;0.076;0.672;0.295;0.657;0;0.151;4.0
OVINO/CAPRINO ENTE;0.739;1.433;0.424;0.69;0.21;0.579;0.877;0.23;0.19;0.734;0.704;0;0.354;0.991;0.985;0.244;0.984;0.581;1.145;1.077;0.317;0.675;0.673;1.117;0.713;0.778;0;0;0.23;0.517;1.106;0.639;1.581;0.211;0.969;4.0
OVINO/CAPRINO PIEZ;9.858;10.291;8.859;8.633;9.338;11.835;10.793;5.848;6.288;7.66;12.766;3.554;5.842;10.698;14.176;7.659;12.738;11.831;7.249;11.095;10.299;9.769;8.733;11.046;9.427;10.884;1.464;4.849;5.848;7.734;12.356;8.204;13.041;6.724;14.147;4.0
CARNE CERDO;72.255;80.209;69.673;70.182;69.888;69.701;70.287;76.233;82.231;70.163;75.138;57.068;70.099;77.329;73.677;53.948;73.622;79.96;84.646;80.509;72.843;72.811;70.037;70.641;72.377;71.957;38.422;58.919;76.233;84.603;83.529;79.652;77.712;56.787;72.071;3.0
CARNE CERDO ADOBAD;20.865;26.036;22.324;18.796;19.268;18.218;19.279;24.613;28.993;20.891;20.835;13.017;21.909;23.693;18.636;10.811;20.508;24.562;30.565;28.784;18.577;20.589;21.213;20.372;19.785;23.436;6.16;13.572;24.613;30.198;31.49;24.764;22.257;11.693;17.22;4.0
CARN.CERDO IBERICO;6.397;8.491;6.193;6.05;4.259;6.329;6.821;3.505;5.439;5.895;7.173;1.476;4.541;7.679;7.973;4.192;7.339;7.437;6.847;6.292;5.171;5.872;6.76;8.199;5.848;7.754;1.614;3.937;3.505;6.255;9.133;7.868;8.129;2.886;7.727;4.0
CARNE DESPOJOS;13.871;14.953;10.939;11.787;14.213;17.165;14.939;7.757;11.339;11.05;17.695;4.359;9.21;15.559;19.002;11.674;15.309;15.783;13.437;21.521;13.589;13.796;12.318;14.108;14.323;12.804;7.02;7.58;7.757;13.166;19.017;11.342;15.397;8.259;19.594;3.0
DESPOJOS CERDO;7.29;7.016;5.989;5.084;7.524;10.784;8.045;2.872;5.289;5.416;9.835;1.247;4.019;8.035;11.103;7.041;7.506;7.021;7.653;11.278;7.592;7.685;5.972;6.783;7.699;6.338;0.905;4.039;2.872;6.201;10.689;5.946;6.972;4.47;11.631;4.0
DESPOJOS CORDERO;0.809;0.585;0.689;0.852;0.609;1.105;0.963;0.287;0.127;0.519;1.157;0;0.463;0.767;1.347;0.701;0.963;1.37;0.249;3.148;0.873;0.428;0.924;0.617;0.985;0.391;0;0;0.287;0.116;1.687;0;1.147;0.62;1.464;4.0
DESPOJOS POLLO;5.03;6.435;3.673;4.221;4.367;5.9;5.198;3.875;4.727;4.223;6.083;2.672;3.285;6.504;5.585;3.948;5.113;6.221;5.338;5.93;4.786;5.224;4.576;5.303;5.089;4.89;4.522;1.573;3.875;5.169;6.891;3.823;7.098;2.598;5.745;4.0
DESPOJOS TERNERA;2.901;2.195;2.461;3.236;3.441;2.962;3.227;0.626;2.093;2.183;3.78;0.313;1.399;3.043;4.735;1.329;4.934;3.612;1.598;4.965;2.597;2.359;2.799;3.763;2.649;3.439;0.405;1.386;0.626;2.285;3.184;2.491;4.294;1.671;4.558;4.0
DESPOJOS OT.PROCED;1.071;0.838;0.763;1.36;0.891;1.271;1.146;0.443;0.98;0.894;1.298;0.379;1.102;0.845;1.439;0.99;1.155;1.584;0.574;1.559;0.761;1.222;1.067;0.726;1.102;0.998;2.142;1;0.443;1.231;0.827;1.046;0.669;0.442;1.434;4.0
OTRAS CARNES FRESCA;47.07;54.951;47.339;45.692;45.574;41.796;45.135;53.814;55.799;47.887;46.038;46.229;47.897;51.294;42.428;32.784;47.023;54.49;58.72;48.609;45.591;48.347;45.917;46.456;45.899;49.839;25.698;47.166;53.814;59.038;60.78;53.196;49.317;34.048;40.422;3.0
AVESTRUZ;0.034;0.106;0.072;0;0;0;0.042;0;0;0.06;0;0;0;0.103;0;0;0;0.054;0.104;0.186;0;0.059;0;0;0.048;0;0;0;0;0.168;0;0;0.089;0;0;4.0
PAVO;26.329;34.228;27.09;22.11;28.29;21.665;25.336;29.524;31.166;27.197;25.231;21.771;28.029;29.3;22.947;16.005;26.583;30.319;35.23;26.29;27.26;26.944;25.282;25.757;25.989;27.14;12.571;30.87;29.524;33.228;35.158;32.654;27.121;18.408;21.381;4.0
OTRAS AVES;7.578;8.187;9.343;7.115;7.483;6.483;7.393;8.028;8.472;7.252;7.988;6.608;6.941;8.693;7.212;4.775;8.264;8.913;9.169;8.196;6.401;8.338;7.04;7.398;7.258;8.345;3.66;6.185;8.028;9.831;10.877;6.718;8.821;3.888;7.243;2.0
