Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;6668553.636;1762652.981;992543.98118;1663261.5855999999;913583.67386;1336510.9284;5199627.4234;505666.35118;963259.5136000001;3546063.5373;3122489.3586999997;337325.87970999995;1789109.5706;2407231.2282;2134886.3345;1246488.34371;2020937.2878;1516899.4745;1884228.0497;404158.309461;971755.8875;2690879.6857;1584063.9339;1017695.0453;4668081.3621000005;2000471.7423;182233.13927;305914.97175;505666.35118;1119595.1103;903122.70507;550688.53298;926513.41464;391170.13512;1783648.7272;0.0
T.HUEVOS KGS;110749.158;28294.67;16085.6524;27799.947;15385.4056;23183.5131;87147.576;8370.3695;15231.2475;55423.225;55325.9631;6769.65195;28197.4113;38162.2755;37619.8474;21176.8592;33741.9381;24825.337199999998;31005.053600000003;7253.8218;15834.3424;45658.9614;26414.158600000002;15587.912;78153.146;32596.052600000003;3507.94951;5518.72106;8370.3695;17981.8848;15530.9789;8525.536;13911.5013;5671.05052;31731.2074;1.0
T.HUEVOS UNDS.;110749.158;28294.67;16085.6524;27799.947;15385.4056;23183.5131;87147.576;8370.3695;15231.2475;55423.225;55325.9631;6769.65195;28197.4113;38162.2755;37619.8474;21176.8592;33741.9381;24825.337199999998;31005.053600000003;7253.8218;15834.3424;45658.9614;26414.158600000002;15587.912;78153.146;32596.052600000003;3507.94951;5518.72106;8370.3695;17981.8848;15530.9789;8525.536;13911.5013;5671.05052;31731.2074;1.0
TOTAL HUEVOS GALLINA;109355.3;27946.27;15875.15;27520.53;15211.29;22802.09;86118.58;8252.505;14984.25;54823.55;54531.78;6739.248;27776.43;37738.49;37101.16;20891;33290.56;24505.02;30668.75;7213.308;15511.59;45032.79;26173.46;15424.19;77115.77;32239.57;3477.811;5487.488;8252.505;17654.92;15416.84;8422.777;13713.89;5637.39;31291.72;2.0
OTRAS AVES;1393.858;348.4;210.5024;279.417;174.1156;381.4231;1028.996;117.8645;246.9975;599.675;794.1831;30.403950000000002;420.9813;423.7855;518.6874;285.8592;451.37809999999996;320.3172;336.30359999999996;40.5138;322.7524;626.1714000000001;240.6986;163.722;1037.376;356.4826;30.13851;31.233060000000002;117.8645;326.96479999999997;114.13889999999999;102.759;197.6113;33.66052;439.48740000000004;2.0
MIEL;11832.62;2347.503;1221.998;3115.11;1611.031;3536.975;9999.717;796.1749;1036.725;5195.208;6637.41;411.5599;2485.303;3844.055;5091.7;2967.712;3923.889;2425.484;2515.532;379.7618;1229.485;5348.518;3018.186;1856.666;7632.478;4200.139;357.2743;425.7278;796.1749;1024.264;1571.702;824.0294;1851.48;301.7162;4680.249;1.0
GRANEL;4735.609;797.5669;434.8501;1083.649;503.7825;1915.761;3987.968;439.6139;308.02709999999996;2167.381;2568.228;137.6636;1062.71;1405.539;2129.697;1056.104;1643.177;1202.767;833.5608000000001;226.95260000000002;302.0127;2379.024;1289.472;538.1478000000001;3299.821;1435.789;137.6636;162.6586;439.6139;308.02709999999996;729.8565;120.884;797.4134;36.49279;2002.999;2.0
ENVASADA;7097.008;1549.936;787.1476;2031.462;1107.248;1621.214;6011.748;356.561;728.6983;3027.826;4069.181;273.8963;1422.593;2438.515;2962.003;1911.607;2280.712;1222.717;1681.971;152.8092;927.4725;2969.494;1728.714;1318.518;4332.657;2764.351;219.6106;263.0693;356.561;716.2366;841.8456;703.1454;1054.067;265.2234;2677.249;2.0
TOTAL CARNE;1348511;352748.9;190689.5;335232.1;190930.6;278909.4;1045218;98206.76;205085.8;711987.5;636523;64420.95;361175.7;503698.9;419214.9;223169;397414.5;317581.3;410345.6;93790.78;199166.2;542640.7;303641.7;209271.1;945043.3;403467.2;28732.17;59572.6;98206.76;241969.4;203267.4;113800.6;186850;66856.72;349254.9;1.0
CARNE CERTIFICADA;241849.4;62958.4;25407.41;64336.24;34507.5;54639.87;201296.3;11934.78;28618.32;114712;127137.4;8454.615;48849.86;93537.45;91007.5;40533.32;80090.18;54582.32;66643.6;18010.8;35700.78;99589.82;50714.3;37833.71;169182.3;72667.12;4058.109;8088.643;11934.78;37099.07;40568.61;16781.47;38566.81;9996.258;74755.67;2.0
CARNE FRESCA;911157.9;240817.4;123161.6;224541.9;130093.6;192543.3;712129.9;65290.63;133737.4;473872.7;437285.2;43534.93;235279.9;345625.9;286717.2;145481.1;268004.5;218667.9;279004.5;67830;137016.5;368377.9;198577.2;139356.3;640267.4;270890.5;18469.97;40582.85;65290.63;161527.6;143223.7;77000.43;125970.6;41664.33;237427.7;2.0
SALCHICHAS FRESCAS;9589.614;2837.432;1225.511;2164.949;1237.839;2123.884;7089.657;648.6745999999999;1851.283;5371.062;4218.553;319.2325;2715.769;3745.143;2809.47;1231.37;2651.887;2451.309;3255.047;1014.775;1706.476;3890.534;1648.333;1329.497;7091.812;2497.802;128.2293;240.183;648.6745999999999;2143.756;1532.067;882.9481;1351.707;307.88259999999997;2354.166;3.0
CARNE VACUNO;186626.6;47823.08;23989.5;50068.18;26090.6;38655.26;149339.1;13215.47;24072;93444.38;93182.24;8008.931;43990.51;70238.54;64388.62;33326.53;55277.59;47339.77;50682.73;10660.27;25789.75;74767.83;42834.68;32574.09;127825.4;58801.22;3729.542;7926.235;13215.47;29378.97;29202.97;15402.7;27203.27;9069.501;51497.96;3.0
TERNERA;138288.4;35187.07;17745.71;38696.3;18430.21;28229.05;108983.3;10863.05;18441.99;70305.27;67983.07;6542.069;33757.32;50648.38;47340.58;24417.86;39847.14;36142.27;37881.07;7721.838;20124;55552.99;31757.9;23131.61;97071.29;41217.06;3078.959;5566.787;10863.05;22605.34;21503.2;11521.21;18616.34;6066.805;38466.66;4.0
AÑOJO;38194.27;10414.59;4575.382;8988.751;6090.414;8125.132;31926.23;1775.296;4492.746;17463.69;20730.58;970.7701999999999;7974.415;15547.59;13701.5;7179.571;11597.26;8989.981;10427.46;2388.924;4183.579;15202.12;8998.988;7420.661;24055.43;14138.85;536.0528;1694.369;1775.296;5415.276;6326.976;3094.627;6465.014;2368.746;10517.92;4.0
MAYOR;10144;2221.41;1668.406;2383.129;1569.981;2301.074;8429.607;577.1291;1137.264;5675.415;4468.585;496.0922;2258.78;4042.58;3346.548;1729.103;3833.182;2207.516;2374.199;549.5029000000001;1482.169;4012.724;2077.789;2021.815;6698.676;3445.324;114.5307;665.0784;577.1291;1358.353;1372.794;786.8636;2121.916;633.9509;2513.385;4.0
CARNE POLLO;272801.4;76545.55;38995.54;65506.58;39567.86;52185.9;204716.7;23012.15;45072.62;151185.6;121615.9;16217.29;79764.25;104532.1;72287.8;39693.99;76797.64;65524.5;90785.31;19241.52;41755.34;111164.2;60868.53;39771.88;192627.5;80173.9;6030.217;15276.19;23012.15;54381.27;42097.07;23710.89;35312.3;12631.13;60350.24;3.0
POLLO ENTERO;43657.95;11005.63;5672.618;10045.32;7229.55;9704.834;34413.28;3042.852;6201.817;22104.15;21553.8;1681.082;10697.52;15819.47;15459.88;6069.901;15702.38;9703.784;12181.89;3927.541;8069.636;17475;9344.743;4841.03;32031.99;11625.96;568.7896;1898.309;3042.852;6887.497;5830.662;3044.972;7073.144;1880.632;13431.1;4.0
POLLO FILETES;52507;15736.27;7303.312;13740.79;6785.451;8941.176;38595.47;4440.541;9470.992;30514.81;21992.19;2823.083;16911.62;21035.78;11736.52;8229.433;12803.08;12636.07;18838.43;3419.109;6710.708;21965.33;12749.36;7662.498;35835.94;16671.06;1707.735;3060.616;4440.541;11566.43;8805.941;4889.656;5863.818;2758.233;9414.034;4.0
POLLO POR PIEZAS;176636.5;49803.65;26019.61;41720.48;25552.87;33539.89;131707.9;15528.76;29399.82;98566.6;78069.89;11713.12;52155.11;67676.86;45091.4;25394.66;48292.18;43184.65;59765;11894.87;26975;71723.84;38774.43;27268.36;124759.6;51876.88;3753.692;10317.26;15528.76;35927.34;27460.47;15776.26;22375.33;7992.262;37505.1;4.0
CARNE CONEJO;19612.39;4804.045;2455.34;5126.803;2736.405;4489.801;17366.14;538.0623;1708.189;8112.547;11499.85;559.4584;3148.844;6859.877;9044.213;3841.93;8281.719;3028.792;4459.953;1639.187;3537.016;7175.202;3991.425;3269.563;14424.89;5187.499;471.07959999999997;686.3053000000001;538.0623;2171.062;2288.642;1235.324;3186.523;844.9893000000001;8190.406;3.0
