Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2100048.6368;536091.53329;314678.56889999995;513127.91319;299377.80589099997;436772.79021;1617349.47073;169196.99828;313502.17326999997;1118496.44739;981552.27448;109094.49909900001;575641.06998;760306.81373;655006.252185;388155.48445;610319.54576;476495.15157;625078.43457;135388.342201;314416.105025;855337.7188500001;491649.42042000004;303257.09687;1502280.80283;597767.82543;56144.416786;99597.162352;169196.99828;363026.80496;284562.63901;169148.58408;288825.84867000004;126368.090648;543178.0982230001;0.0
T.HUEVOS KGS;32744.137300000002;8141.2880700000005;4731.49992;7818.05193;5166.347256;6886.95265;25569.909649999998;2372.37684;4801.85462;16682.28212;16061.861550000001;2218.774171;8329.05745;11746.0171;10450.28919;6041.564219999999;9441.5931;7509.17965;9751.79966;1854.299933;4982.401599999999;13460.267960000001;7451.67496;4995.4941;23026.55964;9717.57762;1066.5237809999999;1580.94418;2372.37684;5568.14293;4854.1001;2769.568248;3998.94503;1745.941771;8787.5976;1.0
T.HUEVOS UNDS.;521486.71;130304.127;75674.568;124446.453;81509.3136;109552.285;406099.145;38210.91;77176.712;266423.312;255063.495;35104.3231;134140.345;186452.47;165789.579;96386.916;150104.43;119723.845;155271.506;29408.9813;79353.628;214521.056;119093.116;79109.946;367522.764;153963.942;17024.150100000003;24899.908;38210.91;89532.313;76804.646;43576.1688;64376.681;27644.3011;139417.68;1.0
TOTAL HUEVOS GALLINA;509801.3;126634.2;73606.56;121733.1;80578.78;107248.7;398313.3;36856.81;74631.25;259593.5;250207.9;34587.61;129401;182990.6;162822.1;94031.39;147047.2;116887.8;151834.9;28892.78;77571.58;209538.1;115939.7;77859.16;358358;151443.3;16597.82;24665.65;36856.81;86533.7;75667.66;43218.64;62132.93;27212.94;136915.2;2.0
OTRAS AVES;11685.41;3669.927;2068.008;2713.353;930.5336;2303.585;7785.845;1354.1;2545.462;6829.812;4855.595;516.7130999999999;4739.345;3461.87;2967.479;2355.526;3057.23;2836.045;3436.606;516.2013;1782.048;4982.956;3153.416;1250.786;9164.764;2520.642;426.33009999999996;234.258;1354.1;2998.613;1136.986;357.5288;2243.751;431.36109999999996;2502.48;2.0
MIEL;1255.624;215.36579999999998;169.0049;311.24359999999996;222.8458;337.16409999999996;1058.816;67.67181;129.1362;517.2687;738.3555;46.83918;237.8477;469.8536;501.0837;320.3193;397.9403;269.7744;267.59020000000004;68.17497999999999;153.7005;531.7556999999999;284.526;217.467;818.537;437.0872;24.364729999999998;42.59527;67.67181;168.025;157.3177;64.18364;167.5478;100.7763;463.1419;1.0
GRANEL;271.7627;30.497619999999998;16.03348;81.75064;63.62451;79.85642;239.4555;7.4978549999999995;24.80934;74.84864999999999;196.914;0;24.053849999999997;120.45960000000001;127.2492;75.75504;125.474;50.114129999999996;20.41948;33.31921;56.387209999999996;82.04774;62.37586;37.63264;200.384;71.37864;0;5.912234000000001;7.4978549999999995;24.609299999999998;11.09189;9.092825999999999;67.28046;24.41537;121.8627;2.0
ENVASADA;983.8615;184.8682;152.9714;229.493;159.22129999999999;257.3076;819.3607;60.17396;104.3269;442.42;541.4415;46.83918;213.7939;349.394;373.8345;244.56429999999997;272.4663;219.66029999999998;247.1707;34.85577;97.31333000000001;449.7079;222.1501;179.8344;618.153;365.7085;24.364729999999998;36.68304;60.17396;143.41570000000002;146.2258;55.09082;100.2673;76.36088000000001;341.2792;2.0
TOTAL CARNE;160922.8;40798.65;22966.13;39925.13;24256.48;32976.36;122454.4;12730.8;25737.52;87541.58;73381.18;7998.83;44594.37;62638.98;45690.58;25787.77;43789.46;37697.04;53648.48;11670.19;25341.55;65158.23;35705.59;23047.2;115033.5;45889.23;3518.924;7081.744;12730.8;30712.14;25206.57;13870.6;21843.18;8196.657;37762.14;1.0
CARNE CERTIFICADA;23073.73;5431.474;2909.776;5922.122;3802.959;5007.401;18968.76;1217.731;2887.238;11022.89;12050.84;614.8656;4556.124;9189.11;8713.632;3944.539;7193.516;5255.299;6680.379;1443.136;3913.747;9012.364;5100.337;3604.148;16621.14;6452.59;229.951;658.8596;1217.731;3660.236;3556.46;1738.778;3616.007;1134.695;7261.014;2.0
CARNE FRESCA;118080.6;29467.91;16634.34;29333.43;18051.21;24593.71;90636.38;9007.526;18436.68;63388.08;54692.51;5587.031;31632.65;46137.84;34723.07;18769.85;32103.61;27518.77;39688.36;8571.161;18954.2;47840.69;25651.84;17062.7;84490.54;33590.04;2460.779;4875.791;9007.526;22319.63;18941.65;10069.04;16071.03;5600.091;28735.06;2.0
SALCHICHAS FRESCAS;1046.734;332.2225;160.1449;226.5514;173.9617;153.8536;813.0840999999999;58.24409;175.406;569.4925999999999;477.2415;29.211869999999998;224.8829;515.7048;276.9346;97.21551;245.2761;294.9527;409.2898;89.83494;161.9515;404.7468;222.3287;167.87210000000002;727.9573;318.7768;18.88503;29.43641;58.24409;235.4634;215.8519;95.24627000000001;169.017;23.13353;201.4565;3.0
CARNE VACUNO;16137.18;4005.966;2262.773;4830.253;2046.354;2991.835;12309.08;1049.698;2778.402;8680.844;7456.336;750.7401;4315.856;6116.983;4953.601;2517.606;4372.557;3806.249;5440.768;1414.829;2087.696;6147.657;3699.93;2787.069;11034.04;5103.135;299.8512;690.4821;1049.698;3219.126;2516.067;1364.165;2248.838;658.4605;4090.493;3.0
