Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2.8898907969349494;2.981716607637411;2.917563669371001;2.908763289207648;2.854795075289384;2.7758825876485713;2.920224148841641;2.7431079894685633;2.8014428262699522;2.9108371185628323;2.868154508289282;2.8570202874605743;2.789350039387564;2.9218668615321697;2.9411084766015496;3.042195601158603;2.9288664368146202;2.8182825654366717;2.793967238285339;2.9205678854005668;2.8056121286578093;2.839365363482324;2.925678011227055;3.0632965676432553;2.836315430330358;3.031279999853601;3.0125289437064144;2.7667472439949607;2.7431079894685633;2.850641968895003;2.8196827604857995;2.8418423409141447;2.9239603948736637;2.9843741726431072;2.969672719354522;0.0
T.HUEVOS KGS;3.231261149047008;3.226728517697849;3.2409055428537363;3.260106066977649;3.14495513864872;3.254240085741938;3.268152074561657;3.063638402802747;3.111123059307053;3.1508294196817768;3.3082521557653557;2.985237017573643;3.135109155768753;3.1929862810095675;3.3777756294352184;3.3743814310985183;3.3662648024869517;3.1334896261667464;3.0542354275777077;3.276939615984619;3.313317260969138;3.2099750549707005;3.224613025114285;3.189129515518007;3.247815087369186;3.1885085719470294;3.315416664563657;3.187542260209062;3.063638402802747;3.0808129459728075;3.0753740586357448;3.0270312391275422;3.4174313429651324;3.305274079686332;3.3801404963340773;1.0
T.HUEVOS UNDS.;0.20373083656679156;0.20308021872567295;0.20562453644469525;0.20594295236101062;0.1984994779665986;0.20415306076764403;0.20612940639181607;0.1928428585647971;0.19593818896141252;0.19910138129058372;0.20814306110282377;0.1895429145152139;0.19696392806907953;0.2015614549973233;0.2129793770746702;0.2134095047353412;0.2114320181097314;0.1976361077679793;0.1929163122005184;0.2073263688684286;0.20757327423367938;0.20286158657644549;0.20284390190139065;0.20159122608199595;0.20431668855772317;0.20220572297260686;0.21218666653207402;0.19979947507608123;0.1928428585647971;0.19380799260345624;0.19479259351251366;0.1923598911302086;0.21353276049769673;0.21000359623738285;0.2130730315374874;1.0
TOTAL HUEVOS GALLINA;0.20520247736666195;0.20480352466046473;0.20658998795712977;0.20735158631136413;0.19975420879200725;0.20590376450608547;0.20752044991805085;0.1948596694677551;0.19753143797298378;0.20046523338749686;0.20974079737710125;0.19053301331401143;0.19872039923361945;0.20274102367720645;0.21462446811608066;0.21490303316454076;0.2126858823806217;0.19950222368289397;0.19432586308500882;0.20825617221967227;0.20911791517566633;0.20419982146342922;0.20464687692142247;0.20312882846404617;0.20592310168841746;0.20334429860747177;0.21218666653207402;0.20073074325922674;0.1948596694677551;0.19557874168577702;0.1960253318998681;0.19321992302401872;0.2149488819786185;0.21103838307256678;0.2148506706657386;2.0
OTRAS AVES;0.12155619043382342;0.11727028625705949;0.1123773847256279;0.11563596614685959;0.12303906221018661;0.13120085244418894;0.12656225951466857;0.09156116632797544;0.11319203213600819;0.10952500369479805;0.1301250479142871;0.0849908006471734;0.11798222870443008;0.12983529048576156;0.12080341728955546;0.10821718229582483;0.15583147049727827;0.0908893012832206;0.10332872306656575;0.1396368525988405;0.1474157636302066;0.11417874588251183;0.1157426193335311;0.09776134706525702;0.1264147632302298;0.09788021532285425;;0.16259419652111184;0.09156116632797544;0.10800871360323526;0.09524432989284606;0.09061448881834958;0.16452621534279535;0.0906339760145932;0.11519706387260997;2.0
MIEL;7.895871345069553;7.925558353767645;7.190991440457382;7.780576029456748;8.271819712715782;8.034130938898418;7.863765068326791;5.826153679346783;8.606152812314894;7.970467748856599;7.844460491799096;5.68081865865413;6.454994871140473;8.454138669194169;8.170067288323272;8.349637881808041;7.45201937581794;8.10752673503328;7.767152135330646;10.208598260992714;7.483157389724202;7.8203314103350925;8.508421125078042;7.044647168241042;8.146869696858621;7.311012825615716;5.308477656026153;5.92455073956659;5.826153679346783;8.53224478282178;9.043479515773516;6.967604343430067;6.401362340153035;6.525760875883456;8.32203223860933;1.0
GRANEL;10.561785589218049;12.331799585318265;11.409359970574638;9.792315756629117;12.252818910452952;9.665795425701095;10.335394828221665;;11.620360905595652;12.074310111663655;9.758695738682453;;10.518312472857659;11.994111713637892;9.805923026959475;9.489558766776724;9.759562945269785;12.882480854262703;12.560133735591249;13.096725892651975;8.886341226043276;10.68231647614986;12.030625392754414;10.417895882440927;10.452382977744662;10.955084192611032;;;;11.989307043668285;13.503344368197814;8.900018375524592;7.37004502147759;;9.805923026959475;2.0
ENVASADA;6.429142671704921;6.253116472557459;6.676075570092694;6.508706296127541;5.262100797903486;6.900164007416968;6.506320629235136;5.826153679346783;6.17313579168983;6.197499675317166;6.612379252887798;5.68081865865413;6.037884763429091;6.330470482605674;6.810933318355631;7.483339100264015;6.143961735950469;5.407462343191682;6.339354586456022;8.13480966956809;5.6753672695088175;6.430077280970381;6.993907748925091;5.861021705042503;6.6299735340562265;6.049152156434626;5.308477656026153;5.92455073956659;5.826153679346783;6.397051206457147;6.099920868639419;6.372370849915616;6.221120170233678;6.525760875883456;6.912074386176893;2.0
TOTAL CARNE;8.44440215315347;8.581085696311872;8.399179177016956;8.460008365181688;8.400156914598131;8.333050215106937;8.648496617690721;7.621558091893474;7.900058856335433;8.235037188088164;8.687495169981524;7.723237766852701;7.905969301553059;8.472932227439408;9.05749661397943;8.976047090935591;8.868215287938023;8.232605169350244;7.919624959841925;8.421413511407588;8.277537120261453;8.323181804296397;8.58871523751124;8.778204451042813;8.340053375581142;8.710309135153087;8.12859168386405;8.107467621205965;7.621558091893474;7.9535511898342675;8.249049368386602;7.925788924404592;8.78454083901849;9.171748158681181;9.132823432822242;1.0
CARNE CERTIFICADA;10.185527092747657;10.458497463635487;9.780003906294162;10.391427674838457;9.963383209510372;10.051232123842352;10.39148042503445;9.103108097147318;9.378429865650878;9.927430411974909;10.411165518162315;9.993257263065647;9.52544509656978;10.121393509103562;10.647138034347941;10.842540178823336;10.691903278683766;9.910537663938666;9.406627773349364;10.080964022151342;10.170276553134999;9.971059560033888;10.178511546047277;10.820915537059445;9.929161177724264;10.889549435894777;9.97492934274146;10.916678912754973;9.103108097147318;9.571999924805807;9.858927321909826;9.351089566722267;10.298066398872951;10.389900750309696;10.87761228005069;2.0
CARNE FRESCA;7.516770000395386;7.566888563290272;7.4364428827246005;7.584171655811138;7.604267128919931;7.371624146661122;7.634212956730852;7.066175006618188;7.177123273958779;7.366467078783323;7.687963584777051;7.250068197898425;7.156024407664489;7.525844385837506;7.889240634881048;7.774286880735574;7.805242335304168;7.406230322327698;7.19485710353211;7.832312461034028;7.522645889854864;7.3311904245089945;7.561799577275648;7.7817184681281875;7.453573958889206;7.675295986005652;7.078922392043914;7.234267689373494;7.066175006618188;7.239980615875476;7.414434397686932;7.0600086020270245;7.691140100787063;8.013672588864477;7.976093352030663;2.0
SALCHICHAS FRESCAS;9.123029031304954;9.105492449812203;9.387031981293667;8.947309208775449;9.208219135990083;9.08335996232698;9.133314159758326;9.05237670617935;9.10316236165138;9.034101133612925;9.220850304866902;9.384048645854913;9.149017126574813;8.899114434069231;9.382938072483133;8.93810019937637;9.336144264891026;9.115050861633813;8.996326517381362;8.487800842557782;9.50679655627199;9.150300223980564;9.009847955589036;9.125796235221278;9.09164655138301;9.200477527116213;6.893497151260221;10.12479906656995;9.05237670617935;9.325974889084474;9.175102239599097;7.914471191684668;8.873731853187978;8.799806761511272;9.437119522664725;3.0
CARNE VACUNO;12.603121095356872;12.880294789332316;11.915414310383857;12.537297722779527;12.727336343933773;12.75631917993568;12.883422325424235;11.69126179508224;11.51959810502512;12.345862635211308;12.868954552930212;11.72579083137993;11.897652584201122;12.732986291453878;13.136523562944602;13.39265729672928;12.859657261299358;12.465107958377123;11.920094911341264;12.729959338112337;12.734353971722161;12.491160733243104;12.624754725332389;12.640157416698656;12.57230575948764;12.669320197273688;11.774956536718824;12.105553976760223;11.69126179508224;11.856344272429558;12.517446169791494;11.647746981545211;13.297447063897987;12.684732446317255;13.349632161977917;3.0
TERNERA;12.425746960979254;12.697825733766813;11.76696933138612;12.4825445087787;12.313119393581806;12.578968918024001;12.730923003869423;11.593084842798138;11.238980747136658;12.129711330561287;12.743867315299422;11.477842157305446;11.655984183767933;12.603665887778767;13.008168555427526;12.997556801641133;12.894454047062878;12.288472296613701;11.717489003633583;12.920409939035139;12.552151906879503;12.311474682029793;12.259997957161783;12.571675362017896;12.382982447640646;12.522729657080964;12.42416445393978;11.60567622787595;11.593084842798138;11.516947120737294;12.555165161149139;11.608695604631123;13.18528276361765;11.90649967130876;13.213196730830191;4.0
AÑOJO;13.065474536025983;13.42939794704332;12.662950419791795;12.67587404512374;13.454328879270518;13.316728399702274;13.306499357666688;11.857235437962828;12.230340380247464;12.86378534225647;13.232568664132021;11.369887689401079;12.746836661858351;13.114850925453807;13.414717684449174;14.112538590112779;12.827507728102862;13.012568864698522;12.4892302543356;12.177748325481081;13.594688895850267;13.19075294434091;13.161073517479672;12.965737826486706;13.129950866099593;12.93590799414856;10.274388220688897;16.44795492103251;11.857235437962828;12.773519577789715;12.805270011051823;11.59380363070733;13.834119626556548;13.726200859668454;13.65757459899881;4.0
MAYOR;12.925255866594119;13.325312123363608;10.926963079260274;12.495670112377258;15.059198827804304;12.739313504313845;12.989391779153204;12.522544141992089;12.692773749019093;13.0608286472813;12.712020858807303;15.63949676123892;11.91819544647636;12.862367424789758;13.398374876730841;14.083145568252482;12.526941518489695;12.45119462786616;12.84716436879092;14.268065797978815;12.37598881544495;12.161468172640404;14.596078670409808;12.235439314163967;12.767509576528441;13.158547615191063;13.343368071353737;10.955007916585949;12.522544141992089;13.846504370045098;10.832866075977469;12.196443837894225;12.798947687751605;14.789536293729961;13.54572608766195;4.0
CARNE POLLO;5.51168828984427;5.672029245500431;5.6774903925375755;5.509828803629522;5.532690016481899;5.202895440992519;5.501943005181348;5.474225479994212;5.578489377991146;5.599924124435925;5.402002528851696;5.639383035852662;5.537094395559818;5.584804875070133;5.358074118543638;5.503612852665664;5.4443320177547205;5.543846915209502;5.549640284769055;5.469300401568621;5.527194777896051;5.422233164239742;5.607118607864071;5.6317732937258755;5.485592179621782;5.5757668451275295;5.544694743919018;5.5163227037163125;5.474225479994212;5.608932792074743;5.580198561978264;5.5333096861867785;5.449578399117529;5.917058518250586;5.3433415280668815;3.0
POLLO ENTERO;3.7807606775490425;4.027604953429106;3.752148809598252;3.7573136019387072;3.807717837818274;3.5796616563838546;3.81184041606047;3.4810804663035095;3.7872243857537353;3.762549357272621;3.801433713753814;3.512612897618856;3.641366504428517;3.809557692898191;3.9104938185432534;3.8017283618477955;3.835074232313562;3.8250436450311196;3.680204520364883;3.8342565169281086;3.870455799786224;3.7332242781776017;3.8281682145782794;3.6932523939526405;3.8128486987592587;3.6987047210061066;3.4196822173577566;3.5300257518159723;3.4810804663035095;3.76833280062941;3.7044937740750696;3.656144033523089;3.8853050259603457;3.9412375156223747;3.964642186642015;4.0
POLLO FILETES;7.603396775648781;7.715882118673105;7.775355709357401;7.7604119654623585;7.478427871056808;7.261337785971494;7.589353527188178;7.6477515518463886;7.6476559706932505;7.646057863188843;7.548733477466364;7.62091807741148;7.630187774584038;7.696724266522207;7.446016807138396;7.4146257774596895;7.589243069026199;7.665583939823182;7.688170767201981;7.693325059296787;7.539192132249455;7.5971959351670995;7.593088391095918;7.654125139892925;7.573301645060387;7.667737237872138;7.492309553435643;7.458526990263805;7.6477515518463886;7.646699016462275;7.617209587882039;7.827640198437387;7.799881064447452;7.629514231012076;7.399780681270002;4.0
POLLO POR PIEZAS;5.558257382465653;5.647599498189169;5.728474121685089;5.555297716736469;5.623755829541835;5.282909998067616;5.540530035924287;5.5529864354902845;5.642204170720858;5.660251582543292;5.42868889554138;5.803079712973516;5.583931510480911;5.6283883019899115;5.370663396131734;5.468884596500821;5.522741225583751;5.557436591800555;5.629678895321238;5.615840499386951;5.7238715125518205;5.43783208652168;5.563931770068212;5.6802286019053225;5.541121684785514;5.60123942434315;5.666817095172021;5.666468887589686;5.5529864354902845;5.668333924291918;5.634788285931599;5.521211516139109;5.518285216985078;5.757373744621595;5.361952848624686;4.0
CARNE CONEJO;8.600478659329347;8.264996773578243;8.730600178925668;8.948239390439813;8.739005512884251;8.438433734595737;8.637215673726024;8.531330206765626;8.10667840693579;8.358980699799687;8.734314238939039;7.540784461816673;8.252975242299607;8.544610658735953;8.758024113062499;8.885049647120557;8.58560939617541;8.495834012180994;8.25193855344935;8.679798859926304;9.094406537626744;8.309132048105711;8.720252638382322;8.309717469323756;8.638539695381963;8.450105613266288;6.754840727853034;8.535725018354173;8.531330206765626;7.984465922429509;8.396231688983901;8.658060182225531;8.460219932469137;9.09553036257637;8.792138245415194;3.0
CARNE OVINO/CAPRINO;15.159057824475825;16.91418553427896;14.607716683709109;14.17691469401121;16.763096238959864;14.718778452466495;15.071004116571443;15.408531287709746;15.818485729803275;14.94185644170473;15.321957836310272;16.010170227490146;15.169312016539843;14.70120707211042;15.381432209533068;14.948405330388397;15.472172268431494;15.201224191846558;14.302775282354878;13.747591825615398;17.026049843524188;14.598553343345346;14.291043618773605;16.456049119494768;14.898247340956631;15.787948386682581;15.15626273705325;14.45859558883029;15.408531287709746;15.500897097339225;14.604487885086007;15.077547249844974;14.8117886615342;18.463664026777238;15.315960618270724;3.0
CORDERO;15.29800113265119;16.901953374595877;14.574681506148877;14.465304845984539;16.737258739896404;14.881243575340278;15.229047508186326;15.18560744345183;15.910777009773536;14.964260391270857;15.555654758450375;16.010170227490146;15.199094337172752;14.729789377459932;15.68982170784812;16.34297953004025;15.431712803353706;15.149447857245052;14.466989481553846;13.802880354122356;17.109113033041854;14.746096925649384;14.581647850954885;16.570675016488988;15.063232468469863;15.851687391091435;15.15626273705325;14.45859558883029;15.18560744345183;15.563800166776707;14.615484876887988;15.077547249844974;14.804391300776944;18.463664026777238;15.700302043864575;4.0
CABRITO;13.160992782050428;17.75632245608441;16.6323727114441;12.026805272529622;17.13402354713225;10.821768895582686;12.879626035414292;29.99999999999999;14.029342856063183;14.416492360148712;12.513697851731214;;14.423142870697307;13.546699810024522;12.837837855350317;8.298079618651942;16.96439986600393;21.482461401042457;12.216799462432524;;15.77458899801383;12.360338035275774;10.385537605850013;15.847432651941295;12.640720566131664;15.346225640833545;;;29.99999999999999;14.029342856063183;14.356575007524349;;15.058900141580466;;12.30413031906226;4.0
OTRO OVINO/CAPRINO;9.807214804403841;;14.800803890153752;9.361554703846894;;10.304645226430791;9.807214804403841;;;14.800803890153752;9.72588955190262;;;14.800803890153752;9.72588955190262;10.122043982962163;10;8.964654973997627;;10;;12.18027465667915;7.084027958656855;10.122043982962163;9.546822637320163;10.122043982962163;;;;;14.800803890153752;;;;9.72588955190262;4.0
OVINO/CAPRINO ENTE;12.816644243273432;17.60385936258681;12.906788479238196;13.138153577516148;11.635271362023607;11.232701122888486;12.226658067864818;;15.290282095062972;15.66691056241783;11.526592329332981;16.889511776764422;15.405694277460972;12.42621183669915;11.770239196314904;;12.313569940741068;13.457907214255675;18.269361280427837;11.951048571702582;13.482334462451458;13.370611953435244;11.826317711221407;11.330264427258967;12.98281959424748;12.381010928739277;;16.889511776764422;;15.290282095062972;14.787970925406519;21.35538217092885;10.617092349378563;;11.770239196314904;4.0
OVINO/CAPRINO PIEZ;15.78693271702218;16.832465480849855;15.016555224125504;14.610192749484828;17.146038557757848;15.946120790782935;15.771512081247096;15.408531287709746;16.166149013436446;14.810184671938213;16.61861668724942;15.902079135128545;15.094603735812006;15.08238103171786;16.664182825919106;14.948405330388397;16.675307731798632;15.979345505892779;14.202524442342582;14.811497925111537;18.457343401197452;15.001814701618354;14.50707938234755;17.065805698421855;15.42743477350505;16.634932587601707;15.15626273705325;14.215754487500474;15.408531287709746;15.605445740488237;14.582828379028966;13.887124947096314;15.625408766737012;18.463664026777238;16.80277505563691;4.0
CARNE CERDO;7.697305880731202;7.705404569310222;7.538486464750049;7.746141601379657;7.697626658831464;7.732927180161388;7.793996789601134;7.252425118904235;7.46646034285732;7.544201222278262;7.869593973748341;7.1086246176048835;7.365199273663123;7.71125474715368;8.090618372561817;8.041786634772635;7.862829267610051;7.560923132800094;7.49667654273675;7.997202395769122;7.696785680649054;7.553804824933217;7.694964055050039;7.925514381929242;7.63628520140499;7.862038104463858;7.172989018213383;7.254497106795752;7.252425118904235;7.542930540886611;7.632711107800267;7.303890212822629;7.867788451267562;7.952501013828228;8.107729847731486;3.0
CARNE CERDO ADOBAD;8.14402970564818;8.10128413063778;7.791106229596851;8.138884833704024;8.30260151860697;8.420088930965745;8.190202311082286;8.114519648327281;7.9375746590807195;7.7921190067598465;8.639478689688678;7.91795730344733;7.739589489700417;8.119564270963428;8.753611180260014;8.691173622409803;8.204191184450808;7.765075841815886;8.177451738202537;8.448416786943763;8.467657043324653;8.07115665425266;8.06495663076863;7.885601560670877;8.211651968841212;8.011661477452416;8.732427155682965;7.194097616345062;8.114519648327281;8.012263437721248;7.924442026582998;7.729525789770372;8.451298975059542;8.01214672680468;8.731539499812568;4.0
