Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NIÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NIÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DEL HÁBITAT (2000 A 10000);TAMAÑO DEL HÁBITAT (10001 A 100000);TAMAÑO DEL HÁBITAT (100001 A 500000);TAMAÑO DEL HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;46.88018553859331;38.73720031791441;44.23711996568374;46.28723047296627;48.07111051563241;65.6009633526917;55.2173168130482;27.53613562414956;33.56349789437053;40.1556716257002;57.23985468515802;29.61759329670477;35.15196730971991;49.94930523928963;69.18751205348691;74.39361383916014;59.45744262570564;44.14593778294403;33.80557416641974;45.99906123259884;46.56124574876129;47.87013129189981;46.53568263298899;45.38048460171211;47.46241548868672;45.47055596946436;48.84543672036328;37.99566828247145;27.53613562414956;35.19878041018173;42.92509156602365;40.55931783290126;60.99969462908485;75.42258322161756;73.94828981969374;0.0
T.HUEVOS KGS;0.77469131249877;0.64256115957525;0.68014155786068;0.74944573424677;0.86532593177343;1.09280496419164;0.91995168906807;0.43000036360634;0.54641952040366;0.63784258394898;0.98669066716825;0.50481787881447;0.54791235858785;0.8097826238295;1.21735652404121;1.2263993481592;0.97687940827239;0.73842685301637;0.55730174412341;0.69867000470183;0.76926246922066;0.79427453783831;0.76994677593798;0.76593249842125;0.77700970414925;0.76910029520046;0.9324363864755;0.55276928567745;0.43000036360634;0.5798262785645;0.73586915959209;0.69618394204642;0.90832738591379;1.12478706389409;1.30328443142651;1.0
T.HUEVOS UNDS.;12.30166647176788;10.17997565088431;10.80269827071247;11.93773494820626;13.72749400889889;17.34994606926284;14.58077902225574;6.87550849278315;8.7365732376799;10.13827415778117;15.6527292759622;7.95291371329084;8.75367445685292;12.84667163963857;19.285304308522;19.41971649384612;15.55060863432418;11.69767410582221;8.86021922530073;11.15105149195736;12.29126012086141;12.57930884897888;12.19555699199224;12.20022655499076;12.34775198641515;12.1904106509244;14.73343891460482;8.68563053660179;6.87550849278315;9.23600617095468;11.66743224120349;11.04800285358158;14.51429908164772;17.68952126858033;20.66459404013383;1.0
TOTAL HUEVOS GALLINA;12.06804903298323;10.01410005678531;10.59471435469558;11.66793305119835;13.48242577193425;17.02417599072249;14.33599812676892;6.68972738293542;8.50099607457152;9.93444152539217;15.3733958223821;7.87571743854754;8.52547433369119;12.61696124876151;18.97228668437022;19.11485524482856;15.21061707276218;11.50833540663248;8.67962133093347;10.87332388485665;11.96944200022323;12.37928609904669;11.99983714848258;11.92463394206196;12.10244785713147;11.98511460539292;14.53892587647141;8.62801815391542;6.68972738293542;9.02715216398064;11.46657105888996;10.84636876871505;14.133044353654;17.55355280015348;20.30812020416993;2.0
OTRAS AVES;0.23361743878464;0.165875594099;0.20798391601689;0.26980189700791;0.24506823696464;0.32577007854034;0.24478089548681;0.18578110984772;0.23557716310838;0.20383263238899;0.2793334535801;0.07719627474329;0.22820012316172;0.22971039087706;0.31301762415178;0.30486124901756;0.339991561562;0.18933869918973;0.18059789436726;0.2777276071007;0.32181812063817;0.20002274993219;0.19571984350965;0.27559261292879;0.24530412928367;0.20529604553148;0.19451303813341;0.05761238268636;0.18578110984772;0.20885400697403;0.20086118231353;0.20163408486652;0.38125472799371;0.13596846842685;0.35647383596389;2.0
MIEL;0.03700081248607;0.02568297904671;0.02782825456076;0.03309033417957;0.04193790420265;0.07085499906976;0.05006694207495;0.01132967410318;0.01193032805535;0.02646039225992;0.05347778125054;0.01819009311832;0.01613665860269;0.04013367196504;0.07499771508486;0.08830018906024;0.05503407913469;0.02524488028735;0.01933059078851;0.02422244694982;0.02513185245657;0.04279781798286;0.03689957406769;0.03895183545344;0.03485399799221;0.04220630532757;0.05418476595216;0.02263635969898;0.01132967410318;0.01482127002207;0.02903957044924;0.03588586338634;0.04618444814828;0.09483452133633;0.07954074656777;1.0
GRANEL;0.01003868027707;0.00433825334529;0.00669873484646;0.01105607085911;0.01391041303632;0.01969677963998;0.01425310329949;0.00268238287532;0.00128319929056;0.00535727816735;0.01739856107953;0.000478734764;0.00313098410421;0.01012543435844;0.02536276654443;0.02937405134654;0.01887376398023;0.00626040222264;0.0017301850462;0.00446668257778;0.00806971345759;0.01270270336135;0.00857642025616;0.00941627533848;0.01101669715899;0.007668227985;0;0.00662784438432;0.00268238287532;0.00104739438578;0.00728508006004;0.00479064848277;0.01329503056969;0.04507265419187;0.02658762773909;2.0
ENVASADA;0.02696213647093;0.0213447278035;0.02112952373728;0.02203426332045;0.0280274942462;0.05115821942978;0.03581382588808;0.00864729122786;0.01064712982945;0.02110311409256;0.03607922017101;0.01771135963977;0.0130056768595;0.0300082376066;0.04963494854043;0.05892613771369;0.03616031515446;0.01898447547044;0.01760040627613;0.01975576437203;0.01706213899897;0.03009511987469;0.02832315381152;0.0295355572099;0.0238373098634;0.03453808463933;0.05418476595216;0.01600851531466;0.00864729122786;0.01377387085167;0.02175448167582;0.03109521931462;0.03288941354717;0.04976189036879;0.052953106117;2.0
TOTAL CARNE;3.52866006124801;2.93856304051346;3.20208382402827;3.54260639148258;3.53835975371988;5.00307730649982;4.1203681128978;2.03756781674062;2.66787074458329;3.04844677341276;4.26728686601979;2.07713209310873;2.65525306596967;3.96607955324455;4.9261619936185;4.96932567729937;4.23619341794096;3.3906082684355;2.82465712522995;3.82199013863983;3.5927417989184;3.66247539685231;3.30849617387315;3.31349812349395;3.57117153679062;3.42574362234858;3.02599996422088;2.61706628851228;2.03756781674062;2.8853796938577;3.64299312525379;3.34690043936301;4.53037054213954;4.53755749402477;5.22652515603162;1.0
