Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2199951.3732;552840.16327;329882.5713;535630.5895;312163.76216900005;469434.31525;1713841.97425;170860.122777;315249.3563;1158680.94989;1041270.51315;115202.958014;595536.8532;791718.5161900001;697493.08626;400601.84420999995;655584.9398200001;510501.35881999996;633263.28192;135383.09656799998;334089.08927;911260.11089;506795.19787000003;312424.03029;1576791.5722400001;623159.9485;59373.662917;108145.273586;170860.122777;367833.25963;295580.87662;183898.65441699998;302621.93212;129902.70410799999;581734.87692;0.0
T.HUEVOS KGS;36354.0203;9170.34823;5071.9135;8672.50117;5619.2460599999995;7820.009400000001;28553.575399999998;2668.12729;5132.31376;18404.77375;17949.24014;1963.579968;9282.609960000002;12835.41171;12272.41353;6604.03246;10771.190279999999;8539.13023;10439.66092;2056.305198;5519.6589699999995;15119.88131;8385.078;5273.09746;25813.73789;10540.28239;1133.415267;1573.321074;2668.12729;6059.28352;5067.17268;3156.544464;4506.2486;1937.256388;10252.65101;1.0
T.HUEVOS UNDS.;577281.59;145284.103;80557.276;138142.117;89143.482;124154.58;452560.04;42662.131;82059.358;292537.135;284744.354;30934.288800000002;148302.816;203625.411;194418.993;104573.146;171462.888;135271.303;165974.152;32819.4498;88192.999;239460.851;132815.28;83993.02;410215.769;167065.819;17909.1087;24721.499399999997;42662.131;96517.84;80341.584;50092.382399999995;72006.02;30467.2228;162563.801;1.0
TOTAL HUEVOS GALLINA;566318.6;142916.8;79006.31;135020;87552.06;121823.4;444962.5;41509.37;79846.67;286655.6;279662.9;30634.02;144436.7;199984.4;191263.4;102931.5;167714.1;133081.8;162591.1;32002.05;85883.87;235653.2;130683.8;82095.69;402066.3;164252.3;17672.67;24557.52;41509.37;94335.28;78958.46;49178.16;70114.6;30233.04;159759.5;2.0
OTRAS AVES;10962.99;2367.303;1550.966;3122.117;1591.422;2331.18;7597.54;1152.761;2212.688;5881.535;5081.454;300.2688;3866.116;3641.011;3155.593;1641.646;3748.788;2189.503;3383.052;817.3998;2309.129;3807.651;2131.48;1897.33;8149.469;2813.519;236.4387;163.9794;1152.761;2182.56;1383.124;914.2224;1891.42;234.1828;2804.301;2.0
MIEL;1736.341;366.5361;207.5193;382.9176;272.336;507.0317;1553.984;70.29997;112.0571;763.5074000000001;972.8333;70.75364;273.38370000000003;636.1364;756.0669;475.4873;606.8124;291.9305;362.1105;71.2908;180.32760000000002;814.7031;401.8535;268.1657;1157.916;578.4244;65.86384;64.42880000000001;70.29997;154.88479999999998;199.9656;162.7089;229.1229;163.3365;625.7295;1.0
GRANEL;471.0862;61.91363;49.95343;127.93960000000001;90.33132;140.9483;442.3896;16.644029999999997;12.052610000000001;154.5828;316.5034;1.862125;53.04444;160.4926;255.68710000000002;158.17620000000002;208.1044;72.39497;32.41071;13.14621;57.902300000000004;241.8098;93.4012;64.82678;365.99559999999997;105.0907;0;18.86452;16.644029999999997;10.945450000000001;50.16484;21.72112;65.95718;77.63006;209.159;2.0
ENVASADA;1265.255;304.6225;157.5659;254.978;182.0047;366.08340000000004;1111.594;53.65594;100.0045;608.9245999999999;656.3299000000001;68.89152;220.33929999999998;475.6438;500.3798;317.31109999999995;398.708;219.5355;329.6998;58.144589999999994;122.42530000000001;572.8934;308.4523;203.3389;791.9206999999999;473.3338;65.86384;45.56428;53.65594;143.93929999999997;149.8007;140.9878;163.16570000000002;85.70648;416.5704;2.0
TOTAL CARNE;165589.8;41937.87;23878.4;40994.64;22977.37;35801.55;127888.5;12642.99;25058.31;87962.1;77627.73;8079.379;44984.71;62864.11;49661.62;26759.3;46708.78;39208.82;52912.92;11248.77;25778.86;69719.21;36031.06;22811.93;118641.1;46948.76;3678.229;7448.832;12642.99;30152.71;25085.54;15175.07;22475.35;7815.179;41115.92;1.0
