Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;151.17486132076547;127.41569894201646;143.0566417077836;153.70827875949422;149.35622590421147;203.96029719142737;179.74674178976395;85.52026826539577;104.80011852929637;129.5766097356085;184.372721985484;92.7168815954609;109.25462636790817;161.05940960630846;231.0965447754281;256.6300715397078;195.44077247385172;136.34818459640525;105.79075139505882;150.76302748620552;144.8611379681147;149.40583409178296;154.4271174900675;157.61566839506236;149.49761369071774;155.24532408399122;166.61517813054448;115.80858228851164;85.52026826539577;109.83546598753578;138.99855376151226;123.41488206956323;198.6695245264524;243.65871017499552;249.42681259179759;0.0
T.HUEVOS KGS;2.40121277072093;1.94687479563068;2.21391395028705;2.37441356159592;2.53295517511944;3.41690690551852;2.86640061288288;1.28861081395149;1.67294840714919;1.96122125105174;3.081650613288;1.84098120151752;1.62248474775719;2.45496291313496;3.88060072975693;4.19096897350955;3.09056287422182;2.12424460134149;1.68092532242165;2.17603893670739;2.44469602849136;2.37699624465068;2.50944941085372;2.34695426033821;2.3985678954937;2.40772786179366;3.22348365771935;1.96670520141112;1.28861081395149;1.69287496648008;2.24245857854569;1.98669114572907;2.75975483126605;3.59087814297319;4.21569018855383;1.0
T.HUEVOS UNDS.;2.40121277072093;1.94687479563068;2.21391395028705;2.37441356159592;2.53295517511944;3.41690690551852;2.86640061288288;1.28861081395149;1.67294840714919;1.96122125105174;3.081650613288;1.84098120151752;1.62248474775719;2.45496291313496;3.88060072975693;4.19096897350955;3.09056287422182;2.12424460134149;1.68092532242165;2.17603893670739;2.44469602849136;2.37699624465068;2.50944941085372;2.34695426033821;2.3985678954937;2.40772786179366;3.22348365771935;1.96670520141112;1.28861081395149;1.69287496648008;2.24245857854569;1.98669114572907;2.75975483126605;3.59087814297319;4.21569018855383;1.0
TOTAL HUEVOS GALLINA;2.37444225058912;1.92817577080417;2.18220313975707;2.35078117201677;2.50927526545266;3.37138241237273;2.8365547483262;1.27377460806286;1.64761289533699;1.93886924206976;3.04806319840767;1.81779921643974;1.60217500141952;2.42887198951144;3.84008408884962;4.15521359886825;3.04079832122217;2.10749594199835;1.66380552537058;2.16413862816677;2.40120585054719;2.35875630695861;2.476621094906;2.31724282674308;2.37211070689165;2.38019702313102;3.17244087373113;1.9587894571136;1.27377460806286;1.66695473603355;2.22937655672811;1.96820875752676;2.70466630051984;3.57595296192153;4.1730382794056;2.0
OTRAS AVES;0.02677052013181;0.0186990248265;0.03171081052998;0.02363238957914;0.02367990966678;0.04552449314578;0.02984586455668;0.01483620588862;0.02533551181219;0.02235200898198;0.03358741488032;0.02318198507777;0.02030974633767;0.02609092362352;0.04051664090731;0.0357553746413;0.04976455299965;0.01674865934314;0.01711979705107;0.01190030854061;0.04349017794416;0.01823993769206;0.03282831594771;0.02971143359513;0.02645718860205;0.02753083866264;0.05104278398821;0.00791574429751;0.01483620588862;0.02592023044653;0.01308202181757;0.0184823882023;0.0550885307462;0.01492518105165;0.04265190914823;2.0
MIEL;0.18038509005664;0.11244596685298;0.14918026304183;0.20318912570421;0.13720782671874;0.34998002378286;0.23532438374492;0.05748637087628;0.08534848149209;0.1145811270254;0.28324168699673;0.06048297279391;0.06464296281566;0.18924233755987;0.41016462430944;0.49566488561169;0.26530654793945;0.08252437207868;0.10201531313636;0.0985010666503;0.13725167269389;0.21124515220927;0.1538732452071;0.21691226912139;0.17393742029822;0.1960146808344;0.10756189412632;0.04814924445016;0.05748637087628;0.07640483485653;0.17423147077198;0.11017091325751;0.17001032674323;0.39847010127428;0.4848259392041;1.0
GRANEL;0.07589170535629;0.06082095311559;0.04987996572809;0.11650334569621;0.03423975383668;0.10476431875769;0.10371233823718;0.01021760891122;0.02952041769749;0.04265752358171;0.12793210358809;0;0.01114351472691;0.09434975654639;0.18619839673677;0.17724980242689;0.13812575496521;0.0151981301344;0.04827302965258;0.04528209088103;0.0498740126512;0.09755052275354;0.05122754688553;0.09519450342211;0.07640279556581;0.07465679967739;0;0;0.01021760891122;0.0316662140301;0.09128708133743;0.02494089957046;0.08269585945336;0.11549545350804;0.23089265065849;2.0
ENVASADA;0.10449340600999;0.05162503467917;0.09930024345298;0.08668578000799;0.10296807288206;0.2452157189812;0.13161204550773;0.04726876358341;0.0558280744611;0.0719235687278;0.15530952856374;0.06048297279391;0.05349946579645;0.09489258101347;0.22396622757266;0.3184151017377;0.12718088341726;0.06732624194427;0.05374227814314;0.05321897576927;0.08737766004268;0.11369462945572;0.10264568913714;0.12171776569927;0.09753459462687;0.12135780821756;0.10756189412632;0.04814924445016;0.04726876358341;0.04473862082642;0.08294440397032;0.08523003575856;0.08731446728987;0.28297464776623;0.25393328854561;2.0
TOTAL CARNE;28.95313933972307;24.01945093667308;26.11177052469694;29.71907956131571;30.22688525867367;39.24268768942162;33.98848719499071;16.17102474349878;21.6555261108444;24.95093027334105;35.09904467532477;16.18216203996149;21.23935927731999;31.95724479966751;42.5916422056612;43.02083933980817;36.4923564553612;26.83052273059085;22.13904317090566;31.83710072291171;28.72327714721846;28.5162008233377;28.41979700407346;29.99760482465574;28.84561139214253;29.21496658126931;25.1827346567242;20.12704166206284;16.17102474349878;23.21977583668149;28.91265988650208;23.82041706987393;39.09420194185325;37.66163164059334;46.02020258034545;1.0
