Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;3.092246702096321;3.1758300216351136;3.119750690065356;3.127044204514934;3.0280967064786464;2.9767917996151345;3.1373246218929767;2.8850718643518993;2.9646873610760585;3.0973190353641984;3.086634730171642;2.9490414461828434;2.968288662962559;3.119678498743376;3.1913728056993493;3.254475207563294;3.1607470226576;2.988322005687479;2.999555715513895;3.08823460712611;3.016555716695834;3.0327498760092046;3.126464923841657;3.2863785346390926;3.0277746285570943;3.253899612099019;3.158054598872022;3.0087667240879314;2.8850718643518993;3.0038129733667116;3.1050021892280864;3.0134373318843233;3.1066352338362524;3.110963741312417;3.224092873463206;0.0
T.HUEVOS KGS;3.203647963478913;3.222156861479914;3.218078166495505;3.2398570031569838;3.1271580562174313;3.185516918130091;3.2514358629116775;2.987428132870132;3.0607367035413398;3.149914662400812;3.2595522029301103;3.067710011735158;3.073330580037658;3.1679120406796635;3.3691563217395184;3.3179821926078215;3.348431240904562;3.155395391010871;3.0228843013554267;3.2375403412488426;3.2008030278251725;3.204968696619525;3.2148144669413257;3.171221261376373;3.211430724505957;3.1850162269113045;3.2563554819449347;3.225544359599256;2.987428132870132;3.047179399464922;3.071838850431246;3.0644153152883202;3.35062763854304;3.2707992321334927;3.3793706002034822;1.0
T.HUEVOS UNDS.;0.20143951122487283;0.20260575330648495;0.20177342284060812;0.20396160003014316;0.19717713243977805;0.20003034519865295;0.2047752869633334;0.1876221901726396;0.19092196810527526;0.19756290331762766;0.20549355041752634;0.1919212119570247;0.19264978034016342;0.1993415366736786;0.2124001805068156;0.20876774020027433;0.20986120615915108;0.19909455541469306;0.1901065367492692;0.20510034710504696;0.20049040776587526;0.20244527491118908;0.20114097371183953;0.1987838128752137;0.20210386916151382;0.19985376268022584;0.20226296326189624;0.20484239008395028;0.1876221901726396;0.18998293080931708;0.19451680942426564;0.1929893797524172;0.20923359356476381;0.20764304715181126;0.2129380477048157;1.0
TOTAL HUEVOS GALLINA;0.203419693129834;0.20491395260160034;0.20378947273117776;0.2059207655571986;0.1988199775427152;0.201875;0.2065446706402658;0.18966300728550836;0.19385418890361;0.2000529776748711;0.20691902554242847;0.1946900400907549;0.19498887982161742;0.20122810914783465;0.21397650122899556;0.21121048745226995;0.2116779658455874;0.20088572829493576;0.19212266527540606;0.20646131961921435;0.2020209233280333;0.2040428730641265;0.2039215241431308;0.20117110858367981;0.20390488410056176;0.20225751109138757;0.2062669608636646;0.20590038548885048;0.18966300728550836;0.19298087924040522;0.19583874415344127;0.19488395034963613;0.21113257735811813;0.20877540022986066;0.21471551910788234;2.0
OTRAS AVES;0.10810264503460108;0.0937326813223343;0.12004742721141354;0.10478905289217977;0.10512759723619261;0.11930009991676042;0.11287547528922193;0.09752544185346863;0.09624710832110613;0.09499630331223519;0.1264433919548344;0.09073488320984552;0.09898085903216128;0.10644205728663962;0.12507300788825085;0.0890628769274423;0.13766516324362083;0.09382603912635018;0.09411834135717123;0.09327938963703308;0.1413604541702794;0.1005926655001247;0.09914888269876557;0.10323611815300583;0.11278625385979726;0.09857198445612093;0.09166733877258348;0.09017862106505523;0.09752544185346863;0.09503577640143984;0.09045932748214434;0.09482314360661008;0.14514092073900178;0.09029939863026022;0.11764920203374353;2.0
MIEL;7.558557963275818;7.935744020494124;7.506665501262635;7.5094399928405;6.938437403659665;7.637487121027772;7.718492043320222;6.146685562800227;6.951529388869969;7.743330796438087;7.445019514947525;6.664836570422302;6.666916257429129;7.923938357756636;7.631833409591049;7.80758077304001;7.605405537141743;6.542487572744909;7.737667013412923;6.985955897837008;6.535258571261719;7.919943304710011;7.599755954284522;7.48525106664266;7.650080955213256;7.3690194080460945;8.323966118205755;6.683886009251659;6.146685562800227;7.508934880233183;8.210677232106772;7.327975728555854;7.173238383098247;7.572578188128388;7.6740905091957226;1.0
GRANEL;10.16788505599452;11.90841760450507;10.013377787196683;9.591787910850101;9.50738232253884;9.836251618084495;10.24066557822299;8.290939294355567;9.861371222681157;10.982337252827005;9.7856000886009;;9.015940541622154;11.049748413267228;9.676945902808995;9.582658046262354;9.795961958226401;9.51157399476972;11.851404451916357;11.33906675662493;8.478279720299602;10.64975969229605;9.209208136578278;10.682531095420941;10.041390836564952;10.495700335960441;;;8.290939294355567;9.965302245848818;12.820778421158787;9.803590530632642;10.046485993887497;10.051086123540864;9.650088998698227;2.0
ENVASADA;6.371100593029093;5.696767201204135;6.668153483636574;5.8132805952750335;6.366409205247709;6.97167618544274;6.463963703997333;5.8212505216785075;6.013292296210393;6.590510297826425;6.219609396946329;6.664836570422302;6.323737940349908;6.184455392702276;6.49131089032396;7.077754656148938;6.119267045143008;6.111812349044534;5.898577127831061;5.26586114688861;5.779266714355245;6.49213252790189;6.990077211987403;6.065450600259572;6.447335925331043;6.227711665486989;8.323966118205755;6.683886009251659;5.8212505216785075;6.393478036915268;5.882636442970005;6.8237361419421365;5.644368672789238;6.880124146058041;6.469553681147516;2.0
TOTAL CARNE;8.377359025708817;8.400930308869185;8.279261990099242;8.567491553879282;8.12554195532919;8.370676020472713;8.560946021994702;7.533833163564969;7.930058796670076;8.194061341165629;8.593241304226979;7.409870552447684;7.922976620308902;8.3059303571411;9.079641631267943;9.000459955712282;8.856478274344946;8.116240608460325;7.848259459999803;7.993941165143508;8.228202067305197;8.244256170513095;8.470092046580877;8.968941756613885;8.247539897050975;8.705143075969804;8.15591521853202;8.051769414232558;7.533833163564969;7.975998726701967;8.019243096796043;7.929148586953806;8.780696352824542;8.479701036625732;9.18449386454814;1.0
CARNE CERTIFICADA;10.04162860142034;10.302055966419996;9.770898696083407;10.26585753664743;9.538496428166457;10.004673617536872;10.250031821460393;8.909028567409475;9.203347728269467;9.732528081186526;10.316076147068356;9.271542444153923;9.242733568301825;9.795521263340627;10.788154540849206;11.195931569224797;10.634413211160057;9.272000460913569;9.248440403153953;9.693398228831136;9.78231178399314;10.049531055864584;10.005624870307656;10.5289018930182;9.875241771952112;10.474840485471663;10.246694858037436;9.840199227083083;8.909028567409475;9.2916969341076;9.168473851352669;9.262566956683283;10.372860208681896;10.087608974398302;11.012109476143506;2.0
CARNE FRESCA;7.511984791172608;7.49479912933077;7.412999658151898;7.692581127049548;7.355058445460007;7.50087946042553;7.639013774283909;6.937933050623543;7.1732438710828905;7.352647259005155;7.696304123003657;6.831514573204388;7.1451046527091995;7.449697691884132;8.044528809042454;8.002892746495972;7.855316282895133;7.269877501331507;7.157434022922929;7.358218949430714;7.455950966945999;7.431994254305558;7.523180602745717;7.86789887506872;7.44463376333496;7.680662767612043;7.307738956923196;7.096790544479126;6.937933050623543;7.2410699182926015;7.208797267963851;7.173438690121506;7.756288596378001;7.495491452505927;8.163333871437304;2.0
SALCHICHAS FRESCAS;8.775781734764868;8.973792959441518;8.361382927624543;8.560880781165345;9.048858743356465;8.804628102485495;8.812516583969149;8.248420507241688;8.8011489178879;8.799221358183289;8.74591217049074;9.321897322292592;8.496251981880594;8.879470910899672;8.808845715559954;8.547019704165331;9.234553194704032;8.191778365779049;8.867869278182495;9.488045781805148;8.448554321729377;8.754886338353524;8.501048025256349;9.203760536566868;8.760522344421814;8.820865977786898;7.508785376954287;8.546177838779087;8.248420507241688;8.881640761949281;8.451261665168007;8.513870682330294;9.11081937013855;8.918888048993487;9.0024763801163;3.0
CARNE VACUNO;12.367174992277056;12.43734270721616;12.099384207448258;12.5488364222566;12.183747296701403;12.36195542163806;12.60911543444661;11.22171990163211;11.499732375209955;11.997591664388962;12.748982580506537;11.061075709797985;11.344418115533747;12.343420267051536;13.282488342450456;13.393277464265433;12.912453091365622;11.377106133211154;11.879316607845507;11.309092810783731;12.487352555273413;12.32755963411485;12.458290362068816;12.679166130977125;12.296606576463688;12.51626776447062;11.727408108471252;11.186217655563585;11.22171990163211;11.750219516031006;11.937592551904983;11.075503007674758;12.923888309420272;12.330501780883258;13.41310697940075;3.0
TERNERA;12.317378305932019;12.142586801844336;12.00357337833143;12.572245120546738;12.120179505098891;12.546041202578696;12.557097592540485;11.207349799330306;11.534615134979916;11.833519742347365;12.840056646252311;10.842981647720835;11.353898213925554;12.234740582738636;13.33707820349105;13.9230005998175;12.792781714101805;11.127032629738888;11.782500095278483;11.117832014985261;12.859398540673302;12.210609153336547;12.472427650103544;12.484538339734483;12.25260795963924;12.459972884058852;11.437794084111019;11.037139178476707;11.207349799330306;11.881895140215756;11.629405790675493;10.755293007404356;12.71533217916883;13.020684025848396;13.537871279292617;4.0
AÑOJO;12.472727173171727;13.495163959260728;11.89526577127954;12.552186467595384;12.50338505156432;11.687696777228748;12.755650334908502;11.116502519389927;11.35388480525005;12.372026353801255;12.571562728672227;11.476857813253606;11.324102733830959;12.60523835028604;13.180680460673635;12.132461790593867;12.934363111925418;12.498638975097565;12.072518511315899;11.981889458719392;12.247907633296373;12.405890117520668;12.215717300086002;13.321461555313048;12.421025748795868;12.566906195711136;11.765179552231697;11.779385998422715;11.116502519389927;11.778815424469142;12.84619801524873;11.884304160986153;13.273306415668921;11.016647406530453;13.113614403287475;4.0
MAYOR;12.585554830312184;12.720364124698554;13.765025158629747;12.311677956787683;11.52225792221815;12.475358200879295;12.695043910041907;11.78118874395535;11.668401520290704;12.841882644058462;12.397338165327692;13.615996472415743;11.29651642527845;12.738321592910754;13.071105112928329;12.581136754281022;14.230346148182845;10.32040702715485;12.956266311191586;11.508572524352681;10.41201497793823;13.633976613124148;13.26614007930107;12.619785072364962;12.41172423589969;12.966874463730491;13.660141693334248;9.273574435624484;11.78118874395535;9.503600096461915;13.011831694214536;12.859639736317646;14.000812710179575;11.137329314864997;13.12928983847954;4.0
CARNE POLLO;5.486152631191909;5.5940694810607345;5.563736589092395;5.517388198385839;5.460252231392046;5.2650573049206395;5.46623036168046;5.411248442407517;5.619863217291791;5.56427062324221;5.38729062710233;5.32058506158368;5.6071037643022255;5.502416079394455;5.368913724346901;5.541279533343659;5.408403368869077;5.542166844469302;5.4846663687816495;5.390581024631665;5.459719940792515;5.458444481089523;5.51985094759256;5.590745714782352;5.464334441022316;5.539587078063143;5.777925333026536;5.557647440079052;5.411248442407517;5.647178569981833;5.435461789112694;5.505502973685953;5.428583566177085;5.580856043248915;5.3683955842891855;3.0
POLLO ENTERO;4.032593452341923;4.152995631375252;3.923866975490027;4.095665954489825;3.9520487353610307;3.967250020272714;4.095418171436364;3.6293791824903012;3.944058454514114;3.923594165383808;4.145741021152886;3.6653140946908875;4.085106746649862;3.894221604166415;4.234034697952341;4.258122617800781;4.140155747303285;3.9338045965108934;3.8926440427193603;4.301970264012465;4.280060527788901;3.943448498003806;3.9257640872466752;3.8869221697713585;4.088244556403681;3.8603878098584103;4.382158668383141;3.6868025044969386;3.6293791824903012;4.019575596428209;3.793745642864256;3.8712864414678823;4.265972970484373;3.7584355024706833;4.300671884538358;4.0
POLLO FILETES;7.40475075728944;7.459318812895094;7.477571494693035;7.386105950552344;7.460456949390485;7.250530290686798;7.388302261742368;7.392393624115286;7.4820124071641265;7.448864830305497;7.3430303432208275;7.6243309185112;7.4143794370661285;7.408454985178185;7.345062212166612;7.278385006209778;7.428250826239798;7.537744823777361;7.358134960182269;7.372603146048822;7.47079129020335;7.430913141701253;7.344249179754565;7.383801544301733;7.35631791725683;7.506653546340198;7.221407684350284;7.62520669244372;7.392393624115286;7.501511054343619;7.305238810276317;7.565714994879968;7.474469304635424;7.2510030267613645;7.299115332577429;4.0
