Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NIÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NIÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DEL HÁBITAT (2000 A 10000);TAMAÑO DEL HÁBITAT (10001 A 100000);TAMAÑO DEL HÁBITAT (100001 A 500000);TAMAÑO DEL HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;46.7467340768951;37.76443078337622;43.0333066482482;47.28142546544983;48.70651395779033;65.7206597796833;54.85337121080092;28.57565664630745;33.42380061170166;39.77555567143346;57.50507326954981;29.71122441403043;35.16780896209977;48.93383949557621;70.10197009610312;77.11528827965672;59.26055170657523;43.98470320671497;32.95319894613539;46.98359782424256;47.16819314228535;46.83325563591353;47.23995323897156;45.16619400928961;47.48763893275948;44.95300527947672;52.48505450914034;36.37912961771235;28.57565664630745;35.40876194361254;42.28785411945664;35.96104215178383;60.22145630335986;76.53399006490376;75.54606757527266;0.0
T.HUEVOS KGS;0.74299150892445;0.56547161291091;0.7209470001127;0.72391791492034;0.8285256200554;1.07079053099082;0.86957984101909;0.44486719504835;0.54490087351704;0.62052326773973;0.93251295199721;0.55470957745728;0.53011295248111;0.76917340331309;1.14434236982068;1.30089835275201;0.89605967958304;0.67978402438294;0.54094219928552;0.72069750068663;0.7641120565402;0.74125512819456;0.74931648478016;0.72499523013894;0.74600555978124;0.73571637132293;0.89962838111417;0.59373610110313;0.44486719504835;0.58272107508709;0.67522212774044;0.61578771543265;0.80757166386822;1.17897610065829;1.24058289322578;1.0
T.HUEVOS UNDS.;11.79838973710358;9.00035337852879;11.46835657485754;11.48456295922704;13.12164517435953;16.99050598832374;13.77946110672112;7.18158112380929;8.6716824703501;9.86407922492086;14.79134268047608;8.91546291316565;8.45306310498568;12.20536243496507;18.08524597807391;20.58072077728015;14.26753138186148;10.79001079854946;8.5923468675721;11.50608147888824;12.13542276385967;11.7243288304443;11.92532762375008;11.57114095071239;11.84272472337968;11.69141070691536;14.15936368154433;9.43867531840402;7.18158112380929;9.27921268343506;10.67122341227715;9.71891204863138;12.91240240484039;18.5927290880084;19.64002406067899;1.0
TOTAL HUEVOS GALLINA;11.57421502876695;8.80496442825227;11.22710063637275;11.27911639496433;12.91313274651508;16.68306427977018;13.55157833244234;6.90835895944934;8.48488979284348;9.66449028686169;14.5296208368973;8.62138793195602;8.25152447094921;11.98369961043415;17.84240574148045;20.27946564776316;13.95156232897088;10.59044289624913;8.42627278907049;11.21549418329168;11.90292275743727;11.55577481277998;11.66783719523456;11.28303371540403;11.62182060273043;11.45930118988491;14.03768044997643;9.24721014664992;6.90835895944934;9.07275830097667;10.52796099291982;9.60367768419148;12.56384518184859;18.38979277367052;19.33671578924059;2.0
OTRAS AVES;0.22417470833663;0.19538895027651;0.24125593848478;0.20544656426271;0.20851242784445;0.30744170855356;0.22788277427878;0.27322216435995;0.18679267750662;0.19958893805916;0.26172184357877;0.29407498120963;0.20153863403646;0.22166282453092;0.24284023659346;0.30125512951698;0.31596905289059;0.19956790230033;0.16607407850161;0.29058729559656;0.2325000064224;0.16855401766432;0.25749042851551;0.28810723530835;0.22090412064925;0.23210951703044;0.12168323156789;0.19146517175409;0.27322216435995;0.20645438245839;0.14326241935733;0.11523436443989;0.3485572229918;0.20293631433788;0.30330827143839;2.0
MIEL;0.03097904740907;0.0247068735775;0.02068428751365;0.03363548108143;0.03156193223316;0.04925960945948;0.03884305359171;0.01412691452787;0.01706667470718;0.0216472174267;0.04559080596763;0.01618496800427;0.01472829426889;0.03034880365567;0.06549455674638;0.07270615455431;0.04671041175373;0.01707154298751;0.01865724119641;0.03310906354761;0.04209906793756;0.02865601420282;0.02808618034598;0.0294640498989;0.03359321160562;0.02464485900073;0.02876234381728;0.02299247519619;0.01412691452787;0.01627029589605;0.02130868987509;0.01336860007134;0.03707478506784;0.06274129922547;0.0757518161247;1.0
GRANEL;0.01352745720439;0.01163989989104;0.00812858361476;0.0155444928648;0.00999581758112;0.02279334168581;0.01668265065712;0.00604865641887;0.00845697987792;0.00902386627117;0.02058865792905;0.00306846933588;0.00614412428451;0.01424597980436;0.02906260924104;0.03819139383654;0.02189671678416;0.00222826594442;0.00862172578007;0.02544218829262;0.02446173187228;0.00888253290364;0.01331561792972;0.01020420451741;0.01616877256038;0.00712679919475;0.02060058841863;0.01164152512846;0.00604865641887;0.00732251791213;0.00672290006902;0.00244023850371;0.01454304332368;0.03494532092167;0.03463074291903;2.0
ENVASADA;0.01745157954985;0.01306697368646;0.01255570927492;0.01809098821663;0.02156611002656;0.02646626777366;0.02216039971498;0.008078258109;0.00860969696614;0.01262335115553;0.02500214253803;0.01311649866839;0.00858416998437;0.01610283016101;0.03643194750534;0.03451476071776;0.02481369496956;0.0148432727042;0.01003551541634;0.00766687525498;0.01763733606527;0.01977348129917;0.01477055323401;0.01925983811536;0.01742443001435;0.01751805907644;0.00816175539864;0.01135095006772;0.008078258109;0.00894778276124;0.01458579270226;0.01092836156762;0.02253174174416;0.02779597250258;0.04112107320566;2.0
TOTAL CARNE;3.65510724018918;3.05033222244664;3.2419092655902;3.69513801150863;3.87634430031404;5.01282879331006;4.20664255532205;2.18898314122507;2.9165957245954;3.23143957013552;4.30351451726868;2.0817341429067;2.8446529614285;4.07717608673527;5.02018171579674;5.0294177631594;4.34676797513516;3.60589910839326;2.93154000302003;3.73464597223241;3.77369497947498;3.66804256166776;3.55106284040602;3.62473264104578;3.65928205200895;3.64513418826666;3.17675752369009;2.4236773853872;2.18898314122507;3.19702853731058;3.8142852894389;3.05678366495728;4.6142997077105;4.99549573013603;5.36071679144055;1.0
CARNE CERTIFICADA;0.50792905663443;0.42139614598014;0.36640703321115;0.54469425263028;0.53893018820031;0.7383394435899;0.62001382762197;0.22146675017555;0.34247715745145;0.39773413732621;0.67952623402348;0.20552441485595;0.28107020258757;0.5622308916206;0.9287833190294;0.71892496978946;0.67168092373674;0.51199520956962;0.35503225546788;0.53777061142877;0.51419037467149;0.51931263432849;0.44543915311592;0.55581511517368;0.50740577035828;0.50921725105123;0.22979329621845;0.20878042738167;0.22146675017555;0.38942749283598;0.54650687691463;0.36170353873619;0.70765841050808;0.54684146855719;0.9739624331182;2.0
