Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;3.301007325059009;3.417898953704243;3.2931556601745746;3.2993985295326085;3.233080782093081;3.219706906871672;3.3646665870835912;2.975474678486198;3.1386293002475045;3.2891013946019103;3.3140835009251557;3.054301264070195;3.1118346839318463;3.3582711466645763;3.438015246352941;3.430915402846168;3.411510948324573;3.2048394584382582;3.1752132697497544;3.181946561439588;3.2070320879609238;3.2506946833030543;3.332977425566221;3.5477733072727204;3.221321710472539;3.5050143309646735;3.1802164460436098;3.150479308866099;2.975474678486198;3.2142231288610588;3.309905620175698;3.2131194168299904;3.3771212230096626;3.3512631683883867;3.46126432059425;0.0
T.HUEVOS KGS;3.2568568234366047;3.264597343415718;3.2601787794415937;3.311727770626997;3.12437815517042;3.2793122281266935;3.309271654467157;3.016190915446821;3.109392055670978;3.207916661817857;3.3085653513139883;3.107755558811154;3.1174351342611115;3.2298996704476544;3.4217781203840065;3.4286993229760223;3.3877044461205;3.1917087151512513;3.0602852870344184;3.427082281949785;3.2858535779719173;3.223040870000951;3.260241409180315;3.2426392822057126;3.262802770784584;3.2422414229590273;3.2503930522326545;3.270394414815856;3.016190915446821;3.079864644539609;3.1211367587879124;3.083218297784129;3.417271459744009;3.45300141306714;3.4407728965528936;1.0
T.HUEVOS UNDS.;0.2050972225460747;0.20510718275683043;0.2049479448539654;0.2087514406083635;0.19727917604101042;0.20667168384824122;0.20883805955059664;0.1868396901953309;0.19538428131279167;0.20180159589542887;0.20858688148047194;0.1933608820606422;0.1955022366054272;0.2035460179995199;0.21651271362457958;0.21672658356384886;0.21276177912403033;0.20108159626080457;0.19266417884701953;0.2146594946142605;0.20689516828629864;0.2037724809513323;0.2048541314199562;0.2031690757786135;0.20553285365737173;0.2040275681395243;0.20651675494261196;0.2057228544704902;0.1868396901953309;0.19341102505309346;0.19749006480485298;0.1953519017635321;0.21372410122537444;0.2189568902055972;0.2173400593477109;1.0
TOTAL HUEVOS GALLINA;0.20707623976239098;0.20738342802015222;0.20701109458300204;0.21080593259668085;0.19887214970344083;0.2084780823040724;0.21057784347699654;0.19032355088184041;0.1975500123027003;0.2038306711040142;0.2105039958508266;0.19572050573482827;0.19791871553871712;0.20533605370541003;0.21814855213868511;0.2185991410007779;0.21503394976682283;0.2031345203661065;0.19435963836551765;0.2165094158342646;0.20865406963979918;0.20541612609655804;0.20731402318099687;0.20563967597674127;0.20742820391479141;0.2062109064887987;0.20739833386549011;0.20705041416585823;0.19032355088184041;0.19558703892776338;0.19860887176085879;0.1966542939025411;0.21660225462954508;0.22039629815516593;0.21922868891837555;2.0
OTRAS AVES;0.10291990300260363;0.10253096979717963;0.10893708691912415;0.0959588302675022;0.09862663730595235;0.10864899949844427;0.10537776846563275;0.09875108199803262;0.09700789410313185;0.10354976974025619;0.10215730525048591;0.12418386133991688;0.09656520080132527;0.10677178336305113;0.09632136928375826;0.09067241719479208;0.11243445258691685;0.092139350253657;0.10663989056200221;0.14326001846059905;0.11684757099448324;0.09108698443487606;0.09338739942843327;0.10641390299399205;0.10581800630038046;0.09623564274217297;0.10481561624551372;0.1416055877487021;0.09875108199803262;0.09778482565076098;0.11527202015452286;0.08681002380670612;0.10998023538541575;0.088519841539824;0.09693485883700108;2.0
MIEL;7.2325842627069035;7.268693658832254;7.312988953866147;7.5573097355877135;6.4867345692582;7.236298191600386;7.454812201708479;6.3029210208670445;6.063808035619261;6.837440537827519;7.530512435174648;6.475623143602397;7.008982417446791;6.933900833786569;7.606865645464909;7.672845088514991;7.80810861646045;6.483063856955215;6.3106924013378425;6.423342033786103;7.438401678067203;7.148178449060788;7.754814875357581;6.754604452590242;7.188735277038991;7.377446917345939;7.874419979152258;7.398409016085934;6.3029210208670445;6.171539812199404;6.5903677748797485;6.656256883346385;7.5174497948583765;8.200815704578469;7.5686625953240565;1.0
GRANEL;8.360441421010945;7.47628849384561;9.539222449146958;8.555558462217508;8.020376649652706;8.745536873141894;8.822467960080926;6.822586293393403;6.064324900975639;7.483503959088207;8.970760280788934;7.9501416373631075;7.924017244095396;7.656026468360653;9.075058134395322;8.231226422275263;9.554274688099113;9.846891386934654;6.502336638277487;6.622438011093827;7.970589156959436;8.746928485381808;9.48180497314414;7.9438132720192165;8.200259608821783;9.241149615170395;7.950142372377148;7.8709563861449166;6.822586293393403;6.151070983857832;7.749233077627923;9.40186595138836;9.9770897712852;8.468893659604223;8.900661488565781;2.0
ENVASADA;6.358341348657632;7.083770725991558;5.871719167269322;6.699570150418659;5.775895288542038;5.936508087154406;6.425224859784081;5.9138177458886005;6.0633000742849665;6.375598841092587;6.344507125668644;6.130672817556064;6.3540457479941415;6.295042269525777;6.435654455336635;7.054983020659539;6.267213398086561;5.978089357863493;6.146046741431378;5.762646363958709;6.700296250522528;6.429996881158319;6.1979416884247165;6.124540015709449;6.250108192780617;6.619243965932616;7.683287719378826;6.913764818894736;5.9138177458886005;6.188283140043465;6.056221953059846;6.0431786169908905;5.929886319279633;7.8637876479134174;6.44689928409953;2.0
TOTAL CARNE;8.603935551725826;8.67446307980322;8.478956270832297;8.505955246442399;8.525380778297993;8.773681025281844;8.806226374226888;7.867325822028053;8.001841188852637;8.34806855897158;8.909019193221098;8.096100050992238;8.018330514834101;8.478582763390396;9.402965108961265;9.403403620834062;9.008141619796868;8.376149458273682;8.027487696095612;8.398314788494325;8.426109870791299;8.530910922958345;8.670098331762906;8.989555252282432;8.525406202260797;8.794999269484256;8.272775827003864;8.50248141769398;7.867325822028053;8.146964884874736;8.285392342147045;7.945856256455713;8.862043968812536;8.909575209334173;9.459712026581286;1.0
