Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;7241383.07;1846219.8582000001;1054423.3908;1803057.6084;1021335.6018;1516346.8386900001;5732482.834;527052.72435;981846.89085;3776693.6839;3464689.3211999997;352978.27489;1854275.4967;2604451.4861;2429677.6398;1428889.1117999998;2229749.0553;1624424.68198;1958320.33602;440492.70062;1085365.14508;2898158.6753000002;1714719.6842;1102646.9838800002;5081659.3964;2159724.1909000003;204818.32804;325531.46161;527052.72435;1191167.42211;966571.94469;515999.58712;1010514.0729;442123.43442;2057604.23528;0.0
T.HUEVOS KGS;113555.004;26404.727300000002;17488.1073;27709.47;16789.3701;25163.2995;89379.781;8317.4614;15857.725699999999;57464.4683;56090.4959;6705.452200000001;28001.305;39373.5444;39474.6655;24089.1123;33480.0408;25002.638300000002;30983.182800000002;7277.4145;18014.764300000003;45480.4919;26605.189;16177.1095;80858.1429;32696.8213;3588.19068;5515.15371;8317.4614;18783.5813;14553.3305;8478.62669;13712.1329;7017.49971;33588.995299999995;1.0
T.HUEVOS UNDS.;113555.004;26404.727300000002;17488.1073;27709.47;16789.3701;25163.2995;89379.781;8317.4614;15857.725699999999;57464.4683;56090.4959;6705.452200000001;28001.305;39373.5444;39474.6655;24089.1123;33480.0408;25002.638300000002;30983.182800000002;7277.4145;18014.764300000003;45480.4919;26605.189;16177.1095;80858.1429;32696.8213;3588.19068;5515.15371;8317.4614;18783.5813;14553.3305;8478.62669;13712.1329;7017.49971;33588.995299999995;1.0
TOTAL HUEVOS GALLINA;112472.3;26118.18;17292.56;27481.61;16655.99;24923.93;88633.92;8150.214;15688.13;56867.84;55604.42;6563.403;27671.55;38998.45;39238.86;23941.59;33088.22;24790.74;30651.72;7154.755;17819.84;45188.22;26343.31;15966.14;80081.62;32390.64;3572.54;5438.146;8150.214;18572.29;14439.29;8433.954;13521.66;6986.534;33357.64;2.0
OTRAS AVES;1082.704;286.5473;195.54729999999998;227.86;133.3801;239.3695;745.861;167.2474;169.59570000000002;596.6283000000001;486.07590000000005;142.0492;329.755;375.0944;235.8055;147.5223;391.82079999999996;211.89829999999998;331.4628;122.6595;194.9243;292.2719;261.879;210.9695;776.5229;306.18129999999996;15.65068;77.00771;167.2474;211.29129999999998;114.0405;44.67269;190.47289999999998;30.965709999999998;231.3553;2.0
MIEL;10514.42;2568.712;1125.469;2937.982;1327.867;2554.393;8993.888;551.9386;968.5951;4272.813;6241.608;407.6702;1749.121;3335.112;5022.519;3012.837;4022.565;1275.395;2203.625;626.6247;2246.857;3899.445;2372.004;1369.492;8022.226;2492.196;277.91970000000003;483.1568;551.9386;1050.933;969.7713;397.3802;1384.821;886.9338;4511.567;1.0
GRANEL;5307.245;1244.734;576.9336999999999;1537.125;519.9696;1428.482;4571.435;255.8053;480.0049;1949.467;3357.778;94.8882;824.9314;1728.57;2658.855;1697.767;2307.386;252.847;1049.245;496.44590000000005;1398.946;1479.054;1375.003;557.7959000000001;4404.489;902.7558;200.9699;260.2564;255.8053;471.4083;359.7645;102.4558;720.9475;510.14820000000003;2425.489;2.0
ENVASADA;5207.177;1323.978;548.5353;1400.856;807.897;1125.911;4422.454;296.13329999999996;488.5903;2323.346;2883.831;312.7819;924.1895999999999;1606.542;2363.664;1315.07;1715.179;1022.548;1154.38;130.1787;847.9111;2420.391;997.0009;811.6957;3617.737;1589.44;76.94974;222.9004;296.13329999999996;579.5243;610.0069;294.92440000000005;663.8739;376.7856;2086.078;2.0
TOTAL CARNE;1475778;378469.6;204522.6;363277.1;214338.9;315170.1;1150596;106750.8;218430.9;778754;697024.2;65556.64;386478.8;547865.5;475877.2;255417.6;431862.2;348056.4;440442;92414.72;228148.3;595691.5;335300.1;224223.6;1036339;439439.5;32248.67;58530.81;106750.8;272601.6;218237.4;108466.5;203181.5;76721.35;399039.6;1.0
