Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;2193688.8824899998;540162.2117000001;320186.31963;546480.6970909999;315901.664894;470958.035172;1703729.83047;177132.31712599998;312826.650402;1148244.8337100002;1045444.18396;115567.60265999999;595878.53631;775533.41358;706709.384834;416474.59760000004;653595.7495299999;506866.163827;616752.378392;138434.977494;338432.892254;891550.56308;514470.83651;310799.729402;1577507.57395;616181.2725900001;64403.895619999996;103327.598659;177132.31712599998;370592.636029;292024.019899;160591.475193;299223.51203;131927.399373;594466.080801;0.0
T.HUEVOS KGS;34866.440299999995;8088.20339;5364.15592;8367.0736;5373.66774;7673.34665;27008.898129999998;2757.60442;5099.94411;17913.32954;16953.117120000003;2157.6511;8982.16123;12190.33048;11536.30192;7025.72901;9882.81042;7833.62159;10124.27924;2123.501539;5482.52193;14111.05032;8160.49662;4988.8711299999995;24781.80527;10084.63499;1103.9251629999999;1686.387943;2757.60442;6098.83338;4662.830124;2749.927469;4012.59691;2032.289846;9762.04949;1.0
T.HUEVOS UNDS.;553664.27;128736.239;85329.508;132739.06;85104.624;121754.945;427986.073;44516.566;81161.727;284757.254;268907.112;34678.432;143227.543;193438.048;182320.312;111149.781;157359.282;124340.759;160814.444;33902.1319;87071.943;223192.512;129873.822;79623.877;393407.387;160256.879;17374.816300000002;26808.6583;44516.566;97117.428;73691.45640000001;43401.8129;64158.103;32049.6866;154545.809;1.0
TOTAL HUEVOS GALLINA;543144.4;125941.5;83534.46;130364.5;83752.25;119551.8;420908.1;42822.94;79413.46;278995.5;264149;33534.57;139812.7;189925;179872.2;109522.8;153874.4;122041;157706.2;33045.93;85403.75;219983.8;127069.6;77641.34;386069.1;157075.3;17225.5;26264.84;42822.94;94956.65;72702.14;42887.21;62426.22;31699.87;152159.1;2.0
OTRAS AVES;10519.87;2794.739;1795.048;2374.56;1352.374;2203.145;7077.973;1693.626;1748.267;5761.754;4758.112;1143.862;3414.843;3513.048;2448.112;1626.981;3484.882;2299.759;3108.244;856.2019;1668.193;3208.712;2804.222;1982.537;7338.287;3181.579;149.31629999999998;543.8183;1693.626;2160.778;989.3164;514.6029;1731.883;349.8166;2386.709;2.0
MIEL;1453.757;353.39390000000003;153.9;388.7603;204.705;352.9972;1206.454;87.56869999999999;159.7338;624.9141;828.8424;62.954589999999996;249.5542;480.9864;660.2613;392.6623;515.1779;196.7272;349.1891;97.55431;302.0618;545.5159;305.875;202.74939999999998;1115.944;337.8128;35.29399;65.3055;87.56869999999999;170.287;147.1498;59.70025;184.2142;108.1519;596.0851;1.0
GRANEL;634.8044;166.49089999999998;60.480160000000005;179.66389999999998;64.83107;163.3384;518.1582999999999;37.49389;79.15224;260.5019;374.3025;11.93541;104.1052;225.779;292.98490000000004;206.2593;241.503;25.67785;161.3643;74.96422;175.5135;169.0941;145.01489999999998;70.21764999999999;537.1158;97.68869000000001;25.278779999999998;33.06541;37.49389;76.63841000000001;46.42582;10.89739;72.2603;60.23788;272.5066;2.0
ENVASADA;818.9521;186.903;93.41988;209.0964;139.8739;189.65879999999999;688.2955999999999;50.07481;80.58158;364.4122;454.5398;51.01918;145.449;255.2075;367.2764;186.403;273.67490000000004;171.0493;187.82479999999998;22.59009;126.5483;376.42179999999996;160.86;132.5317;578.8279;240.1241;10.01521;32.24009;50.07481;93.64864;100.724;48.80286;111.95389999999999;47.914010000000005;323.5785;2.0
TOTAL CARNE;171523.6;43630.32;24121.2;42708.56;25141.27;35922.22;130657.1;13568.88;27297.58;93285.53;78238.04;8097.311;48199.41;64617.58;50609.27;27162.25;47941.32;41553.27;54866.73;11003.96;27076.35;69827.42;38673.16;24942.68;121558.9;49964.7;3898.168;6883.968;13568.88;33460.51;26340.02;13650.7;22927.16;8611.112;42183.06;1.0
