Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NIÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NIÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DEL HÁBITAT (2000 A 10000);TAMAÑO DEL HÁBITAT (10001 A 100000);TAMAÑO DEL HÁBITAT (100001 A 500000);TAMAÑO DEL HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;48.11922721339063;39.44974114669858;43.44838737099749;48.48824868686853;50.83940312360208;67.05688159860797;56.19145549847078;30.02097286267337;34.90684761598721;41.02061061770644;59.02164796167009;32.37079996000781;36.8436439950597;50.19219413353272;70.66814578042082;77.14254191252263;61.34989248045381;44.69873657465865;34.71652988463901;51.27357989720538;48.70897392482633;48.21447622166781;48.08455739882361;45.92481537872653;48.83283133309367;46.39188847752153;53.65578317210919;38.81865376709606;30.02097286267337;37.78319588391268;44.51430288081738;34.69890010512591;61.55854305556629;78.15709873401713;76.00083888011304;0.0
T.HUEVOS KGS;0.77814054298457;0.62154125011433;0.71282050719626;0.75311258577458;0.86460117522826;1.11798303148353;0.90994230838219;0.49003155508281;0.55726495492083;0.65387077484057;0.96937206071308;0.56896846877702;0.57605471881096;0.81361204050699;1.15534740652532;1.2484820692554;0.97801026661031;0.69509640708394;0.58651448891051;0.69056519075065;0.8212414753359;0.77949986111584;0.79843397948843;0.73450680903903;0.78301149350727;0.76636919052541;0.85201844705098;0.59625707731903;0.49003155508281;0.61814535946039;0.74790055535117;0.64009193340423;0.90628092842875;1.15547194234644;1.24013618941298;1.0
T.HUEVOS UNDS.;12.38527231168736;9.91193188776542;11.34064051143935;11.9544367023266;13.80457294649312;17.77469383920474;14.47192615966071;7.81061792976329;8.89944745758173;10.40891007934594;15.42652385633294;9.00687097819607;9.23798115503228;12.91965143223958;18.3392166934894;19.77163734101007;15.63878829171393;11.08772349494385;9.30655642683278;10.9086223159825;13.12459802710204;12.38446760521646;12.68653014321133;11.76704699289672;12.45736832329636;12.21107877483659;13.51446012753459;9.40822200865508;7.81061792976329;9.89871546497;11.86351609384608;10.16125260277564;14.46966604405562;18.56189101562363;19.67197678798213;1.0
TOTAL HUEVOS GALLINA;12.11644110866113;9.67448020808671;11.10026114966426;11.7327447916911;13.45473047709874;17.41177950169423;14.17079716269605;7.62824769972553;8.67167556194474;10.18114211198354;15.09457078055107;8.86851405546423;8.95694272704886;12.67436159601117;17.99917110352646;19.45862399713522;15.21522932765142;10.81887355804638;9.13794304892932;10.76812902945979;12.77769435305341;12.14176268636449;12.43645700104293;11.42289516870488;12.1932927828576;11.93071116253802;13.27544158843771;9.29953439319423;7.62824769972553;9.61404082982775;11.65306285949469;9.97184087734223;14.10341237015187;17.96024133685564;19.3225263246882;2.0
OTRAS AVES;0.26883120302622;0.2374516796787;0.24037936177509;0.22169191063549;0.34984246939437;0.36291433751051;0.30112899696466;0.18237023003775;0.22777189563698;0.2277679673624;0.33195307578186;0.13835692273183;0.28103842798342;0.2452898362284;0.34004558996294;0.31301334387484;0.42355896406251;0.26884993689747;0.16861337790346;0.1404932865227;0.34690367404863;0.24270491885197;0.2500731421684;0.34415182419184;0.26407554043875;0.28036761229856;0.23901853909687;0.10868761546085;0.18237023003775;0.28467463514224;0.21045323435139;0.1894117254334;0.36625367390375;0.60164967876798;0.34945046329393;2.0
MIEL;0.02938860196092;0.01655142408636;0.0209285927453;0.03418512983378;0.02729875080793;0.05783312149485;0.03692357567453;0.01490557734707;0.01495007451377;0.01993938276292;0.04410179932508;0.01953750424091;0.01925686523218;0.02634902602868;0.05547339377993;0.07167892660947;0.04392658227587;0.01928221082399;0.01525258339281;0.03918832958375;0.01979676319817;0.02980170751943;0.03096039856163;0.03155502949516;0.03061087623844;0.02642769993212;0.06249145262485;0.01698394019736;0.01490557734707;0.01513642536695;0.02011976572553;0.01660748025259;0.04257814995669;0.04963150061913;0.06269389920321;1.0
GRANEL;0.00926956613158;0.00290210526141;0.00408828716457;0.01343812243543;0.00763657685744;0.02207350034774;0.01222179905187;0.00336858144596;0.00368898890009;0.00464209618975;0.01650454211311;0.00154435696721;0.0050089473134;0.00831527915278;0.02106151371584;0.02710047500583;0.01499819843671;0.0064229773764;0.00263031744861;0.02041234637922;0.00662243535487;0.00925790000383;0.01051756551384;0.00531465605844;0.0105443463132;0.00618055416099;0.02165228674102;0;0.00336858144596;0.00337546771414;0.00664328306302;0.00751492284295;0.01414650863721;0.01092980995673;0.02333374480414;2.0
ENVASADA;0.02011904435319;0.01364931952524;0.01684031094249;0.02074700739834;0.01966216315051;0.03575960720122;0.0247017734027;0.01153699751347;0.01126108454553;0.0152972830971;0.02759725721197;0.01799314598824;0.01424791378696;0.0180337468759;0.03441188006408;0.04457845160364;0.02892838383916;0.01285924124686;0.01262226808215;0.01877599338466;0.01317432366397;0.02054380751559;0.02044282386117;0.02624037634202;0.02006654196643;0.02024714431204;0.04083915773336;0.01698394019736;0.01153699751347;0.01176096530438;0.01347648557109;0.00909255740963;0.02843164333182;0.03870169066239;0.03936015439907;2.0
TOTAL CARNE;3.71362992169617;3.02509198356541;3.36205700727509;3.82087811748425;3.96854312965734;5.03705915939219;4.22627619267726;2.26457209585328;3.09461869285047;3.29501142274429;4.35149436397449;2.36082441790547;3.00698227286605;4.1080660637932;4.86339152828789;5.14959252213941;4.38853303450257;3.61882432812301;3.01092450540258;3.91795746596919;3.95113608205455;3.68730705702661;3.66232041650957;3.53083156202661;3.7310932917479;3.6714623639751;3.44167516641665;2.85713954441655;2.26457209585328;3.32373929583931;3.90820135028046;2.97487923715254;4.61769377863075;5.20807333179388;5.20554120693123;1.0
