Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;7259365.0317;1869687.7766;1050363.1906;1813291.818;1035700.04677;1490321.8303;5697272.562399999;547432.98741;1014659.5595;3809192.3809;3450172.1336;372088.44474;1930926.7345;2605525.5412;2350823.8137600003;1421597.70439;2209027.414;1604272.805;2024466.4328;454702.6273;1102461.6428399999;2907667.6494;1703057.1783;1091475.6419000002;5096574.1863;2162790.8786;218326.15557;339568.61838;547432.98741;1234719.981;996924.6908999999;493305.39325;992010.7387000001;444861.30125;1992214.81485;0.0
T.HUEVOS KGS;118188.99;29049.671;17237.4983;28509.7627;17530.019;25861.9987;92818.266;9279.763;16090.926099999999;59732.9971;58455.962700000004;6754.2246;30379.579100000003;41372.7565;39682.399600000004;22657.6983;36366.9061;25813.6783;33350.6669;6523.96957;19308.2742;47618.9084;28323.951100000002;16413.8595;84257.179;33931.780399999996;3374.12716;5510.33324;9279.763;19747.9103;16155.6358;8986.04307;15064.1626;6741.39212;33329.5804;1.0
T.HUEVOS UNDS.;118188.99;29049.671;17237.4983;28509.7627;17530.019;25861.9987;92818.266;9279.763;16090.926099999999;59732.9971;58455.962700000004;6754.2246;30379.579100000003;41372.7565;39682.399600000004;22657.6983;36366.9061;25813.6783;33350.6669;6523.96957;19308.2742;47618.9084;28323.951100000002;16413.8595;84257.179;33931.780399999996;3374.12716;5510.33324;9279.763;19747.9103;16155.6358;8986.04307;15064.1626;6741.39212;33329.5804;1.0
TOTAL HUEVOS GALLINA;116684.1;28756.44;16949.15;28186.48;17321.02;25470.97;91658.04;9175.695;15850.33;59088.86;57595.21;6705.3;29884.05;40895.66;39199.06;22495.04;35667.71;25480.73;33040.58;6474.363;18915.66;47168.72;28041.33;16084;83248.86;33435.21;3346.934;5482.386;9175.695;19444.05;15989.96;8913.602;14776.87;6645.341;32909.22;2.0
OTRAS AVES;1504.89;293.231;288.3483;323.28270000000003;208.999;391.0287;1160.226;104.068;240.5961;644.1371;860.7527;48.9246;495.52909999999997;477.0965;483.33959999999996;162.6583;699.1961;332.94829999999996;310.0869;49.60657;392.61420000000004;450.1884;282.62109999999996;329.8595;1008.319;496.5704;27.19316;27.94724;104.068;303.8603;165.67579999999998;72.44107000000001;287.2926;96.05112;420.3604;2.0
MIEL;10274.49;1576.375;1084.733;3195.235;1118.147;3300.005;8673.2;632.0798000000001;969.2147;3892.034;6382.46;498.33320000000003;2256.732;3040.194;4479.235;2987.866;3768.921;1711.797;1805.91;1080.618;1110.358;3932.353;2561.599;1589.568;7641.843;2632.652;557.0506;290.75809999999996;632.0798000000001;1106.665;1056.685;540.4281;1552.062;574.4223000000001;3964.344;1.0
GRANEL;4349.112;403.04690000000005;301.36690000000004;1606.012;456.7423;1581.944;3815.619;219.2742;314.2185;1328.455;3020.657;60.07076;879.5034;1330.141;2079.396;1365.127;1733.919;809.7509;440.3148;684.7955999999999;483.8248;1631.018;1173.865;375.6081;3552.115;796.9964;289.5635;0;219.2742;326.9887;502.5583;306.0215;705.7548;200.8935;1798.057;2.0
ENVASADA;5925.383;1173.328;783.3657;1589.223;661.4041;1718.061;4857.581;412.80559999999997;654.9963;2563.58;3361.803;438.2624;1377.228;1710.053;2399.839;1622.739;2035.003;902.0459000000001;1365.595;395.822;626.5328000000001;2301.334;1387.734;1213.96;4089.728;1835.655;267.4871;290.75809999999996;412.80559999999997;779.6763000000001;554.1265999999999;234.4067;846.3069;373.5288;2166.287;2.0
TOTAL CARNE;1468660;370470.1;209388.3;372481.4;213051.9;303268.1;1130223;108672.6;229764.6;785327.1;683332.7;69256.82;406733;550270.1;442399.8;252689.9;422019.7;343430.7;450519.4;92041.11;238331.5;586351.6;338681.2;213254.3;1035953;432707.1;34991.46;65819.72;108672.6;279252.4;221246.6;107564.8;198038.7;80166.38;372907.1;1.0
CARNE CERTIFICADA;232112.8;52464.94;30560.3;61634.39;35588.42;51864.71;191582.8;11788.97;28741.03;107290.9;124821.9;7697.026;46232.29;87124.77;91058.67;45640.26;72927.4;54304.18;59240.92;13938.78;36882.28;92542.44;54257.43;34491.82;166934.4;65178.37;4075.781;6631.115;11788.97;35437.99;36577.18;13840.63;34845.52;12669.68;76245.9;2.0
CARNE FRESCA;951274;237063.7;136151.2;240354.6;139533.8;198170.8;735165.5;69944.79;146163.8;502536.9;448737.1;45735.89;260159.9;358826.3;286552;158666;273938.1;228141.1;290528.9;62930.66;152114.4;382686.6;215613.8;137928.6;670821.8;280452.3;22937.66;43328.91;69944.79;178505.6;146528.1;70375.54;128968.6;49637.02;241047.8;2.0
SALCHICHAS FRESCAS;10894.17;3278.163;1606.513;2670.906;1743.996;1594.591;8117.683;622.1384;2154.348;6033.874;4860.295;139.6682;3039.315;4826.075;2889.11;1014.693;2689.997;2754.972;4434.507;815.1544;1750.374;4241.161;2723.593;1363.887;7782.503;3111.666;141.764;329.3879;622.1384;2662.58;2352.953;787.9825;1449.449;330.0723;2217.842;3.0
CARNE VACUNO;212496.2;54792.99;31311.06;52607.04;31206.45;42578.65;169951.2;14436.84;28108.19;109976.2;102520;11201.84;53605.04;76809.02;70880.28;41212.1;64724.79;50509.63;56049.67;9675.91;31045;84368.07;51831.62;35575.58;144170.3;68325.86;6528.536;10227.18;14436.84;34969.57;31622.91;12896.44;29767.27;12590.23;59457.22;3.0
TERNERA;150455.8;38383.56;21946.73;36887.95;21521.27;31716.3;120817.5;10031.21;19607.16;78441.01;72014.82;8243.304;37951.34;53791.8;50469.37;29658.36;46774.22;35296.38;38726.87;7689.263;22959.24;60684.86;35434.16;23688.3;104145.3;46310.54;5143.791;7594.157;10031.21;23771.83;22157.62;9290.251;21760.73;8631.789;42074.44;4.0
AÑOJO;48034.96;12655.53;6288.103;12025.82;8199.905;8865.603;37771.98;3395.427;6867.561;23414.92;24620.04;1999.619;11734.79;17933.73;16366.83;9425.016;13401.09;11224.86;13984.01;1486.734;5936.032;19306.38;12090.87;9214.95;30735.25;17299.72;1138.713;1619.076;3395.427;8805.29;7328.006;2744.325;6083.648;3039.463;13881.02;4.0
MAYOR;14005.4;3753.894;3076.221;3693.266;1485.276;1996.74;11361.72;1010.199;1633.478;8120.241;5885.157;958.9154;3918.912;5083.486;4044.084;2128.719;4549.487;3988.398;3338.794;499.9138;2149.722;4376.832;4306.591;2672.339;9289.799;4715.599;246.03179999999998;1013.948;1010.199;2392.446;2137.276;861.8599;1922.901;918.9749;3501.762;4.0
CARNE POLLO;290103.2;76033.81;43323.55;72966.62;42954.3;54824.94;212219.1;26314.47;51569.67;163772.8;126330.5;16615.81;90990.86;108809;73687.53;45072.87;73966.62;69340.06;101723.6;19632.24;44614.69;116175.4;66412.48;43268.39;203649.7;86453.47;8298.092;13703.27;26314.47;62212.9;47284.94;21673.87;34366.49;15404.96;60844.22;3.0
POLLO ENTERO;43398.42;9495.706;5661.449;11757.51;6198.443;10285.31;33856.79;3269.81;6271.814;22192.11;21206.3;1949.884;11319.97;16446.22;13682.34;6944.777;13803.15;9793.323;12857.16;4011.391;8540.759;16814.73;8906.336;5125.203;32175.53;11222.89;891.8045999999999;2291.394;3269.81;7286.834;6517.895;2989.568;6742.699;1946.717;11461.69;4.0
POLLO FILETES;54243.59;15059.63;8942.11;13780.81;7105.882;9355.16;39776.45;4466.201;10000.94;31568.83;22674.76;2704.517;17411.15;21735.08;12392.84;9276.997;12407.77;12742.64;19816.18;3057.23;7951.609;21108.58;13546.71;8579.454;37832.82;16410.77;1866.984;2414.267;4466.201;12267.49;9752.157;3983.138;5763.703;3466.904;10262.75;4.0
POLLO POR PIEZAS;192461.2;51478.48;28719.99;47428.3;29649.97;35184.46;138585.8;18578.46;35296.92;110011.8;82449.4;11961.41;62259.75;70627.7;47612.34;28851.1;47755.7;46804.1;69050.3;12563.62;28122.32;78252.09;43959.44;29563.73;133641.4;58819.82;5539.304;8997.606;18578.46;42658.58;31014.89;14701.17;21860.09;9991.338;39119.78;4.0
CARNE CONEJO;19234.44;3837.202;1559.532;5165.154;2599.714;6072.842;16474.11;889.6841;1870.655;7732.281;11502.16;495.2328;3628.878;5861.339;9248.993;4504.149;7792.271;3197.403;3740.622;1612.576;4778.929;7332.706;3080.148;2430.086;14755.67;4478.774;286.35409999999996;727.6018;889.6841;2216.131;2031.615;500.681;3425.281;723.9838000000001;8433.111;3.0
CARNE OVINO/CAPRINO;34406.21;6707.486;4421.079;8150.315;4519.634;10607.7;29991.5;1073.807;3340.901;12945.83;21460.38;881.8914;4479.671;12820.93;16223.72;7429.352;13173.96;5881.267;7921.631;1945.656;6064.582;12378.8;8507.895;5509.273;23213.34;11192.87;73.09869;952.8658;1073.807;4743.685;4830.449;1753.642;5325.923;1558.942;14093.8;3.0
CORDERO;30774.08;6545.099;3675.022;7010.702;3767.108;9776.146;26518.94;1008.127;3247.01;11787.74;18986.34;881.8914;4314.547;11422.78;14154.86;6913.115;10983.33;5533.367;7344.268;1783.498;5506.246;10763.52;7787.188;4933.629;20885.75;9888.324;73.09869;952.8658;1008.127;4608.608;4221.815;1579.301;4841.861;1358.613;12129.79;4.0
CABRITO;2479.013;35.470769999999995;432.0098;726.3161;639.8763;645.3396;2439.803;0;39.20992;609.2373;1869.775;0;39.20992;770.5363000000001;1669.266;516.2366;1477.939;35.470769999999995;449.3658;0;442.0032;1133.327;498.0582;405.6246;1434.927;1044.085;0;0;0;80.39523;404.4413;35.25203;177.2456;200.3288;1581.35;4.0
OTRO OVINO/CAPRINO;1153.12;126.9164;314.04720000000003;413.2971;112.6492;186.2098;1032.758;65.67976;54.68146;548.8548000000001;604.2648;0;125.9141;627.6133000000001;399.59209999999996;0;712.6939;312.42859999999996;127.9971;162.15789999999998;116.3334;481.9588;222.6495;170.02;892.6554;260.46410000000003;0;0;65.67976;54.68146;204.1922;139.08939999999998;306.8167;0;382.66;4.0
OVINO/CAPRINO ENTE;8041.121;1716.702;675.3991;1652.159;669.9169;3326.944;6904.457;0;1136.664;2623.824;5417.297;0;617.2251;3133.499;4290.397;2060.68;1883.535;1253.533;2843.373;20.45734;2665.528;3657.141;998.6687;699.3266;5312.015;2729.106;0;0;0;1494.787;1717.902;669.7441;531.7235;200.3288;3426.636;4.0
OVINO/CAPRINO PIEZ;26365.09;4990.784;3745.68;6498.156;3849.717;7280.752;23087.04;1073.807;2204.237;10322.01;16043.08;881.8914;3862.446;9687.426;11933.33;5368.671;11290.43;4627.734;5078.258;1925.199;3399.055;8721.662;7509.227;4809.947;17901.32;8463.768;73.09869;952.8658;1073.807;3248.898;3112.547;1083.898;4794.2;1358.613;10667.16;4.0
CARNE CERDO;295826.9;72956.94;40299.96;76758.8;42516.28;63294.96;229903.5;20110.42;45813;155193.9;140633;12894.72;78412.69;117059.7;87459.82;44371.7;84510.46;75285.78;91658.98;23428.51;48645.45;121999.9;63136.35;38616.76;214389;81437.95;5355.934;13510.99;20110.42;55353.07;46720.89;25360.8;42218.47;13984.1;73212.26;3.0
CARNE CERDO ADOBAD;33404.56;8913.55;4590.131;8505.122;4577.851;6817.905;24288.58;3248.037;5867.945;18752.5;14652.06;1695.621;10674.77;13074.23;7959.943;4884.615;8614.929;7903.895;12001.12;3130.052;3935.963;13242.66;8327.363;4768.521;23076.82;10327.74;1226.34;1187.006;3248.037;6595.053;5633.614;2789.005;4782.962;1588.3;6354.245;4.0
