Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NIÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NIÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DEL HÁBITAT (2000 A 10000);TAMAÑO DEL HÁBITAT (10001 A 100000);TAMAÑO DEL HÁBITAT (100001 A 500000);TAMAÑO DEL HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
.TOTAL ALIMENTACION;47.3437941336285;39.1846935266403;43.73341384270931;47.09834691005695;48.98922498847044;66.12809487088326;55.01427604745398;29.78937208205003;35.07779275335656;40.60294161463564;57.66771431675395;32.7062394966858;36.61637220921243;48.7911472815901;69.51330885913738;77.05642834800035;60.71619426576755;43.85434560297368;33.68983510202643;48.35714225142994;47.90933019805987;47.9113838853393;46.02136093575235;46.82138138233852;47.69062586006826;46.50503869834014;55.49577561376046;38.45215491373386;29.78937208205003;36.73568804461313;43.06516008032925;35.66645901672471;59.54943663127937;75.95504371771538;75.26894573512176;0.0
T.HUEVOS KGS;0.7366353605499;0.58341077464484;0.68292884415698;0.73572824796115;0.79268647844952;1.04646183800303;0.85250200935446;0.46214604319523;0.55822766350283;0.6251882107606;0.9075711771762;0.59140904047452;0.56188167054134;0.71828703820369;1.1271972644931;1.29552431777404;0.92544214133934;0.65424387688541;0.52494816229328;0.70854134895387;0.66693901706129;0.74485805466155;0.76097953827647;0.75980233800685;0.73113227153436;0.75000171938455;0.98564419370713;0.6172263090766;0.46214604319523;0.5836235521109;0.66120817593108;0.54956205731555;0.7756177864909;1.16396836544855;1.24032408771352;1.0
T.HUEVOS UNDS.;11.66773424398161;9.24868432441753;10.76252283148824;11.63785291697239;12.57104898961513;16.62714100203495;13.50319473202105;7.33131098844892;8.83370186494709;9.90037806892375;14.37855226620946;9.28048610853741;8.90961451448301;11.39784293689039;17.83834126338219;20.49323300902028;14.69694028896201;10.35349915187236;8.3054379737414;11.17225864444127;10.63780937585149;11.78501990345219;11.96928213290614;12.14770194180409;11.58621809166774;11.86575683886363;15.45673549297475;9.65875017714117;7.33131098844892;9.23867608362101;10.43952771289767;8.70911677020908;12.39772822800877;18.4232334861508;19.66941684901655;1.0
TOTAL HUEVOS GALLINA;11.48070403907575;9.09118391482718;10.65377066374262;11.46943923687842;12.35140719543281;16.2998227404201;13.28648263026391;7.20060987612489;8.70167860839567;9.74415611243269;14.14417878729827;9.2334107294288;8.75528750734279;11.19090016360716;17.57062688628298;20.19614792007109;14.41616182314312;10.19831269197573;8.18321819547907;11.05219930573077;10.3807578389404;11.6112565856858;11.87567994347068;11.82083923312619;11.39389056699418;11.69155835177631;15.39031182769983;9.64145939714733;7.20060987612489;9.09697761619805;10.31134997781687;8.56427573358263;12.06741674464478;18.14325982568612;19.32647998561778;2.0
OTRAS AVES;0.18703020490586;0.15750040959035;0.10875216774561;0.16841368009397;0.21964179418231;0.32731826161484;0.21671210175714;0.13070111232402;0.13202325655142;0.15622195649105;0.23437347891119;0.04707537910861;0.15432700714022;0.20694277328322;0.26771437709921;0.29708508894918;0.28077846581889;0.15518645989662;0.12221977826232;0.1200593387105;0.25705153691109;0.17376331776639;0.09360218943545;0.3268627086779;0.19232752467356;0.17419848708731;0.06642366527491;0.01729077999384;0.13070111232402;0.14169846742296;0.1281777350808;0.14484103662644;0.33031148336399;0.27997366046467;0.34293686339876;2.0
MIEL;0.01911751015794;0.01088098820134;0.01764399367979;0.01915733177841;0.02226958609758;0.03408163498817;0.02437930379932;0.0070969547722;0.01024451737382;0.01493700179634;0.0255756373901;0.00830036347226;0.0107206707109;0.02342467869153;0.03094043109123;0.04483609853711;0.02699016278232;0.01124290556879;0.01216699537323;0.02317053674768;0.02063031809631;0.02032355997441;0.01209177387903;0.02356067521819;0.01657432409777;0.02528216968319;0.01679056750359;0.00748944287831;0.0070969547722;0.01369026777332;0.01625054585114;0.01019938716526;0.02377149228754;0.07723049097154;0.03293490531938;1.0
GRANEL;0.00391898458975;0.00143848678463;0.00402296245777;0.00258852688014;0.00508412704778;0.00982633659693;0.00543169152015;0.00042498237214;0.00134089526046;0.00227193512996;0.0064829519231;0.00246298139569;0.00146078761831;0.00420490943273;0.00822654551736;0.01238111612448;0.00659943893673;0.00121817766788;0.0016144434993;0.00823332585443;0.00334053342645;0.00507417588127;0.0017089539046;0.0029712126093;0.00273053580157;0.00679957811904;0.00781714046155;0;0.00042498237214;0.00160137090528;0.00361744136702;0.00127367064055;0.00684888276456;0.02553783446653;0.00587658016337;2.0
ENVASADA;0.01519852556819;0.00944249581287;0.01362102720397;0.01656880749482;0.01718546677809;0.02425529421183;0.01894761227916;0.00667197143081;0.00890362211336;0.01266506631825;0.01909269093115;0.00583738259075;0.0092598801413;0.01921977304333;0.02271388656605;0.0324549861151;0.02039072656668;0.01002472616434;0.01055255187392;0.01493721089325;0.01728978188316;0.01524938461844;0.01038282273213;0.02058946260889;0.01384378889824;0.01848259229372;0.00897342867397;0.00748944287831;0.00667197143081;0.01208889878226;0.01263310448412;0.00892571674662;0.01692261153699;0.05169265650501;0.02705832261407;2.0
TOTAL CARNE;3.37300588115129;2.88230492502636;3.03855126153555;3.40494822854751;3.51623725768792;4.50845342808742;3.80110623384115;2.20288500156513;2.83861915798428;3.03987596719315;3.87761175994727;2.23469453427512;2.78021232966623;3.66665494234421;4.40135322451999;4.55021922480434;4.05635934705953;3.29612266928462;2.72420008327705;3.53604906824095;3.42581324781891;3.4115233928681;3.26579359973982;3.30969337039323;3.3702011071766;3.37993594065925;3.18470674256002;2.58428566676862;2.20288500156513;3.0495745844597;3.42777877600016;2.70934629984825;4.222677870538;4.47314801885517;4.70823489124172;1.0
